fips,year,county,state_abbr,announcement_anchor_event_count,announcement_anchor_weighted_event_count,announcement_anchor_capex_usd_millions,announcement_anchor_jobs_announced,announcement_anchor_event_score,announcement_anchor_latest_event_year,announcement_anchor_event_families,announcement_anchor_validation_roles,announcement_anchor_validation_families,announcement_anchor_matched_control_families,announcement_anchor_event_names,announcement_anchor_source_urls,announcement_anchor_delayed_review_event_count,announcement_anchor_historical_analog_event_count,announcement_anchor_matched_control_event_count,announcement_anchor_semiconductor_event_count,announcement_anchor_ev_auto_battery_event_count,announcement_anchor_medical_life_science_event_count,announcement_anchor_corporate_hq_event_count,announcement_anchor_facility_other_event_count,announcement_anchor_semiconductor_weighted_count,announcement_anchor_ev_auto_battery_weighted_count,announcement_anchor_medical_life_science_weighted_count,announcement_anchor_corporate_hq_weighted_count,announcement_anchor_facility_other_weighted_count,announcement_anchor_event_score_capped,announcement_anchor_has_delayed_review
04013,2024,Maricopa County,AZ,3,2.7,19000.0,2200.0,6.208852023143031,2020,facility_other; semiconductor,historical_analog_seed; modern_seed,phoenix_tucson_spillover;nv_az_logistics_retiree_migration,,Apple Mesa global command center; Intel Chandler Fab 42 expansion; TSMC Arizona advanced semiconductor fab,https://home.treasury.gov/news/press-releases/tg1358; https://pr.tsmc.com/english/news/2033; https://www.cnbc.com/2015/02/02/apple-announces-2b-global-command-center-in-arizona.html,0,2,0,2,0,0,0,1,2.0,0.0,0.0,0.0,0.7,5.0,False
48453,2024,Travis County,TX,2,2.0,1304.0,8635.0,4.93450991826389,2020,ev_auto_battery; facility_other,historical_analog_seed; modern_seed,austin_san_antonio_corridor,,Apple Austin corporate campus expansion; Tesla Gigafactory Texas,https://gov.texas.gov/news/post/governor-abbott-welcomes-tesla-to-texas; https://gov.texas.gov/uploads/files/business/2025_TEF_Legislative_ReportFinal.pdf,0,1,0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0,4.93450991826389,False
45083,2024,Spartanburg County,SC,2,2.0,2700.0,1100.0,4.674069758352832,2022,ev_auto_battery,historical_analog_seed; modern_seed,sc_ga_manufacturing_port_spillover,,BMW South Carolina EV and battery investment; BMW Spartanburg X7 and capacity expansion,https://www.press.bmwgroup.com/usa/article/detail/T0174607EN_US/bmw-group-expands-its-commitment-in-the-usa?language=en_US; https://www.press.bmwgroup.com/usa/article/detail/T0404841EN_US/bmw-group-announces-1-7-billion-usd-investment-to-build-electric-vehicles-in-the-u-s-and-signs-agreement-with-envision-aesc-for-the-supply-of-battery-cells-to-plant-spartanburg,0,1,0,0,2,0,0,0,0.0,2.0,0.0,0.0,0.0,4.674069758352832,False
48491,2024,Williamson County,TX,2,2.0,17070.0,2000.0,4.160510965646278,2021,corporate_hq; semiconductor,historical_analog_seed; modern_seed,austin_san_antonio_corridor,,Emerson Round Rock international headquarters and technology center; Samsung Taylor Texas semiconductor fab,https://news.samsung.com/global/samsung-electronics-announces-new-advanced-semiconductor-fab-site-in-taylor-texas/1000; https://www.roundrocktexas.gov/wp-content/uploads/2024/02/Annual-Comprehensive-Financial-Report-FY23-FINAL.pdf,0,1,0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,4.160510965646278,False
49049,2024,Utah County,UT,2,2.0,150.0,1590.0,4.156351208203215,2017,facility_other,historical_analog_seed,utah_wasatch_spillover,,Adobe Lehi phase two expansion; doTERRA Pleasant Grove headquarters expansion,https://business.utah.gov/news/adobe-expand-utah/; https://business.utah.gov/news/essential-oils-company-partners-state/,0,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,2.0,4.156351208203215,False
47119,2024,Maury County,TN,2,2.0,32.5,963.0,3.7984476002445886,2015,facility_other,historical_analog_seed,nashville_middle_tennessee,,Magna Spring Hill seating manufacturing expansion; Ryder Spring Hill logistics expansion,https://tnecd.com/news/governor-haslam-commissioner-hagerty-announce-magna-international-to-expand-maury-county-seating-manufacturing-operations/; https://www.springhilltn.org/DocumentCenter/View/1308/081115-Ryder-Maury-Co?bidId=,0,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,2.0,3.7984476002445886,False
16027,2024,Canyon County,ID,2,2.0,36.0,380.0,3.606766514215895,2016,facility_other,historical_analog_seed,boise_treasure_valley,,Gayle Manufacturing Caldwell expansion; Heartland RV Nampa manufacturing facility,https://commerce.idaho.gov/incentives-and-financing/incentives/idaho-tax-reimbursement-incentive/approved-tri-projects/; https://commerce.idaho.gov/press-releases/heartland-recreational-vehicles-to-open-new-manufacturing-facility-in-nampa/,0,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,2.0,3.606766514215895,False
37037,2024,Chatham County,NC,2,1.175,9000.0,9300.0,3.077648148233956,2022,ev_auto_battery; semiconductor,modern_seed,,,VinFast Chatham County EV assembly plant; Wolfspeed Siler City silicon carbide campus,https://governor.nc.gov/news/press-releases/2022/09/09/governor-cooper-announces-wolfspeed-selects-north-carolina-445-acre-manufacturing-campus; https://www.chathamedc.org/news/vinfast-selects-chatham-county-triangle-innovation-point-for-new-facility/,1,0,0,1,1,0,0,0,1.0,0.175,0.0,0.0,0.0,3.077648148233956,True
36067,2024,Onondaga County,NY,1,1.0,100000.0,9000.0,3.0618026426177316,2022,semiconductor,modern_seed,,,Micron Clay New York megafab,https://investors.micron.com/news-releases/news-release-details/micron-announces-historic-investment-100-billion-build-megafab,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,3.0618026426177316,False
05007,2024,Benton County,AR,2,1.7,0.0,15000.0,3.0591573603547766,2017,corporate_hq; facility_other,historical_analog_seed,northwest_arkansas,,J.B. Hunt Lowell headquarters expansion; Walmart Bentonville new home office,https://www.arkansasedc.com/news-events/newsroom/detail/2015/12/09/j.b.-hunt-transport-services-inc.-to-expand-lowell-headquarters; https://www.cnbc.com/2017/09/15/wal-mart-planning-new-home-office-in-bentonville-arkansas.html,0,2,0,0,0,0,1,1,0.0,0.0,0.0,0.7,1.0,3.0591573603547766,False
05143,2024,Washington County,AR,2,2.0,0.0,325.0,2.896520680277036,2017,facility_other,historical_analog_seed,northwest_arkansas,,Pinnacle Foods Fayetteville EVOL manufacturing expansion; Tyson Emma Springdale office opening,https://www.arkansasedc.com/news-events/newsroom/detail/2016/08/18/pinnacle-foods-to-expand-fayetteville-manufacturing-facility; https://www.tysonfoods.com/index.php/news/news-releases/2017/11/tyson-foods-celebrates-grand-opening-tyson-emma,0,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,2.0,2.896520680277036,False
51013,2024,Arlington County,VA,1,1.0,2500.0,25000.0,2.7951117033927977,2018,corporate_hq,modern_seed,,,Amazon HQ2 Arlington,https://press.aboutamazon.com/2018/11/amazon-selects-new-york-city-and-northern-virginia-for-new-headquarters,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,2.7951117033927977,False
39089,2024,Licking County,OH,1,1.0,20000.0,3000.0,2.7910238396726537,2022,semiconductor,modern_seed,,,Intel Ohio Silicon Heartland fabs,https://www.intel.com/content/www/us/en/corporate/usa-chipmaking/home.html,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,2.7910238396726537,False
13029,2024,Bryan County,GA,1,1.0,5540.0,8100.0,2.761967305869784,2022,ev_auto_battery,modern_seed,,,Hyundai Motor Group Metaplant America,https://gov.georgia.gov/press-releases/2022-05-20/gov-kemp-hyundai-motor-group-invest-554-billion-georgia-first-fully,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,2.761967305869784,False
47075,2024,Haywood County,TN,1,1.0,5600.0,6000.0,2.733038183319935,2021,ev_auto_battery,modern_seed,,,BlueOval City Tennessee megasite,https://www.tn.gov/governor/news/2021/9/27/memphis-regional-megasite-lands--5-6-billion-investment-from-ford-motor-company-and-sk-innovation.html,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,2.733038183319935,False
47157,2024,Shelby County,TN,1,1.0,11500.0,1400.0,2.6595130813429586,2021,medical_life_science,modern_seed,,,St. Jude strategic research and care expansion,https://www.stjude.org/media-resources/news-releases/2021-medicine-science-news/st-jude-announces-largest-strategic-expansion-targeting-pediatric-catastrophic-diseases-globally.html,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,2.6595130813429586,False
20091,2024,Johnson County,KS,1,1.0,4000.0,4000.0,2.6588599217714473,2022,ev_auto_battery,modern_seed,,,Panasonic Energy De Soto EV battery plant,https://www.kansascommerce.gov/2022/07/kansas-lands-4b-4000-job-panasonic-energy-electric-vehicle-battery-plant/,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,2.6588599217714473,False
01083,2024,Limestone County,AL,1,1.0,1600.0,4000.0,2.567268332185395,2018,ev_auto_battery,modern_seed,,,Mazda Toyota Manufacturing Huntsville plant,https://news.mazdausa.com/2018-01-10-mazda-toyota-select-alabama-for-new-u-s-auto-manufacturing-plant,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,2.567268332185395,False
37101,2024,Johnston County,NC,1,1.0,4100.0,1000.0,2.522774090470728,2024,medical_life_science,modern_seed,,,Novo Nordisk Clayton fill-finish expansion,https://www.novonordisk.com/content/nncorp/global/en/news-and-media/news-and-ir-materials/news-details.html?id=168528,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,2.522774090470728,False
13157,2024,Jackson County,GA,1,1.0,1670.0,2000.0,2.502257986317913,2018,ev_auto_battery,modern_seed,,,SK Innovation Commerce Georgia battery plant,https://georgia.org/newsroom/press-releases/korean-battery-manufacturer-create-more-2000-jobs-jackson-county,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,2.502257986317913,False
37151,2024,Randolph County,NC,1,1.0,1290.0,1750.0,2.4631114723132495,2021,ev_auto_battery,modern_seed,,,Toyota Battery Manufacturing North Carolina,https://governor.nc.gov/news/press-releases/2021/12/06/governor-cooper-announces-toyota-will-build-companys-first-north-american-battery-plant-north,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,2.4631114723132495,False
47149,2024,Rutherford County,TN,1,1.0,1450.0,1300.0,2.445089673139669,2010,ev_auto_battery,historical_analog_seed,nashville_middle_tennessee,,Nissan Smyrna LEAF battery and retooling project,https://www.energy.gov/lpo/articles/nissan,0,1,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,2.445089673139669,False
