boundary_name,boundary_n,boundary_window,boundary_margin,boundary_side,boundary_review_label,boundary_risk_points,primary_issue,review_action,fips,county_name,state,overall_rank,pred_avg_5yr,fiveyr_interval_width,fiveyr_model_disagreement_abs,confidence,confidence_score,source_confidence_score,source_confidence_band,n_runs_present,std_rank,rank_range,top25_presence_share,top50_presence_share,top100_presence_share,is_stable_top25,is_watchlist_boundary,risk_interval_uncertainty,risk_model_disagreement,risk_source_confidence,risk_run_history_churn,risk_confidence_label,operator_summary
top_25,25,10,8,outside,do_not_promote_boundary,6,source_confidence,block_boundary_promotion_until_uncertainty_reconciled,09015,"Windham County, Connecticut",CT,33,0.12251042671338619,0.6279093203687037,0.044678050723391705,MEDIUM,0.7888854817986357,29.86666666666667,low,12.0,57.86164270887664,203.0,0.0,0.9166666666666666,0.9166666666666666,False,True,1,0,2,2,1,rank #33 at top_25 (outside); interval 0.628; model gap 0.045; source confidence 29.9; run std 57.9; run range 203.
top_25,25,10,4,outside,do_not_promote_boundary,4,interval_uncertainty,block_boundary_promotion_until_uncertainty_reconciled,55037,"Florence County, Wisconsin",WI,29,0.22731790576470012,0.6857232528749503,0.006096585772278118,HIGH,0.8323870011917016,68.26666666666668,medium,12.0,31.3508977204607,112.0,0.0,0.9166666666666666,0.9166666666666666,False,True,2,0,0,2,0,rank #29 at top_25 (outside); interval 0.686; model gap 0.006; source confidence 68.3; run std 31.4; run range 112.
top_25,25,10,-7,inside,stable,1,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,42107,"Schuylkill County, Pennsylvania",PA,18,0.24561030517534616,0.6449251933163881,0.06063954880865807,MEDIUM,0.7817797381828051,77.06666666666668,high,12.0,1.8586407545691703,8.0,1.0,1.0,1.0,True,False,1,0,0,0,1,rank #18 at top_25 (inside); interval 0.645; model gap 0.061; source confidence 77.1; run std 1.9; run range 8.
top_25,25,10,1,outside,stable,1,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,36015,"Chemung County, New York",NY,26,0.21086240927376182,0.6257066011967117,0.026218110223568014,HIGH,0.8723249601054023,73.33333333333334,high,12.0,6.4666979068286325,29.0,0.25,1.0,1.0,False,False,1,0,0,0,0,rank #26 at top_25 (outside); interval 0.626; model gap 0.026; source confidence 73.3; run std 6.5; run range 29.
top_25,25,10,3,outside,stable,1,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,39151,"Stark County, Ohio",OH,28,0.1829125142643091,0.5242705008036141,0.06718874256794383,HIGH,0.8386911299298276,77.06666666666668,high,12.0,3.3028912953790823,11.0,0.0,1.0,1.0,False,False,1,0,0,0,0,rank #28 at top_25 (outside); interval 0.524; model gap 0.067; source confidence 77.1; run std 3.3; run range 11.
top_25,25,10,5,outside,stable,1,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,26145,"Saginaw County, Michigan",MI,30,0.21519728294972984,0.6382187908290717,0.06267929806241201,HIGH,0.8016406919453718,73.33333333333334,high,12.0,3.6212755161180934,13.0,0.0,1.0,1.0,False,False,1,0,0,0,0,rank #30 at top_25 (outside); interval 0.638; model gap 0.063; source confidence 73.3; run std 3.6; run range 13.
top_25,25,10,10,outside,stable,1,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,18161,"Union County, Indiana",IN,35,0.1968253987750146,0.5725396375567844,0.0016031851809685804,HIGH,0.8464368274001475,77.06666666666668,high,12.0,10.523782589924592,29.0,0.0,0.75,1.0,False,False,1,0,0,0,0,rank #35 at top_25 (outside); interval 0.573; model gap 0.002; source confidence 77.1; run std 10.5; run range 29.
top_25,25,10,-10,inside,stable,0,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,18177,"Wayne County, Indiana",IN,15,0.23589818766456394,0.5737450594468902,0.047325147504439835,HIGH,0.8347126927134396,77.06666666666668,high,12.0,2.9797294975866317,12.0,1.0,1.0,1.0,True,False,1,0,0,0,0,rank #15 at top_25 (inside); interval 0.574; model gap 0.047; source confidence 77.1; run std 3.0; run range 12.
top_25,25,10,-9,inside,stable,0,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,18165,"Vermillion County, Indiana",IN,16,0.2397500605068254,0.5561104383279126,0.022376440330019176,HIGH,0.898215148022069,77.06666666666668,high,12.0,5.638074031784151,19.0,0.9166666666666666,1.0,1.0,True,False,1,0,0,0,0,rank #16 at top_25 (inside); interval 0.556; model gap 0.022; source confidence 77.1; run std 5.6; run range 19.
top_25,25,10,-8,inside,stable,0,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,18095,"Madison County, Indiana",IN,17,0.22478344741326706,0.5090604247412063,0.04514130508625769,HIGH,0.854638456132724,77.06666666666668,high,12.0,4.287932326467343,16.0,0.9166666666666666,1.0,1.0,True,False,1,0,0,0,0,rank #17 at top_25 (inside); interval 0.509; model gap 0.045; source confidence 77.1; run std 4.3; run range 16.
