gap_closure_rank,source_pool_rank,fips,county,state_abbr,census_region,institutional_anchor_official_score,institutional_anchor_official_band,ipeds_institution_count,ipeds_enrollment_total,ipeds_medical_institution_count,cms_hospital_provider_count,cms_beds_total,cms_teaching_hospital_count,source_lane_count,primary_archetype,secondary_archetype,export_priority_rank,export_priority_score,preboom_prior_momentum_rank_pct,short_thesis,next_diligence_check
1,1288,06037,"Los Angeles County, California",CA,West,99.97638167217762,major,194.0,972425.0,4.0,57.0,12878.0,26.0,2.0,manufacturing reshoring,remote-work lifestyle market,1288,0.4518798617113224,0.39565780946208684,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 39.6%, inside the not-hot gate. Market-depth adequacy is moderate (0.462).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
2,1371,17031,"Cook County, Illinois",IL,Midwest,99.88190836088806,major,105.0,368309.0,5.0,22.0,5637.0,16.0,2.0,amenity migration,retirement migration,1371,0.4321737251512532,0.4235255994815295,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 42.4%, inside the not-hot gate. Market-depth adequacy is moderate (0.462).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
3,2110,48201,"Harris County, Texas",TX,South,99.72051645410171,major,65.0,267187.0,2.0,34.0,7066.0,10.0,2.0,manufacturing reshoring,amenity migration,2110,0.23714347450302506,0.3914452365521711,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 39.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.463).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
4,204,36061,"New York County, New York",NY,Northeast,99.57487009919697,major,76.0,333567.0,6.0,9.0,5858.0,7.0,2.0,manufacturing reshoring,amenity migration,204,0.7957000864304236,0.030784186649384315,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 3.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.493).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
5,1734,48439,"Tarrant County, Texas",TX,South,99.2993229412691,major,28.0,150398.0,2.0,25.0,3708.0,7.0,2.0,amenity migration,retirement migration,1734,0.3432800345721694,0.36649384316267014,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 36.6%, inside the not-hot gate. Market-depth adequacy is moderate (0.469).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
6,657,04013,"Maricopa County, Arizona",AZ,West,99.18123130215713,major,79.0,734918.0,1.0,41.0,6934.0,16.0,2.0,remote-work lifestyle market,amenity migration,657,0.6234442523768365,0.21451717433570966,"Low quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 21.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.463).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
7,945,18097,"Marion County, Indiana",IN,Midwest,99.11431270666036,major,19.0,231716.0,2.0,13.0,3310.0,8.0,2.0,amenity migration,retirement migration,945,0.5439282627484875,0.5479585223590409,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 54.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.486).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
8,405,26163,"Wayne County, Michigan",MI,Midwest,98.94898441190365,major,25.0,99807.0,2.0,11.0,2390.0,9.0,2.0,amenity migration,retirement migration,405,0.7095073465859983,0.5615683732987686,"Moderate quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 56.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.472).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
9,2301,25017,"Middlesex County, Massachusetts",MA,Northeast,98.87025665249568,major,29.0,150651.0,2.0,10.0,1809.0,6.0,2.0,manufacturing reshoring,remote-work lifestyle market,2301,0.11901469317199653,0.677900194426442,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 67.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.472).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
10,336,25025,"Suffolk County, Massachusetts",MA,Northeast,98.8466383246733,major,31.0,189705.0,1.0,17.0,5562.0,12.0,2.0,manufacturing reshoring,remote-work lifestyle market,336,0.7331460674157303,0.2423849643551523,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 24.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.506).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
