source_lane,review_issue,review_priority,fips,state_abbr,county_name,source_id,source_name,source_year,detail,recommended_action
IPEDS,missing_enrollment_total,medium,01125,AL,Tuscaloosa County,100733,University of Alabama System Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,02090,AK,Fairbanks North Star Borough,103529,University of Alaska System of Higher Education,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,04013,AZ,Maricopa County,105136,Maricopa Community College System Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,05131,AR,Sebastian County,106360,Arthur's Beauty College,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,05119,AR,Pulaski County,108056,University of Arkansas System Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06037,CA,Los Angeles County,110501,California State University-Chancellors Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06019,CA,Fresno County,110918,California Christian College,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06059,CA,Orange County,112376,Coast Community College District Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06013,CA,Contra Costa County,112817,Contra Costa Community College District Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06045,CA,Mendocino County,113616,Dharma Realm Buddhist University,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06085,CA,Santa Clara County,114831,Foothill-De Anza Community College District,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06073,CA,San Diego County,115287,Grossmont-Cuyamaca Community College District,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06001,CA,Alameda County,115728,Holy Names University,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06037,CA,Los Angeles County,117681,Los Angeles Community College District Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06067,CA,Sacramento County,117900,Los Rios Community College District Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06001,CA,Alameda County,118888,Northeastern University Oakland,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06059,CA,Orange County,120023,North Orange County Community College District,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06001,CA,Alameda County,121178,Peralta Community College System Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06073,CA,San Diego County,121275,Platt College-San Diego,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06073,CA,San Diego County,122320,San Diego Community College District-District Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06085,CA,Santa Clara County,122737,San Jose-Evergreen Community College District,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06081,CA,San Mateo County,122782,San Mateo County Community College District Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06019,CA,Fresno County,123925,State Center Community College District,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06001,CA,Alameda County,124557,University of California-System Administration Central Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06111,CA,Ventura County,125019,Ventura County Community College System Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06085,CA,Santa Clara County,125222,West Valley Mission Community College District Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,06099,CA,Stanislaus County,126100,Yosemite Community College District Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,08031,CO,Denver County,128300,University of Colorado System Office,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,09110,CT,Capitol Planning Region,128577,Asnuntuck Community College,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,09120,CT,Greater Bridgeport Planning Region,129543,Connecticut State Community College Housatonic,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,09110,CT,Capitol Planning Region,129695,Manchester Community College,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,09140,CT,Naugatuck Valley Planning Region,129729,Naugatuck Valley Community College,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,09130,CT,Lower Connecticut River Valley Planning Region,129756,Middlesex Community College,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
IPEDS,missing_enrollment_total,medium,09180,CT,Southeastern Connecticut Planning Region,129808,Three Rivers Community College,2023,IPEDS 12-month enrollment is missing.,operator_review_before_source_promotion
