state_abbr,ipeds_rows,ipeds_missing_fips_rows,ipeds_missing_enrollment_rows,cms_rows,cms_matched_fips_rows,cms_unmatched_fips_rows,cms_matched_fips_share,cms_missing_beds_share,cms_missing_discharges_share,cms_missing_total_costs_share,cms_missing_net_patient_revenue_share,panel_county_year_rows,panel_dual_source_rows
AK,11,0,1,24,24,0,1.0,0.0,0.0,0.0,0.25,20,5
AL,79,0,3,112,112,0,1.0,0.044642857142857144,0.05357142857142857,0.044642857142857144,0.05357142857142857,80,26
AR,82,0,4,108,108,0,1.0,0.027777777777777776,0.027777777777777776,0.018518518518518517,0.018518518518518517,73,26
AS,1,0,0,0,0,0,,,,,,1,0
AZ,111,0,8,129,129,0,1.0,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.10077519379844961,22,11
CA,679,0,35,407,406,1,0.9975429975429976,0.022113022113022112,0.022113022113022112,0.022113022113022112,0.02702702702702703,87,40
CO,88,0,4,107,107,0,1.0,0.0,0.0,0.0,0.0,63,19
CT,67,0,12,40,40,0,1.0,0.1,0.1,0.05,0.125,21,0
DC,22,0,0,12,12,0,1.0,0.0,0.0,0.0,0.08333333333333333,2,1
DE,17,0,1,16,16,0,1.0,0.0,0.0,0.0,0.0,6,3
FL,340,0,10,264,263,1,0.9962121212121212,0.0,0.0,0.0,0.003787878787878788,91,39
FM,1,0,0,0,0,0,,,,,,1,0
GA,143,0,3,166,166,0,1.0,0.012048192771084338,0.012048192771084338,0.0,0.030120481927710843,138,28
GU,3,0,0,2,2,0,1.0,0.0,0.0,0.0,0.0,1,1
HI,24,0,1,26,26,0,1.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,8,2
IA,76,0,1,122,122,0,1.0,0.00819672131147541,0.0,0.0,0.01639344262295082,121,15
ID,37,0,2,51,51,0,1.0,0.0,0.0,0.0,0.0,39,11
IL,242,0,8,210,210,0,1.0,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.05238095238095238,116,31
IN,105,0,0,169,169,0,1.0,0.0,0.0,0.0,0.0,100,29
KS,77,0,1,149,149,0,1.0,0.020134228187919462,0.020134228187919462,0.013422818791946308,0.020134228187919462,115,29
KY,86,0,1,118,118,0,1.0,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.00847457627118644,108,19
LA,112,0,4,205,203,2,0.9902439024390244,0.024390243902439025,0.024390243902439025,0.014634146341463415,0.03414634146341464,88,19
MA,147,0,2,98,98,0,1.0,0.02040816326530612,0.02040816326530612,0.01020408163265306,0.09183673469387756,21,12
MD,79,0,3,58,57,1,0.9827586206896551,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.1206896551724138,39,4
ME,36,0,3,38,38,0,1.0,0.0,0.0,0.0,0.05263157894736842,22,12
MH,2,0,1,0,0,0,,,,,,1,0
MI,160,0,3,172,172,0,1.0,0.005813953488372093,0.01744186046511628,0.0,0.011627906976744186,109,30
MN,91,0,1,139,139,0,1.0,0.014388489208633094,0.014388489208633094,0.007194244604316547,0.07913669064748201,104,27
MO,142,0,3,135,135,0,1.0,0.02962962962962963,0.02962962962962963,0.02962962962962963,0.02962962962962963,98,24
MP,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,1,1
MS,54,0,3,113,113,0,1.0,0.017699115044247787,0.04424778761061947,0.0,0.035398230088495575,85,29
MT,29,0,0,64,64,0,1.0,0.0,0.015625,0.0,0.046875,58,12
NC,167,0,4,132,132,0,1.0,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.022727272727272728,115,44
ND,25,0,0,49,49,0,1.0,0.0,0.0,0.0,0.04081632653061224,49,7
NE,41,0,2,96,95,1,0.9895833333333334,0.0,0.0,0.0,0.010416666666666666,75,15
NH,34,0,2,30,30,0,1.0,0.0,0.0,0.0,0.06666666666666667,16,8
NJ,148,0,1,95,95,0,1.0,0.0,0.0,0.0,0.021052631578947368,35,19
NM,44,0,1,55,55,0,1.0,0.03636363636363636,0.03636363636363636,0.0,0.09090909090909091,40,14
NV,40,0,2,56,55,1,0.9821428571428571,0.0,0.0,0.0,0.0,17,3
NY,417,0,8,189,189,0,1.0,0.037037037037037035,0.037037037037037035,0.026455026455026454,0.12698412698412698,82,47
OH,281,0,6,231,231,0,1.0,0.021645021645021644,0.021645021645021644,0.021645021645021644,0.047619047619047616,108,47
OK,100,0,1,152,150,2,0.9868421052631579,0.039473684210526314,0.039473684210526314,0.02631578947368421,0.05921052631578947,102,20
OR,74,0,1,62,62,0,1.0,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.04838709677419355,43,16
PA,321,0,8,212,212,0,1.0,0.018867924528301886,0.018867924528301886,0.014150943396226415,0.04245283018867924,110,13
PR,131,0,6,64,55,9,0.859375,0.078125,0.078125,0.0625,0.078125,45,14
PW,1,0,0,0,0,0,,,,,,1,0
RI,22,0,1,14,14,0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,6,4
SC,91,0,1,87,87,0,1.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,53,25
