fips,year,state_abbr,ipeds_institution_count,ipeds_enrollment_total,ipeds_graduate_enrollment_total,ipeds_medical_institution_count,ipeds_active_institution_count,cms_hospital_provider_count,cms_beds_total,cms_total_discharges,cms_medicare_discharges,cms_medicaid_discharges,cms_total_costs_usd,cms_net_patient_revenue_usd,cms_teaching_hospital_count,cms_critical_access_hospital_count,county_name,source_lane_count,source_review_status
17031,2022,IL,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cook County, Illinois",1,official_seed_report_only
17097,2022,IL,0.0,0.0,0.0,0.0,0.0,1.0,161.0,1057.0,47.0,50.0,8111462.0,9784298.0,0.0,0.0,"Lake County, Illinois",1,official_seed_report_only
26157,2022,MI,0.0,0.0,0.0,0.0,0.0,1.0,25.0,99.0,37.0,2.0,10511012.0,12478193.0,0.0,1.0,"Tuscola County, Michigan",1,official_seed_report_only
72113,2022,PR,0.0,0.0,0.0,0.0,0.0,1.0,120.0,776.0,53.0,290.0,5238317.0,5242359.0,0.0,0.0,Ponce Muno,1,official_seed_report_only
48355,2022,TX,0.0,0.0,0.0,0.0,0.0,1.0,42.0,137.0,6.0,0.0,1965696.0,1261761.0,0.0,0.0,"Nueces County, Texas",1,official_seed_report_only
02020,2023,AK,4.0,22059.0,201.0,0.0,4.0,5.0,885.0,31312.0,9497.0,11675.0,1503345868.0,1236225207.0,1.0,0.0,Anchorage Municipality,2,official_seed_report_only
02050,2023,AK,0.0,0.0,0.0,0.0,0.0,1.0,34.0,1182.0,183.0,821.0,166714886.0,0.0,0.0,0.0,"Bethel Census Area, Alaska",1,official_seed_report_only
02063,2023,AK,0.0,0.0,0.0,0.0,0.0,1.0,13.0,54.0,27.0,12.0,12584773.0,14778367.0,0.0,1.0,"Chugach Census Area, Alaska",1,official_seed_report_only
02070,2023,AK,0.0,0.0,0.0,0.0,0.0,1.0,16.0,270.0,67.0,122.0,47057432.0,0.0,0.0,1.0,"Dillingham Census Area, Alaska",1,official_seed_report_only
02090,2023,AK,2.0,10975.0,117.0,0.0,2.0,1.0,122.0,5852.0,1323.0,1779.0,272014520.0,318311036.0,0.0,0.0,Fairbanks North Star Borough,2,official_seed_report_only
02110,2023,AK,1.0,3383.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Juneau City and Borough,1,official_seed_report_only
02122,2023,AK,2.0,1079.0,0.0,0.0,2.0,1.0,6.0,59.0,26.0,9.0,27828244.0,29673662.0,0.0,1.0,Kenai Peninsula Borough,2,official_seed_report_only
02150,2023,AK,0.0,0.0,0.0,0.0,0.0,1.0,24.0,607.0,161.0,177.0,55068709.0,61570315.0,0.0,1.0,"Kodiak Island Borough, Alaska",1,official_seed_report_only
02170,2023,AK,1.0,45.0,0.0,0.0,1.0,1.0,125.0,6245.0,2148.0,2025.0,187320418.0,335158011.0,0.0,0.0,Matanuska-Susitna Borough,2,official_seed_report_only
02180,2023,AK,0.0,0.0,0.0,0.0,0.0,1.0,18.0,752.0,157.0,391.0,104749539.0,153799897.0,0.0,1.0,"Nome Census Area, Alaska",1,official_seed_report_only
02185,2023,AK,1.0,646.0,0.0,0.0,1.0,1.0,10.0,353.0,138.0,104.0,79429979.0,59233911.0,0.0,1.0,North Slope Borough,2,official_seed_report_only
02188,2023,AK,0.0,0.0,0.0,0.0,0.0,1.0,17.0,381.0,98.0,185.0,45753901.0,0.0,0.0,1.0,"Northwest Arctic Borough, Alaska",1,official_seed_report_only
02220,2023,AK,0.0,0.0,0.0,0.0,0.0,1.0,25.0,728.0,272.0,195.0,166003235.0,0.0,0.0,1.0,"Sitka City and Borough, Alaska",1,official_seed_report_only
02261,2023,AK,0.0,0.0,0.0,0.0,0.0,1.0,11.0,100.0,22.0,33.0,21248223.0,20895315.0,0.0,1.0,"Valdez-Cordova Census Area, Alaska",1,official_seed_report_only
02275,2023,AK,0.0,0.0,0.0,0.0,0.0,1.0,8.0,76.0,41.0,11.0,24486395.0,14303710.0,0.0,1.0,"Wrangell City and Borough, Alaska",1,official_seed_report_only
01003,2023,AL,4.0,38467.0,36.0,0.0,3.0,2.0,190.0,5734.0,1629.0,731.0,138033108.0,261077905.0,1.0,0.0,Baldwin County,2,official_seed_report_only
01005,2023,AL,0.0,0.0,0.0,0.0,0.0,1.0,30.0,978.0,206.0,112.0,14896365.0,14264546.0,0.0,0.0,"Barbour County, Alabama",1,official_seed_report_only
01007,2023,AL,0.0,0.0,0.0,0.0,0.0,1.0,25.0,254.0,73.0,104.0,22512790.0,21891855.0,0.0,0.0,"Bibb County, Alabama",1,official_seed_report_only
01011,2023,AL,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,14116661.0,23610710.0,0.0,0.0,"Bullock County, Alabama",1,official_seed_report_only
01013,2023,AL,0.0,0.0,0.0,0.0,0.0,2.0,69.0,754.0,155.0,131.0,40798445.0,37861972.0,0.0,1.0,"Butler County, Alabama",1,official_seed_report_only
01015,2023,AL,1.0,11071.0,0.0,0.0,1.0,1.0,295.0,12678.0,2699.0,2608.0,214327204.0,212168140.0,0.0,0.0,Calhoun County,2,official_seed_report_only
01017,2023,AL,0.0,0.0,0.0,0.0,0.0,1.0,12.0,441.0,132.0,54.0,22014525.0,0.0,0.0,0.0,"Chambers County, Alabama",1,official_seed_report_only
01019,2023,AL,0.0,0.0,0.0,0.0,0.0,1.0,45.0,985.0,132.0,391.0,19019610.0,15463745.0,0.0,0.0,"Cherokee County, Alabama",1,official_seed_report_only
01025,2023,AL,1.0,121.0,0.0,0.0,1.0,2.0,64.0,809.0,198.0,260.0,25730566.0,20449185.0,0.0,0.0,Clarke County,2,official_seed_report_only
01027,2023,AL,0.0,0.0,0.0,0.0,0.0,1.0,46.0,736.0,200.0,242.0,19709150.0,17618677.0,0.0,0.0,"Clay County, Alabama",1,official_seed_report_only
01031,2023,AL,1.0,2840.0,0.0,0.0,1.0,1.0,89.0,3323.0,672.0,790.0,52638225.0,61806771.0,0.0,0.0,Coffee County,2,official_seed_report_only
01033,2023,AL,1.0,5472.0,0.0,0.0,1.0,1.0,178.0,6389.0,1527.0,1889.0,102964322.0,93652837.0,0.0,0.0,Colbert County,2,official_seed_report_only
01035,2023,AL,1.0,637.0,0.0,0.0,1.0,1.0,44.0,906.0,364.0,181.0,13314410.0,11919247.0,0.0,0.0,Conecuh County,2,official_seed_report_only
01039,2023,AL,1.0,2687.0,0.0,0.0,1.0,1.0,45.0,1258.0,351.0,190.0,22240860.0,20060743.0,0.0,0.0,Covington County,2,official_seed_report_only
01041,2023,AL,0.0,0.0,0.0,0.0,0.0,2.0,29.0,290.0,96.0,64.0,12814728.0,10690770.0,0.0,0.0,"Crenshaw County, Alabama",1,official_seed_report_only
01043,2023,AL,1.0,8169.0,0.0,0.0,1.0,1.0,40.0,284.0,145.0,0.0,3398869.0,3570856.0,0.0,0.0,Cullman County,2,official_seed_report_only
01045,2023,AL,1.0,5259.0,0.0,0.0,1.0,1.0,77.0,1181.0,208.0,268.0,33197970.0,33795241.0,0.0,0.0,Dale County,2,official_seed_report_only
01047,2023,AL,2.0,2800.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dallas County,1,official_seed_report_only
01051,2023,AL,1.0,1553.0,0.0,0.0,1.0,2.0,70.0,1338.0,270.0,172.0,31274020.0,29415984.0,0.0,0.0,Elmore County,2,official_seed_report_only
01053,2023,AL,0.0,0.0,0.0,0.0,0.0,2.0,95.0,1815.0,419.0,411.0,56376575.0,49437245.0,0.0,0.0,"Escambia County, Alabama",1,official_seed_report_only
01055,2023,AL,1.0,5878.0,0.0,0.0,1.0,4.0,480.0,18126.0,4209.0,2239.0,281351526.0,306921943.0,1.0,0.0,Etowah County,2,official_seed_report_only
01057,2023,AL,0.0,0.0,0.0,0.0,0.0,1.0,35.0,548.0,206.0,77.0,30880650.0,23027736.0,0.0,0.0,"Fayette County, Alabama",1,official_seed_report_only
01059,2023,AL,0.0,0.0,0.0,0.0,0.0,2.0,76.0,1092.0,411.0,115.0,60267155.0,56801673.0,0.0,1.0,"Franklin County, Alabama",1,official_seed_report_only
01061,2023,AL,0.0,0.0,0.0,0.0,0.0,1.0,33.0,422.0,84.0,155.0,22950225.0,22384163.0,0.0,0.0,"Geneva County, Alabama",1,official_seed_report_only
01063,2023,AL,0.0,0.0,0.0,0.0,0.0,1.0,20.0,281.0,12.0,201.0,11171269.0,10012454.0,0.0,0.0,"Greene County, Alabama",1,official_seed_report_only
01065,2023,AL,0.0,0.0,0.0,0.0,0.0,1.0,28.0,326.0,78.0,114.0,11150005.0,9506810.0,0.0,0.0,"Hale County, Alabama",1,official_seed_report_only
