batch_id,provider_row_id,attempt_label,census_street,census_city,census_state,census_zip,cms_provider_number,provider_name,fiscal_year,closeout_action,candidate_method,suggested_fips,suggested_county_name
020001__2023__001,020001__2023,provider_original,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99519,020001,PROVIDENCE ALASKA MEDICAL CENTER,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,02020,"Anchorage Municipality, Alaska"
050180__2023__002,050180__2023,provider_original,1601 YGNACIO VALLEY ROAD,WALNUT CREEK,CA,94598,050180,JOHN MUIR MEDICAL CENTER - WC,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,06013,"Contra Costa County, California"
050174__2024__003,050174__2024,provider_original,1165 MONTGOMERY DRIVE,SANTA ROSA,CA,95405,050174,SANTA ROSA MEMORIAL HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,06097,"Sonoma County, California"
050069__2024__004,050069__2024,provider_original,1100 WEST STEWART DRIVE,ORANGE,CA,92863,050069,ST. JOSEPH HOSPITAL OF ORANGE,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,06059,"Orange County, California"
050069__2024__005,050069__2024,suite_stripped,1100 WEST,ORANGE,CA,92863,050069,ST. JOSEPH HOSPITAL OF ORANGE,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,06059,"Orange County, California"
050351__2024__006,050351__2024,provider_original,3330 LOMITA BOULEVARD,TORRANCE,CA,90505,050351,TORRANCE MEMORIAL MEDICAL CENTER,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,06037,"Los Angeles County, California"
100209__2023__007,100209__2023,provider_original,11750 BIRD ROAD,MIAMI,FL,33175,100209,HCA FLORIDA KENDALL HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,12086,"Miami-Dade County, Florida"
100204__2024__008,100204__2024,provider_original,6500 W NEWBERRY ROAD,GAINESVILLE,FL,32605,100204,HCA FLORIDA NORTH FLORIDA HOSP,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,12001,"Alachua County, Florida"
190064__2024__009,190064__2024,provider_original,5000 HENNESSY BLVD,BATON ROUGE,LA,70808,190064,OUR LADY OF THE LAKE  RMC,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,22033,"East Baton Rouge Parish, Louisiana"
230017__2023__010,230017__2023,provider_original,601 JOHN STREET,KALAMAZOO,MI,49007,230017,BRONSON METHODIST HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,26077,"Kalamazoo County, Michigan"
260105__2023__011,260105__2023,provider_original,1201 SOUTH GRAND BLVD,ST. LOUIS,MO,63104,260105,SSM SAINT LOUIS UNIVERSITY HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,29189,"St. Louis County, Missouri"
320001__2024__012,320001__2024,provider_original,2211 LOMAS BLVD NE,ALBUQUERQUE,NM,87106,320001,UNIVERSITY OF NEW MEXICO HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,35001,"Bernalillo County, New Mexico"
290041__2023__013,290041__2023,provider_original,657 TOWN CENTER DRIVE,LAS VEGAS,NV,89114,290041,SUMMERLIN HOSPITAL MEDICAL CENTER,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,32003,"Clark County, Nevada"
330119__2023__014,330119__2023,provider_original,100 EAST 77TH STREET,NEW YORK,NY,10075,330119,LENOX HILL HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,36061,"New York County, New York"
370093__2024__015,370093__2024,provider_original,1200 CHILDRENS AVE,OKLAHOMA CITY,OK,73104,370093,OU MEDICAL CENTER,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,40109,"Oklahoma County, Oklahoma"
390067__2024__016,390067__2024,provider_original,409 S. 2ND STREET,HARRISBURG,PA,17101,390067,UPMC PINNACLE HOSPITALS,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,42043,"Dauphin County, Pennsylvania"
450788__2024__017,450788__2024,provider_original,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,TX,78412,450788,CORPUS CHRISTI MEDICAL CENTER,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,48355,"Nueces County, Texas"
450431__2023__018,450431__2023,provider_original,919 EAST 32ND STREET,AUSTIN,TX,78765,450431,ST. DAVIDS MEDICAL CENTER,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,48453,"Travis County, Texas"
490009__2024__019,490009__2024,provider_original,855 WEST MAIN STREET,CHARLOTTESVILLE,VA,22908,490009,UNIVERSITY OF VIRGINIA MEDICAL CENTE,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,51003,"Albemarle County, Virginia"
030115__2023__020,030115__2023,provider_original,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,030115,BANNER ESTRELLA MEDICAL CENTER,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,04013,"Maricopa County, Arizona"
190128__2023__021,190128__2023,provider_original,100 WOMANS WAY,BATON ROUGE,LA,70817,190128,WOMANS HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,22033,"East Baton Rouge Parish, Louisiana"
464001__2024__022,464001__2024,provider_original,1300 E. CENTER STREET,PROVO,UT,84606,464001,UTAH STATE HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,49049,"Utah County, Utah"
100131__2023__023,100131__2023,provider_original,2801 NE 209TH ST AT BISCAYNE BLVD,MIAMI,FL,33180,100131,HCA FLORIDA AVENTURA HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,12086,"Miami-Dade County, Florida"
260183__2024__024,260183__2024,provider_original,211 ST. FRANCIS DRIVE,CAPE GIRARDEAU,MO,63703,260183,SAINT FRANCIS MEDICAL CENTER,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,29031,"Cape Girardeau County, Missouri"
460047__2024__025,460047__2024,provider_original,1200 EAST 3900 SOUTH,SALT LAKE CITY,UT,84124,460047,ST MARKS HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,49035,"Salt Lake County, Utah"
420026__2024__026,420026__2024,provider_original,2435 FOREST DRIVE,COLUMBIA,SC,29204,420026,MUSC HEALTH COLUMBIA MEDICAL CENTER,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,45079,"Richland County, South Carolina"
100084__2024__027,100084__2024,provider_original,600 E DIXIE AVENUE,LEESBURG,FL,34748,100084,LEESBURG REGIONAL MEDICAL CENTER INC,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,12069,"Lake County, Florida"
100242__2024__028,100242__2024,provider_original,449 WEST 23RD STREET,PANAMA CITY,FL,32404,100242,HCA FLORIDA GULF COAST HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,12005,"Bay County, Florida"
050471__2023__029,050471__2023,provider_original,1225 WILSHIRE BOULEVARD,LOS ANGELES,CA,90017,050471,PIH HEALTH GOOD SAMARITAN HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,06037,"Los Angeles County, California"
170176__2024__030,170176__2024,provider_original,10500 QUIVIRA ROAD,OVERLAND PARK,KS,66215,170176,OVERLAND PARK REGIONAL MED CTR,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,20091,"Johnson County, Kansas"
230117__2024__031,230117__2024,provider_original,1521 GULL ROAD,KALAMAZOO,MI,49048,230117,ASCENSION BORGESS HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,26077,"Kalamazoo County, Michigan"
450079__2024__032,450079__2024,provider_original,1901 NORTH MACARTHUR BLVD,IRVING,TX,75061,450079,BAYLOR S&W MEDICAL CENTER - IRVING,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,48113,"Dallas County, Texas"
284003__2024__033,284003__2024,provider_original,FOLSOM & PROSPECTOR,LINCOLN,NE,68509,284003,LINCOLN REGIONAL CENTER,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,31109,"Lancaster County, Nebraska"
210024__2024__034,210024__2024,provider_original,201 EAST UNIVERSITY PARKWAY,BALTIMORE,MD,21218,210024,MEDSTAR UNION MEMORIAL HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,24005,"Baltimore County, Maryland"
170049__2023__035,170049__2023,provider_original,20333 WEST 151 STREET,OLATHE,KS,66061,170049,OLATHE MEDICAL CENTER,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,20091,"Johnson County, Kansas"
130018__2023__036,130018__2023,provider_original,3100 CHANNING WAY,IDAHO FALLS,ID,83403,130018,EASTERN IDAHO REGIONAL MEDICAL CENTE,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,16019,"Bonneville County, Idaho"
670082__2024__037,670082__2024,provider_original,5252 W UNIVERSITY DR,MCKINNEY,TX,75021,670082,BAYLOR S&W MEDICAL CENTER - MCKINNEY,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,48085,"Collin County, Texas"
072004__2024__038,072004__2024,provider_original,2150 CORBIN AVENUE,NEW BRITAIN,CT,06053,072004,HOSPITAL FOR SPECIAL CARE,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,09003,"Hartford County, Connecticut"
370056__2024__039,370056__2024,provider_original,3401 W GORE,LAWTON,OK,73502,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,40031,"Comanche County, Oklahoma"
100126__2023__040,100126__2023,provider_original,1501 PASADENA AVE S,ST PETERSBURG,FL,33707,100126,HCA FLORIDA PASADENA HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,12103,"Pinellas County, Florida"
310016__2023__041,310016__2023,provider_original,176 PALISADES AVENUE,JERSEY CITY,NJ,07306,310016,CHRIST HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,34017,"Hudson County, New Jersey"
100069__2023__042,100069__2023,provider_original,7171 NORTH DALE MABRY HIGHWAY,TAMPA,FL,33614,100069,ADVENTHEALTH CARROLLWOOD,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,12057,"Hillsborough County, Florida"
144021__2024__043,144021__2024,provider_original,901 SOUTHWIND RD,SPRINGFIELD,IL,62703,144021,PACKARD MENTAL HEALTH CENTER,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,17167,"Sangamon County, Illinois"
190204__2023__044,190204__2023,provider_original,100 MEDICAL CENTER DRIVE,SLIDELL,LA,70461,190204,OCHSNER MEDICAL CENTER -NORTHSHORE,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,22103,"St. Tammany Parish, Louisiana"
130071__2023__045,130071__2023,provider_original,9850 W. ST. LUKES DRIVE,NAMPA,ID,83687,130071,ST. LUKES NAMPA MEDICAL CENTER,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,16027,"Canyon County, Idaho"
