packet_rank,cms_provider_number,provider_name,state_abbr,street_address,city,zip5,raw_county,fiscal_year,review_issue,review_priority,suggested_fips,suggested_county_name,supporting_matched_provider_rows,candidate_method,candidate_confidence,review_recommendation,source_operator_review_status,beds_total,discharges_total,total_costs_usd,net_patient_revenue_usd,closeout_action,closeout_note,provider_volume_score,provider_row_id,census_candidate_fips,census_candidate_county_name,census_match_status,census_match_type,census_matched_address,census_candidate_score,census_attempt_label,census_candidate_confidence,conflicting_census_candidate_fips,census_candidate_status,census_candidate_note,production_model_rank_or_dashboard_change
1,020001,PROVIDENCE ALASKA MEDICAL CENTER,AK,3200 PROVIDENCE DRIVE,ANCHORAGE,99519,,2023,cms_county_blank,high,02020,"Anchorage Municipality, Alaska",5,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,401.0,15050.0,618781998.0,804631256.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,020001__2023,02020,"Anchorage Municipality, Alaska",Match,Non_Exact,"3200 PROVIDENCE DR, ANCHORAGE, AK, 99508",0.8,provider_original,0.84,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
2,050180,JOHN MUIR MEDICAL CENTER - WC,CA,1601 YGNACIO VALLEY ROAD,WALNUT CREEK,94598,,2023,cms_county_blank,high,06013,"Contra Costa County, California",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,366.0,21618.0,871916251.0,1120141680.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,050180__2023,06013,"Contra Costa County, California",Match,Exact,"1601 YGNACIO VALLEY RD, WALNUT CREEK, CA, 94598",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
3,050174,SANTA ROSA MEMORIAL HOSPITAL,CA,1165 MONTGOMERY DRIVE,SANTA ROSA,95405,,2024,cms_county_blank,high,06097,"Sonoma County, California",3,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,255.0,11524.0,582038916.0,675197692.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,050174__2024,06097,"Sonoma County, California",Match,Exact,"1165 MONTGOMERY DR, SANTA ROSA, CA, 95405",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
4,050069,ST. JOSEPH HOSPITAL OF ORANGE,CA,1100 WEST STEWART DRIVE,ORANGE,92863,,2024,cms_county_blank,high,06059,"Orange County, California",3,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,330.0,33882.0,721056551.0,712225091.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,050069__2024,06059,"Orange County, California",Match,Non_Exact,"1100 W STEWART DR, ORANGE, CA, 92868",0.8,provider_original,0.84,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
5,050351,TORRANCE MEMORIAL MEDICAL CENTER,CA,3330 LOMITA BOULEVARD,TORRANCE,90505,,2024,cms_county_blank,high,06037,"Los Angeles County, California",3,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,493.0,26229.0,797626223.0,846476431.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,050351__2024,06037,"Los Angeles County, California",Match,Exact,"3330 LOMITA BLVD, TORRANCE, CA, 90505",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
6,100209,HCA FLORIDA KENDALL HOSPITAL,FL,11750 BIRD ROAD,MIAMI,33175,,2023,cms_county_blank,high,12086,"Miami-Dade County, Florida",14,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,424.0,20544.0,395991466.0,605941023.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,100209__2023,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,False
7,100204,HCA FLORIDA NORTH FLORIDA HOSP,FL,6500 W NEWBERRY ROAD,GAINESVILLE,32605,,2024,cms_county_blank,high,12001,"Alachua County, Florida",3,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,472.0,29940.0,451953994.0,649663921.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,100204__2024,12001,"Alachua County, Florida",Match,Exact,"6500 W NEWBERRY RD, GAINESVILLE, FL, 32605",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
8,190064,OUR LADY OF THE LAKE  RMC,LA,5000 HENNESSY BLVD,BATON ROUGE,70808,,2024,cms_county_blank,high,22033,"East Baton Rouge Parish, Louisiana",15,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,647.0,33984.0,1061786275.0,1448942077.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,190064__2024,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,False
9,230017,BRONSON METHODIST HOSPITAL,MI,601 JOHN STREET,KALAMAZOO,49007,,2023,cms_county_blank,high,26077,"Kalamazoo County, Michigan",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,415.0,24789.0,828990450.0,1143743050.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,230017__2023,26077,"Kalamazoo County, Michigan",Match,Exact,"601 JOHN ST, KALAMAZOO, MI, 49007",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
10,260105,SSM SAINT LOUIS UNIVERSITY HOSPITAL,MO,1201 SOUTH GRAND BLVD,ST. LOUIS,63104,,2023,cms_county_blank,high,29189,"St. Louis County, Missouri",9,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,366.0,23767.0,705130372.0,803223664.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,260105__2023,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,False
