batch_id,census_input_address,census_match_status,census_match_type,census_matched_address,census_coordinates,census_lon,census_lat,census_tigerline_id,census_tigerline_side,census_state_fips,census_county_fips,candidate_fips,census_tract,census_block,census_raw_field_count
490048__2023__176,"1900 ELECTRIC ROAD, SALEM, VA, 24153",Match,Exact,"1900 ELECTRIC RD, SALEM, VA, 24153","-80.033221505958,37.26407793233",-80.033221505958,37.26407793233,639519933,L,51,775,51775,010501,1007,12
103049__2023__284,"65 SILVER LANE, ST. AUGUSTINE, FL, 32084",Match,Exact,"65 SILVER LN, ST AUGUSTINE, FL, 32084","-81.349567778525,29.861265147167",-81.349567778525,29.861265147167,639507399,L,12,109,12109,021103,1002,12
054147__2024__297,"7050 TAMPA AVE, RESEDA, CA, 91335",Match,Exact,"7050 TAMPA AVE, RESEDA, CA, 91335","-118.553442321888,34.198374261592",-118.553442321888,34.198374261592,141554186,R,06,037,06037,132501,2001,12
250141__2023__168,"7601 SOUTHCREST, SOUTHAVEN, MS, 38671",Tie,,,,,,,,,,,,,3
521302__2023__342,"13025 8TH STREET, OSSEO, WI, 54758",Match,Exact,"13025 8TH ST, OSSEO, WI, 54758","-91.214452130104,44.577832249154",-91.214452130104,44.577832249154,639539984,R,55,121,55121,100100,2055,12
050708__2023__075,"6125 NORTH FRESNO STREET, FRESNO, CA, 96710",Match,Non_Exact,"6125 N FRESNO ST, FRESNO, CA, 93710","-119.781395100572,36.82492623024",-119.781395100572,36.82492623024,197612190,L,06,019,06019,004504,1020,12
191309__2023__423,"301 WEST WALNUT, AMITE, LA, 70422",Match,Non_Exact,"301 WALNUT ST, AMITE, LA, 70422","-90.519982261955,30.733472456941",-90.519982261955,30.733472456941,75775069,L,22,105,22105,953402,1041,12
101311__2023__315,"224 NW CRANE AVENUE, MADISON, FL, 32340",Match,Exact,"224 NW CRANE AVE, MADISON, FL, 32340","-83.419825411858,30.471301546739",-83.419825411858,30.471301546739,643634751,R,12,079,12079,110301,2035,12
400001__2024__139,"1451 ASHFORD AVE., SAN JUAN, PR, 00902",Match,Non_Exact,"1451 AVE ASHFORD, SAN JUAN, PR, 00907","-66.065167520309,18.454812038178",-66.065167520309,18.454812038178,206603948,L,72,127,72127,001001,4000,12
460014__2023__263,"211 SOUTH 100 EAST, TOOELE, UT, 84074",Match,Exact,"211 S 100 E, TOOELE, UT, 84074","-112.295594899334,40.526476371465",-112.295594899334,40.526476371465,155390426,R,49,045,49045,131200,3007,12
364067__2024__373,"2575 S BELVOIR BLVD, UNIVERSITY HEIGHTS, OH, 44118",Match,Exact,"2575 S BELVOIR BLVD, UNIVERSITY HEIGHTS, OH, 44118","-81.52733763946,41.489324247056",-81.52733763946,41.489324247056,638883478,L,39,035,39035,187106,3006,12
670265__2024__096,"1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX, 75007",No_Match,,,,,,,,,,,,,3
370093__2024__015,"1200 CHILDRENS AVE, OKLAHOMA CITY, OK, 73104",No_Match,,,,,,,,,,,,,3
141303__2024__350,"422 WEST WHITE STREET, CLINTON, IL, 61727",Match,Exact,"422 W WHITE ST, CLINTON, IL, 61727","-88.964425675851,40.148908302305",-88.964425675851,40.148908302305,20504247,R,17,039,17039,971700,3053,12
230099__2023__207,"718 NORTH MACOMB, MONROE, MI, 48162",Match,Non_Exact,"718 N MACOMB ST, MONROE, MI, 48162","-83.388945476874,41.925211012466",-83.388945476874,41.925211012466,40477922,R,26,115,26115,831600,2009,12
180002__2024__248,"240 HOSPITAL ROAD, WHITESBURG, KY, 41858",Match,Exact,"240 HOSPITAL RD, WHITESBURG, KY, 41858","-82.81311340949,37.113550346174",-82.81311340949,37.113550346174,639475995,L,21,133,21133,950404,3049,12
420048__2024__239,"1315 ROBERTS STREET, CAMDEN, SC, 29020",Match,Exact,"1315 ROBERTS ST, CAMDEN, SC, 29020","-80.589424712964,34.252418452381",-80.589424712964,34.252418452381,78489704,L,45,055,45055,970800,5036,12
460047__2024__025,"1200 EAST 3900 SOUTH, SALT LAKE CITY, UT, 84124",Match,Exact,"1200 E 3900 S, SALT LAKE CITY, UT, 84124","-111.85705840439,40.686992672703",-111.85705840439,40.686992672703,176082813,R,49,035,49035,111903,2000,12
254012__2023__088,"180 DEBUYS ROAD, BILOXI, MS, 39531",Match,Exact,"180 DEBUYS RD, BILOXI, MS, 39531","-89.001203439971,30.391274494558",-89.001203439971,30.391274494558,647918232,R,28,047,28047,001302,2006,12
670131__2024__334,"5330 OVERPASS ROAD, BUDA, TX, 78610",No_Match,,,,,,,,,,,,,3
190088__2023__290,"2001 DOCTORS DRIVE, SPRINGHILL, LA, 71075",Match,Exact,"2001 DOCTORS DR, SPRINGHILL, LA, 71075","-93.442750655622,33.010514780417",-93.442750655622,33.010514780417,73416293,R,22,119,22119,031300,1019,12
670131__2024__333,"5330 OVERPASS ROAD SUITE 110, BUDA, TX, 78610",No_Match,,,,,,,,,,,,,3
300018__2023__173,"789 CENTRAL AV, DOVER, NH, 03820",Match,Exact,"789 CENTRAL AVE, DOVER, NH, 03820","-70.874760680242,43.21214909112",-70.874760680242,43.21214909112,117806213,R,33,017,33017,081500,3002,12
670108__2024__243,"810 WEST HIGHWAY 71, MARBLE FALLS, TX, 78654",Match,Exact,"810 W STATE HWY 71, MARBLE FALLS, TX, 78654","-98.305575270722,30.511730023266",-98.305575270722,30.511730023266,658315422,R,48,053,48053,960801,2004,12
