cms_provider_number,fiscal_year,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_source,acceptance_action,accepted_at,packet_rank,provider_name,state_abbr,street_address,city,zip5,raw_county,review_issue,candidate_method,suggested_fips,suggested_county_name,supporting_matched_provider_rows,closeout_action,acceptance_status,acceptance_issue,production_model_rank_or_dashboard_change
400014,2023,assign_county,72097,Mayagüez Muno,0.86,Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Mayagüez Muno (72097) for provider 400014 fiscal year 2023. Same-city and external-geocode rows remain under review; no production promotion.,/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,1,HOSPITAL BELLA VISTA,PR,349 KM 2.7,MAYAGUEZ,00680,,cms_county_blank,same_state_zip5_unique_matched_cms_rows,72097,Mayagüez Muno,1,approve_same_zip_candidate_after_address_spotcheck,accepted,,False
020001,2023,assign_county,02020,"Anchorage Municipality, Alaska",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Anchorage Municipality, Alaska (02020) for provider 020001 fiscal year 2023. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,2,PROVIDENCE ALASKA MEDICAL CENTER,AK,3200 PROVIDENCE DRIVE,ANCHORAGE,99519,,cms_county_blank,same_state_city_unique_matched_cms_rows,02020,"Anchorage Municipality, Alaska",5,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
050069,2024,assign_county,06059,"Orange County, California",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Orange County, California (06059) for provider 050069 fiscal year 2024. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,3,ST. JOSEPH HOSPITAL OF ORANGE,CA,1100 WEST STEWART DRIVE,ORANGE,92863,,cms_county_blank,same_state_city_unique_matched_cms_rows,06059,"Orange County, California",4,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
100209,2023,assign_county,12086,"Miami-Dade County, Florida",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Miami-Dade County, Florida (12086) for provider 100209 fiscal year 2023. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,4,HCA FLORIDA KENDALL HOSPITAL,FL,11750 BIRD ROAD,MIAMI,33175,,cms_county_blank,same_state_city_unique_matched_cms_rows,12086,"Miami-Dade County, Florida",14,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
190064,2024,assign_county,22033,"East Baton Rouge Parish, Louisiana",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned East Baton Rouge Parish, Louisiana (22033) for provider 190064 fiscal year 2024. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,5,OUR LADY OF THE LAKE RMC,LA,5000 HENNESSY BLVD,BATON ROUGE,70808,,cms_county_blank,same_state_city_unique_matched_cms_rows,22033,"East Baton Rouge Parish, Louisiana",17,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
260105,2023,assign_county,29189,"St. Louis County, Missouri",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned St. Louis County, Missouri (29189) for provider 260105 fiscal year 2023. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,6,SSM SAINT LOUIS UNIVERSITY HOSPITAL,MO,1201 SOUTH GRAND BLVD,ST. LOUIS,63104,,cms_county_blank,same_state_city_unique_matched_cms_rows,29189,"St. Louis County, Missouri",9,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
290041,2023,assign_county,32003,"Clark County, Nevada",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Clark County, Nevada (32003) for provider 290041 fiscal year 2023. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,7,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,657 TOWN CENTER DRIVE,LAS VEGAS,89114,,cms_county_blank,same_state_city_unique_matched_cms_rows,32003,"Clark County, Nevada",23,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
370093,2024,assign_county,40109,"Oklahoma County, Oklahoma",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Oklahoma County, Oklahoma (40109) for provider 370093 fiscal year 2024. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,8,OU MEDICAL CENTER,OK,1200 CHILDRENS AVE,OKLAHOMA CITY,73104,,cms_county_blank,same_state_city_unique_matched_cms_rows,40109,"Oklahoma County, Oklahoma",24,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
450788,2024,assign_county,48355,"Nueces County, Texas",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Nueces County, Texas (48355) for provider 450788 fiscal year 2024. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,9,CORPUS CHRISTI MEDICAL CENTER,TX,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,78412,,cms_county_blank,same_state_city_unique_matched_cms_rows,48355,"Nueces County, Texas",5,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
450431,2023,assign_county,48453,"Travis County, Texas",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Travis County, Texas (48453) for provider 450431 fiscal year 2023. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,10,ST. DAVIDS MEDICAL CENTER,TX,919 EAST 32ND STREET,AUSTIN,78765,,cms_county_blank,same_state_city_unique_matched_cms_rows,48453,"Travis County, Texas",17,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
