cms_provider_number,fiscal_year,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_source,acceptance_action,accepted_at,provider_name,state_abbr,city,zip5,street_address,closeout_action,census_candidate_status,census_match_type,census_matched_address,census_candidate_score,census_attempt_label,acceptance_status,acceptance_issue,production_model_rank_or_dashboard_change
020001,2023,assign_county,02020,"Anchorage Municipality, Alaska",0.84,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Anchorage Municipality, Alaska (02020) for provider 020001 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,PROVIDENCE ALASKA MEDICAL CENTER,AK,ANCHORAGE,99519,3200 PROVIDENCE DRIVE,spot_check_same_city_candidate_before_assignment,same_city_census_context_only,Non_Exact,"3200 PROVIDENCE DR, ANCHORAGE, AK, 99508",0.8,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; census_match_type_not_exact; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
050180,2023,assign_county,06013,"Contra Costa County, California",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Contra Costa County, California (06013) for provider 050180 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,JOHN MUIR MEDICAL CENTER - WC,CA,WALNUT CREEK,94598,1601 YGNACIO VALLEY ROAD,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"1601 YGNACIO VALLEY RD, WALNUT CREEK, CA, 94598",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
050174,2024,assign_county,06097,"Sonoma County, California",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Sonoma County, California (06097) for provider 050174 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,SANTA ROSA MEMORIAL HOSPITAL,CA,SANTA ROSA,95405,1165 MONTGOMERY DRIVE,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"1165 MONTGOMERY DR, SANTA ROSA, CA, 95405",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
050069,2024,assign_county,06059,"Orange County, California",0.84,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Orange County, California (06059) for provider 050069 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,ST. JOSEPH HOSPITAL OF ORANGE,CA,ORANGE,92863,1100 WEST STEWART DRIVE,spot_check_same_city_candidate_before_assignment,same_city_census_context_only,Non_Exact,"1100 W STEWART DR, ORANGE, CA, 92868",0.8,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; census_match_type_not_exact; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
050351,2024,assign_county,06037,"Los Angeles County, California",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Los Angeles County, California (06037) for provider 050351 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,TORRANCE MEMORIAL MEDICAL CENTER,CA,TORRANCE,90505,3330 LOMITA BOULEVARD,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"3330 LOMITA BLVD, TORRANCE, CA, 90505",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
100209,2023,assign_county,,,,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to  () for provider 100209 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,HCA FLORIDA KENDALL HOSPITAL,FL,MIAMI,33175,11750 BIRD ROAD,spot_check_same_city_candidate_before_assignment,unresolved_after_census_batch,,,,,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; not_provider_original_attempt; census_match_status_not_match; census_match_type_not_exact; census_fips_not_in_county_lookup; census_confidence_below_0_93; census_score_below_0_97; missing_census_matched_address; matched_address_missing_provider_zip5; matched_address_missing_number,False
100204,2024,assign_county,12001,"Alachua County, Florida",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Alachua County, Florida (12001) for provider 100204 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,HCA FLORIDA NORTH FLORIDA HOSP,FL,GAINESVILLE,32605,6500 W NEWBERRY ROAD,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"6500 W NEWBERRY RD, GAINESVILLE, FL, 32605",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
190064,2024,assign_county,,,,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to  () for provider 190064 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,OUR LADY OF THE LAKE RMC,LA,BATON ROUGE,70808,5000 HENNESSY BLVD,spot_check_same_city_candidate_before_assignment,unresolved_after_census_batch,,,,,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; not_provider_original_attempt; census_match_status_not_match; census_match_type_not_exact; census_fips_not_in_county_lookup; census_confidence_below_0_93; census_score_below_0_97; missing_census_matched_address; matched_address_missing_provider_zip5; matched_address_missing_number,False
230017,2023,assign_county,26077,"Kalamazoo County, Michigan",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Kalamazoo County, Michigan (26077) for provider 230017 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,BRONSON METHODIST HOSPITAL,MI,KALAMAZOO,49007,601 JOHN STREET,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"601 JOHN ST, KALAMAZOO, MI, 49007",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
260105,2023,assign_county,,,,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to  () for provider 260105 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,SSM SAINT LOUIS UNIVERSITY HOSPITAL,MO,ST. LOUIS,63104,1201 SOUTH GRAND BLVD,spot_check_same_city_candidate_before_assignment,unresolved_after_census_batch,,,,,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; not_provider_original_attempt; census_match_status_not_match; census_match_type_not_exact; census_fips_not_in_county_lookup; census_confidence_below_0_93; census_score_below_0_97; missing_census_matched_address; matched_address_missing_provider_zip5; matched_address_missing_number,False
