provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,external_manual_lane,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_match_type,census_match_status,census_match_type,census_matched_address,census_candidate_score,review_issue
284003__2024,284003,2024,LINCOLN REGIONAL CENTER,NE,weak_same_fips_census_context_manual_review,hold,31109,"Lancaster County, Nebraska",0.84,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"S FOLSOM ST & W PROSPECTOR PL, LINCOLN, NE, 68522",0.75,not_external_census_context_only; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported
100209__2023,100209,2023,HCA FLORIDA KENDALL HOSPITAL,FL,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
190064__2024,190064,2024,OUR LADY OF THE LAKE RMC,LA,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
260105__2023,260105,2023,SSM SAINT LOUIS UNIVERSITY HOSPITAL,MO,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
290041__2023,290041,2023,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
370093__2024,370093,2024,OU MEDICAL CENTER,OK,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
450788__2024,450788,2024,CORPUS CHRISTI MEDICAL CENTER,TX,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
030115__2023,030115,2023,BANNER ESTRELLA MEDICAL CENTER,AZ,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
210024__2024,210024,2024,MEDSTAR UNION MEMORIAL HOSPITAL,MD,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
450079__2024,450079,2024,BAYLOR S&W MEDICAL CENTER - IRVING,TX,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
370056__2024,370056,2024,COMANCHE COUNTY MEMORIAL HOSPITAL,OK,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
190204__2023,190204,2023,OCHSNER MEDICAL CENTER -NORTHSHORE,LA,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
210034__2024,210034,2024,MEDSTAR HARBOR HOSPITAL,MD,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
190054__2023,190054,2023,IBERIA MEDICAL CENTER,LA,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
474001__2023,474001,2023,BRATTLEBORO RETREAT,VT,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
514009__2024,514009,2024,MILDRED MITCHELL-BATEMAN HOSPITAL,WV,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
054089__2024,054089,2024,JEWISH HOME FOR THE AGED,CA,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
343025__2023,343025,2023,CAREPARTNERS REHAB HOSPITAL,NC,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
670112__2024,670112,2024,CUMBERLAND SURGICAL HOSPITAL,TX,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
212002__2024,212002,2024,WESTERN MARYLAND HOSPITAL CENTER,MD,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
190044__2023,190044,2023,ACADIA GENERAL HOSPITAL,LA,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
103052__2023,103052,2023,ENCOMPASS HEALTH REHABILITATION HOSP,FL,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
670265__2024,670265,2024,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
054149__2024,054149,2024,WILLOW ROCK CENTER,CA,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
213300__2024,213300,2024,MT WASHINGTON PEDIATRICS,MD,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400016__2023,400016,2023,AUXILIO MUTUO HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400044__2023,400044,2023,SAN LUCAS PONCE,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400061__2024,400061,2024,UNIVERSITY DISCTRICT HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400127__2024,400127,2024,ADMIN DE SERVICIOS MEDICOS DE PR,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400015__2024,400015,2024,SAN JUAN MUNICIPAL HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400098__2023,400098,2023,HOSPITAL SAN FRANCISCO,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400106__2023,400106,2023,HOSPITAL METROPOLITANO,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
