cms_provider_number,fiscal_year,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_source,acceptance_action,accepted_at,external_manual_rank,provider_year_key,provider_name,state_abbr,street_address,city,zip5,external_manual_lane,reviewer_decision,manual_geocode_source,manual_geocode_match_type,reviewed_by,reviewed_at,acceptance_status,acceptance_issue,production_model_rank_or_dashboard_change
050224,2023,assign_county,06059,"Orange County, California",0.6400,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; postcode_not_supported; confidence_below_0_90.,output/institutional_anchor_provider_geocode_external_manual_osm_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:25:51.325711+00:00,34,050224__2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,ONE HOAG DRIVE,NEWPORT BEACH,92658,external_geocoder_required_no_local_candidate,hold,openstreetmap_nominatim_point_in_county_external_geocoder,,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00,held_or_rejected,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; postcode_not_supported; confidence_below_0_90.,False
050367,2023,assign_county,06095,"Solano County, California",1.0000,"Accepted report-only institutional-anchor CMS provider external/manual geocode review: openstreetmap_nominatim_point_in_county_external_geocoder / external_geocoder_house_zip_city_state_point_county assigned Solano County, California (06095) for provider 050367 fiscal year 2023 at confidence 1.00. Reviewer note: Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Solano County, California (06095) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: NorthBay Medical Center, 1200, B Gale Wilson Boulevard, Fairfield, Solano County, California, 94533, United States.. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",output/institutional_anchor_provider_geocode_external_manual_osm_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:25:51.325711+00:00,35,050367__2023,NORTHBAY HOSPITAL GROUP,CA,1200 B. GALE WILSON BLVD,FAIRFIELD,94533,external_geocoder_required_no_local_candidate,accept,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00,accepted,,False
390180,2023,assign_county,42045,"Delaware County, Pennsylvania",0.7000,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; confidence_below_0_90.,output/institutional_anchor_provider_geocode_external_manual_osm_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:25:51.325711+00:00,36,390180__2023,CROZER CHESTER MEDICAL CENTER,PA,ONE MEDICAL CENTER BLVD.,UPLAND,19013,external_geocoder_required_no_local_candidate,hold,openstreetmap_nominatim_point_in_county_external_geocoder,,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00,held_or_rejected,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; confidence_below_0_90.,False
250141,2023,assign_county,28033,"DeSoto County, Mississippi",1.0000,"Accepted report-only institutional-anchor CMS provider external/manual geocode review: openstreetmap_nominatim_point_in_county_external_geocoder / external_geocoder_house_zip_city_state_point_county assigned DeSoto County, Mississippi (28033) for provider 250141 fiscal year 2023 at confidence 1.00. Reviewer note: Accepted from strict OSM/Nominatim external geocoder review: returned point maps to DeSoto County, Mississippi (28033) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Baptist Memorial Hospital-DeSoto, 7601, Southcrest Parkway, Southaven, DeSoto County, Mississippi, 38671, United States.. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",output/institutional_anchor_provider_geocode_external_manual_osm_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:25:51.325711+00:00,37,250141__2023,BAPTIST MEM HOSPITAL DESOTO,MS,7601 SOUTHCREST,SOUTHAVEN,38671,external_geocoder_required_no_local_candidate,accept,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00,accepted,,False
220084,2023,assign_county,25017,"Middlesex County, Massachusetts",0.7800,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; confidence_below_0_90.,output/institutional_anchor_provider_geocode_external_manual_osm_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:25:51.325711+00:00,38,220084__2023,EMERSON HOSPITAL,MA,113 ORNC,CONCORD,01742,external_geocoder_required_no_local_candidate,hold,openstreetmap_nominatim_point_in_county_external_geocoder,,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00,held_or_rejected,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; confidence_below_0_90.,False
150015,2023,assign_county,18091,"LaPorte County, Indiana",1.0000,"Accepted report-only institutional-anchor CMS provider external/manual geocode review: openstreetmap_nominatim_point_in_county_external_geocoder / external_geocoder_house_zip_city_state_point_county assigned LaPorte County, Indiana (18091) for provider 150015 fiscal year 2023 at confidence 1.00. Reviewer note: Accepted from strict OSM/Nominatim external geocoder review: returned point maps to LaPorte County, Indiana (18091) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Franciscan Health Michigan City, 3500, Franciscan Way, Michigan City, LaPorte County, Indiana, 46360, United States.. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",output/institutional_anchor_provider_geocode_external_manual_osm_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:25:51.325711+00:00,39,150015__2023,FRANCISCAN HEALTH MICHIGAN CITY,IN,3500 FRANCISCAN WAY,MICHIGAN CITY,46360,external_geocoder_required_no_local_candidate,accept,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00,accepted,,False
140164,2024,assign_county,17077,"Jackson County, Illinois",1.0000,"Accepted report-only institutional-anchor CMS provider external/manual geocode review: openstreetmap_nominatim_point_in_county_external_geocoder / external_geocoder_house_zip_city_state_point_county assigned Jackson County, Illinois (17077) for provider 140164 fiscal year 2024 at confidence 1.00. Reviewer note: Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Jackson County, Illinois (17077) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Memorial Hospital of Carbondale, 405, West Jackson Street, Carbondale, Jackson County, Illinois, 62902, United States.. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",output/institutional_anchor_provider_geocode_external_manual_osm_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:25:51.325711+00:00,40,140164__2024,MEMORIAL HOSPITAL OF CARBONDALE,IL,405 W. JACKSON ST.,CARBONDALE,62902,external_geocoder_required_no_local_candidate,accept,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00,accepted,,False
100269,2024,assign_county,,,,Held by strict OSM/Nominatim external geocoder review: no_geocoder_result.,output/institutional_anchor_provider_geocode_external_manual_osm_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:25:51.325711+00:00,41,100269__2024,HCA FLORIDA PALMS WEST HOSPITAL,FL,13001 STATE ROAD 80,LOXAHATCHEE,33470,external_geocoder_required_no_local_candidate,hold,,,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00,held_or_rejected,Held by strict OSM/Nominatim external geocoder review: no_geocoder_result.,False
110192,2024,assign_county,13135,"Gwinnett County, Georgia",0.8200,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,output/institutional_anchor_provider_geocode_external_manual_osm_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:25:51.325711+00:00,42,110192__2024,PIEDMONT EASTSIDE MEDICAL CENTER,GA,1700 MEDICAL WAY,SNELLVILLE,30278,external_geocoder_required_no_local_candidate,hold,openstreetmap_nominatim_point_in_county_external_geocoder,,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00,held_or_rejected,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,False
264010,2024,assign_county,29510,"St. Louis city, Missouri",0.6400,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; city_not_supported; confidence_below_0_90.,output/institutional_anchor_provider_geocode_external_manual_osm_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:25:51.325711+00:00,43,264010__2024,ST. LOUIS FORENSIC TREATMENT CENTER,MO,500 ARSENAL STREET,ST.LOUIS,63119,external_geocoder_required_no_local_candidate,hold,openstreetmap_nominatim_point_in_county_external_geocoder,,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00,held_or_rejected,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; city_not_supported; confidence_below_0_90.,False
