provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,street_address,city,zip5,external_manual_lane,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,geocoder_name,geocoder_display_name,attempt_label,attempt_query,candidate_issue
050224__2023,050224,2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,ONE HOAG DRIVE,NEWPORT BEACH,92658,external_geocoder_required_no_local_candidate,hold,06059,"Orange County, California",0.64,Hoag Memorial Hospital Presbyterian,"Hoag Memorial Hospital Presbyterian, 1, Hoag Drive, West Newport, Newport Beach, Orange County, California, 92663, United States",provider_city_zip,"HOAG MEMORIAL HOSPITAL PRESBYTERIAN, NEWPORT BEACH, CA, 92658",house_number_not_supported; postcode_not_supported; confidence_below_0_90
050367__2023,050367,2023,NORTHBAY HOSPITAL GROUP,CA,1200 B. GALE WILSON BLVD,FAIRFIELD,94533,external_geocoder_required_no_local_candidate,accept,06095,"Solano County, California",1.0,NorthBay Medical Center,"NorthBay Medical Center, 1200, B Gale Wilson Boulevard, Fairfield, Solano County, California, 94533, United States",address_only,"1200 B. GALE WILSON BLVD, FAIRFIELD, CA, 94533",
390180__2023,390180,2023,CROZER CHESTER MEDICAL CENTER,PA,ONE MEDICAL CENTER BLVD.,UPLAND,19013,external_geocoder_required_no_local_candidate,hold,42045,"Delaware County, Pennsylvania",0.7,Medical Center Boulevard,"Medical Center Boulevard, Upland, Delaware County, Pennsylvania, 19013, United States",address_only,"ONE MEDICAL CENTER BLVD., UPLAND, PA, 19013",house_number_not_supported; confidence_below_0_90
250141__2023,250141,2023,BAPTIST MEM HOSPITAL DESOTO,MS,7601 SOUTHCREST,SOUTHAVEN,38671,external_geocoder_required_no_local_candidate,accept,28033,"DeSoto County, Mississippi",1.0,Baptist Memorial Hospital-DeSoto,"Baptist Memorial Hospital-DeSoto, 7601, Southcrest Parkway, Southaven, DeSoto County, Mississippi, 38671, United States",address_only,"7601 SOUTHCREST, SOUTHAVEN, MS, 38671",
220084__2023,220084,2023,EMERSON HOSPITAL,MA,113 ORNC,CONCORD,01742,external_geocoder_required_no_local_candidate,hold,25017,"Middlesex County, Massachusetts",0.78,Emerson Hospital,"Emerson Hospital, 133, Old Road to Nine Acre Corner, West Concord, Concord, Middlesex County, Massachusetts, 01742, United States",provider_city_zip,"EMERSON HOSPITAL, CONCORD, MA, 01742",house_number_not_supported; confidence_below_0_90
150015__2023,150015,2023,FRANCISCAN HEALTH MICHIGAN CITY,IN,3500 FRANCISCAN WAY,MICHIGAN CITY,46360,external_geocoder_required_no_local_candidate,accept,18091,"LaPorte County, Indiana",1.0,Franciscan Health Michigan City,"Franciscan Health Michigan City, 3500, Franciscan Way, Michigan City, LaPorte County, Indiana, 46360, United States",address_only,"3500 FRANCISCAN WAY, MICHIGAN CITY, IN, 46360",
140164__2024,140164,2024,MEMORIAL HOSPITAL OF CARBONDALE,IL,405 W. JACKSON ST.,CARBONDALE,62902,external_geocoder_required_no_local_candidate,accept,17077,"Jackson County, Illinois",1.0,Memorial Hospital of Carbondale,"Memorial Hospital of Carbondale, 405, West Jackson Street, Carbondale, Jackson County, Illinois, 62902, United States",address_only,"405 W. JACKSON ST., CARBONDALE, IL, 62902",
100269__2024,100269,2024,HCA FLORIDA PALMS WEST HOSPITAL,FL,13001 STATE ROAD 80,LOXAHATCHEE,33470,external_geocoder_required_no_local_candidate,hold,,,,,,,,no_geocoder_result
110192__2024,110192,2024,PIEDMONT EASTSIDE MEDICAL CENTER,GA,1700 MEDICAL WAY,SNELLVILLE,30278,external_geocoder_required_no_local_candidate,hold,13135,"Gwinnett County, Georgia",0.82,Piedmont Eastside Medical Center,"Piedmont Eastside Medical Center, 1700, Medical Way, Snellville, Gwinnett County, Georgia, 30078, United States",provider_address,"PIEDMONT EASTSIDE MEDICAL CENTER, 1700 MEDICAL WAY, SNELLVILLE, GA, 30278",postcode_not_supported; confidence_below_0_90
264010__2024,264010,2024,ST. LOUIS FORENSIC TREATMENT CENTER,MO,500 ARSENAL STREET,ST.LOUIS,63119,external_geocoder_required_no_local_candidate,hold,29510,"St. Louis city, Missouri",0.64,,"500, Arsenal Street, Kosciusko, Saint Louis, Missouri, 63118, United States",address_only,"500 ARSENAL STREET, ST.LOUIS, MO, 63119",postcode_not_supported; city_not_supported; confidence_below_0_90
100224__2024,100224,2024,HCA FLORIDA WOODMONT HOSPITAL,FL,7201 UNIVERSITY DRIVE,TAMARAC,33321,external_geocoder_required_no_local_candidate,accept,12011,"Broward County, Florida",1.0,HCA Florida Woodmont Hospital,"HCA Florida Woodmont Hospital, 7201, North University Drive, Tamarac, Broward County, Florida, 33321, United States",address_only,"7201 UNIVERSITY DRIVE, TAMARAC, FL, 33321",
440068__2023,440068,2023,ATHENS REGIONAL MEDICAL CENTER,TN,1114 MADISON AVENUE,ATHENS,37303,external_geocoder_required_no_local_candidate,accept,47107,"McMinn County, Tennessee",1.0,Starr Regional Medical Center,"Starr Regional Medical Center, 1114, West Madison Avenue, Avalon Heights, Athens, McMinn County, East Tennessee, Tennessee, 37303, United States",address_only,"1114 MADISON AVENUE, ATHENS, TN, 37303",
440194__2024,440194,2024,TRISTAR HENDERSONVILLE MEDICAL CENTE,TN,355 NEW SHACKLE ISLAND,HENDERSONVILLE,37215,external_geocoder_required_no_local_candidate,hold,47165,"Sumner County, Tennessee",0.82,TriStar Hendersonville,"TriStar Hendersonville, 355, New Shackle Island Road, Glen Oaks, Hendersonville, Sumner County, Middle Tennessee, Tennessee, 37075, United States",address_no_zip,"355 NEW SHACKLE ISLAND, HENDERSONVILLE, TN",postcode_not_supported; confidence_below_0_90
140008__2024,140008,2024,GOTTLIEB MEMORIAL HOSPITAL,IL,8700 WEST NORTH AVENUE,MELROSE PARK,60160,external_geocoder_required_no_local_candidate,hold,17031,"Cook County, Illinois",0.78,Gottlieb Memorial Hospital,"Gottlieb Memorial Hospital, 701, 9th Avenue, Melrose Park, Leyden Township, Cook County, Illinois, 60160, United States",provider_city_zip,"GOTTLIEB MEMORIAL HOSPITAL, MELROSE PARK, IL, 60160",house_number_not_supported; confidence_below_0_90
110023__2023,110023,2023,ADVENTHEALTH GORDON,GA,1035 RED BUD ROAD,CALHOUN,30703,external_geocoder_required_no_local_candidate,hold,13129,"Gordon County, Georgia",0.82,AdventHealth Gordon Hospital,"AdventHealth Gordon Hospital, 1035, Red Bud Road Northeast, Calhoun, Gordon County, Georgia, 30701, United States",address_no_zip,"1035 RED BUD ROAD, CALHOUN, GA",postcode_not_supported; confidence_below_0_90
230193__2023,230193,2023,MCLAREN LAPEER REGION,MI,1375 NORTH MAIN STREET,LAPEER,48436,external_geocoder_required_no_local_candidate,hold,26087,"Lapeer County, Michigan",0.82,McLaren Lapeer Region,"McLaren Lapeer Region, 1375, North Main Street, Lapeer, Lapeer County, Michigan, 48446, United States",address_only,"1375 NORTH MAIN STREET, LAPEER, MI, 48436",postcode_not_supported; confidence_below_0_90
460013__2024,460013,2024,MOUNTAIN VIEW HOSPITAL,UT,1000 EAST 100 NORTH,PAYSON,84651,external_geocoder_required_no_local_candidate,hold,49049,"Utah County, Utah",0.78,Mountain View Hospital,"Mountain View Hospital, 1000 E, 100 North, Payson, Utah County, Utah, 84651, United States",provider_city_zip,"MOUNTAIN VIEW HOSPITAL, PAYSON, UT, 84651",house_number_not_supported; confidence_below_0_90
450587__2024,450587,2024,HENDRICK MEDICAL CENTER BROWNWOOD,TX,1501 BURNET DRIVE,BROWNWOOD,76804,external_geocoder_required_no_local_candidate,hold,,,,,,,,no_geocoder_result
