attempt_key,provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,street_address,city,zip5,external_manual_lane,attempt_label,attempt_query,result_index,geocoder_point_fips,geocoder_point_county_name,geocoder_point_state_abbr,geocoder_lat,geocoder_lon,geocoder_name,geocoder_display_name,geocoder_category,geocoder_type,geocoder_address_house_number,geocoder_address_road,geocoder_address_city,geocoder_address_county,geocoder_address_state,geocoder_address_postcode,house_number_supported,zip_supported,city_supported,state_supported,health_result_supported,provider_name_supported,road_supported,manual_geocode_confidence,candidate_failures,result_json
f6e20b5eeed19867e7fa,050224__2023,050224,2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,ONE HOAG DRIVE,NEWPORT BEACH,92658,external_geocoder_required_no_local_candidate,address_only,"ONE HOAG DRIVE, NEWPORT BEACH, CA, 92658",0,06059,"Orange County, California",CA,33.6228249,-117.9290888,Hoag Drive,"Hoag Drive, Superior Heights, West Newport, Newport Beach, Orange County, California, 92663, United States",highway,unclassified,,Hoag Drive,Newport Beach,Orange County,California,92663,False,False,True,True,False,True,True,0.56,house_number_not_supported; postcode_not_supported; confidence_below_0_90,"{""address"": {""ISO3166-2-lvl4"": ""US-CA"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Orange County"", ""neighbourhood"": ""Superior Heights"", ""postcode"": ""92663"", ""quarter"": ""West Newport"", ""road"": ""Hoag Drive"", ""state"": ""California"", ""town"": ""Newport Beach""}, ""addresstype"": ""road"", ""boundingbox"": [""33.6219476"", ""33.6257599"", ""-117.9331739"", ""-117.9287365""], ""category"": ""highway"", ""display_name"": ""Hoag Drive, Superior Heights, West Newport, Newport Beach, Orange County, California, 92663, United States"", ""extratags"": {""lanes"": ""2"", ""source_ref"": ""AM909_DSCU4626"", ""surface"": ""asphalt""}, ""importance"": 0.05339496528572515, ""lat"": ""33.6228249"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-117.9290888"", ""name"": ""Hoag Drive"", ""osm_id"": 13278989, ""osm_type"": ""way"", ""place_id"": 314979898, ""place_rank"": 26, ""type"": ""unclassified""}"
f6e20b5eeed19867e7fa,050224__2023,050224,2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,ONE HOAG DRIVE,NEWPORT BEACH,92658,external_geocoder_required_no_local_candidate,address_only,"ONE HOAG DRIVE, NEWPORT BEACH, CA, 92658",1,06059,"Orange County, California",CA,33.6220799,-117.9332650,Hoag Drive,"Hoag Drive, West Newport, Newport Beach, Orange County, California, 92663, United States",highway,unclassified,,Hoag Drive,Newport Beach,Orange County,California,92663,False,False,True,True,False,True,True,0.56,house_number_not_supported; postcode_not_supported; confidence_below_0_90,"{""address"": {""ISO3166-2-lvl4"": ""US-CA"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Orange County"", ""postcode"": ""92663"", ""quarter"": ""West Newport"", ""road"": ""Hoag Drive"", ""state"": ""California"", ""town"": ""Newport Beach""}, ""addresstype"": ""road"", ""boundingbox"": [""33.6218617"", ""33.6222725"", ""-117.9333103"", ""-117.9331739""], ""category"": ""highway"", ""display_name"": ""Hoag Drive, West Newport, Newport Beach, Orange County, California, 92663, United States"", ""extratags"": {""lanes"": ""3"", ""oneway"": ""yes"", ""sidewalk:left"": ""no"", ""sidewalk:right"": ""separate"", ""surface"": ""asphalt""}, ""importance"": 0.05339496528572515, ""lat"": ""33.6220799"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-117.9332650"", ""name"": ""Hoag Drive"", ""osm_id"": 1112827381, ""osm_type"": ""way"", ""place_id"": 317747574, ""place_rank"": 26, ""type"": ""unclassified""}"
778d2d36412e1183eb57,050224__2023,050224,2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,ONE HOAG DRIVE,NEWPORT BEACH,92658,external_geocoder_required_no_local_candidate,address_no_zip,"ONE HOAG DRIVE, NEWPORT BEACH, CA",0,06059,"Orange County, California",CA,33.6228249,-117.9290888,Hoag Drive,"Hoag Drive, Superior Heights, West Newport, Newport Beach, Orange County, California, 92663, United States",highway,unclassified,,Hoag Drive,Newport Beach,Orange County,California,92663,False,False,True,True,False,True,True,0.56,house_number_not_supported; postcode_not_supported; confidence_below_0_90,"{""address"": {""ISO3166-2-lvl4"": ""US-CA"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Orange County"", ""neighbourhood"": ""Superior Heights"", ""postcode"": ""92663"", ""quarter"": ""West Newport"", ""road"": ""Hoag Drive"", ""state"": ""California"", ""town"": ""Newport Beach""}, ""addresstype"": ""road"", ""boundingbox"": [""33.6219476"", ""33.6257599"", ""-117.9331739"", ""-117.9287365""], ""category"": ""highway"", ""display_name"": ""Hoag Drive, Superior Heights, West Newport, Newport Beach, Orange County, California, 92663, United States"", ""extratags"": {""lanes"": ""2"", ""source_ref"": ""AM909_DSCU4626"", ""surface"": ""asphalt""}, ""importance"": 0.05339496528572515, ""lat"": ""33.6228249"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-117.9290888"", ""name"": ""Hoag Drive"", ""osm_id"": 13278989, ""osm_type"": ""way"", ""place_id"": 317439470, ""place_rank"": 26, ""type"": ""unclassified""}"
778d2d36412e1183eb57,050224__2023,050224,2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,ONE HOAG DRIVE,NEWPORT BEACH,92658,external_geocoder_required_no_local_candidate,address_no_zip,"ONE HOAG DRIVE, NEWPORT BEACH, CA",1,06059,"Orange County, California",CA,33.6220799,-117.9332650,Hoag Drive,"Hoag Drive, West Newport, Newport Beach, Orange County, California, 92663, United States",highway,unclassified,,Hoag Drive,Newport Beach,Orange County,California,92663,False,False,True,True,False,True,True,0.56,house_number_not_supported; postcode_not_supported; confidence_below_0_90,"{""address"": {""ISO3166-2-lvl4"": ""US-CA"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Orange County"", ""postcode"": ""92663"", ""quarter"": ""West Newport"", ""road"": ""Hoag Drive"", ""state"": ""California"", ""town"": ""Newport Beach""}, ""addresstype"": ""road"", ""boundingbox"": [""33.6218617"", ""33.6222725"", ""-117.9333103"", ""-117.9331739""], ""category"": ""highway"", ""display_name"": ""Hoag Drive, West Newport, Newport Beach, Orange County, California, 92663, United States"", ""extratags"": {""lanes"": ""3"", ""oneway"": ""yes"", ""sidewalk:left"": ""no"", ""sidewalk:right"": ""separate"", ""surface"": ""asphalt""}, ""importance"": 0.05339496528572515, ""lat"": ""33.6220799"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-117.9332650"", ""name"": ""Hoag Drive"", ""osm_id"": 1112827381, ""osm_type"": ""way"", ""place_id"": 317017832, ""place_rank"": 26, ""type"": ""unclassified""}"
185efa40de99724d18cd,050224__2023,050224,2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,ONE HOAG DRIVE,NEWPORT BEACH,92658,external_geocoder_required_no_local_candidate,provider_city_zip,"HOAG MEMORIAL HOSPITAL PRESBYTERIAN, NEWPORT BEACH, CA, 92658",0,06059,"Orange County, California",CA,33.6234445,-117.9296041,Hoag Memorial Hospital Presbyterian,"Hoag Memorial Hospital Presbyterian, 1, Hoag Drive, West Newport, Newport Beach, Orange County, California, 92663, United States",amenity,hospital,1,Hoag Drive,Newport Beach,Orange County,California,92663,False,False,True,True,True,True,True,0.64,house_number_not_supported; postcode_not_supported; confidence_below_0_90,"{""address"": {""ISO3166-2-lvl4"": ""US-CA"", ""amenity"": ""Hoag Memorial Hospital Presbyterian"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Orange County"", ""house_number"": ""1"", ""postcode"": ""92663"", ""quarter"": ""West Newport"", ""road"": ""Hoag Drive"", ""state"": ""California"", ""town"": ""Newport Beach""}, ""addresstype"": ""amenity"", ""boundingbox"": [""33.6214958"", ""33.6256696"", ""-117.9370160"", ""-117.9283017""], ""category"": ""amenity"", ""display_name"": ""Hoag Memorial Hospital Presbyterian, 1, Hoag Drive, West Newport, Newport Beach, Orange County, California, 92663, United States"", ""extratags"": {""emergency"": ""yes"", ""healthcare"": ""hospital"", ""opening_hours"": ""24/7"", ""operator"": ""Hoag"", ""operator:type"": ""private"", ""operator:wikidata"": ""Q130527108"", ""phone"": ""+1 949 764 4624"", ""source_ref"": ""AM909_DSCU4373"", ""website"": ""http://www.hoaghospital.org/"", ""wikidata"": ""Q5874290""}, ""importance"": 6.163195239180617e-05, ""lat"": ""33.6234445"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-117.9296041"", ""name"": ""Hoag Memorial Hospital Presbyterian"", ""osm_id"": 53683196, ""osm_type"": ""way"", ""place_id"": 317765494, ""place_rank"": 30, ""type"": ""hospital""}"
1bd196695f81d0a250d5,050367__2023,050367,2023,NORTHBAY HOSPITAL GROUP,CA,1200 B. GALE WILSON BLVD,FAIRFIELD,94533,external_geocoder_required_no_local_candidate,address_only,"1200 B. GALE WILSON BLVD, FAIRFIELD, CA, 94533",0,06095,"Solano County, California",CA,38.2621317,-122.0477768,NorthBay Medical Center,"NorthBay Medical Center, 1200, B Gale Wilson Boulevard, Fairfield, Solano County, California, 94533, United States",amenity,hospital,1200,B Gale Wilson Boulevard,Fairfield,Solano County,California,94533,True,True,True,True,True,True,True,1.0,,"{""address"": {""ISO3166-2-lvl4"": ""US-CA"", ""amenity"": ""NorthBay Medical Center"", ""city"": ""Fairfield"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Solano County"", ""house_number"": ""1200"", ""postcode"": ""94533"", ""road"": ""B Gale Wilson Boulevard"", ""state"": ""California""}, ""addresstype"": ""amenity"", ""boundingbox"": [""38.2611535"", ""38.2632627"", ""-122.0498523"", ""-122.0453221""], ""category"": ""amenity"", ""display_name"": ""NorthBay Medical Center, 1200, B Gale Wilson Boulevard, Fairfield, Solano County, California, 94533, United States"", ""extratags"": {""emergency"": ""yes"", ""healthcare"": ""hospital"", ""opening_hours"": ""24/7"", ""operator"": ""NorthBay Healthcare"", ""phone"": ""+1 707 646 5000"", ""website"": ""https://www.northbay.org/""}, ""importance"": 5.93888761729918e-05, ""lat"": ""38.2621317"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-122.0477768"", ""name"": ""NorthBay Medical Center"", ""osm_id"": 287807844, ""osm_type"": ""way"", ""place_id"": 321488612, ""place_rank"": 30, ""type"": ""hospital""}"
88a324b2f8604e150d6e,390180__2023,390180,2023,CROZER CHESTER MEDICAL CENTER,PA,ONE MEDICAL CENTER BLVD.,UPLAND,19013,external_geocoder_required_no_local_candidate,address_only,"ONE MEDICAL CENTER BLVD., UPLAND, PA, 19013",0,42045,"Delaware County, Pennsylvania",PA,39.8564545,-75.3666546,Medical Center Boulevard,"Medical Center Boulevard, Upland, Delaware County, Pennsylvania, 19013, United States",highway,service,,Medical Center Boulevard,Upland,Delaware County,Pennsylvania,19013,False,True,True,True,False,False,True,0.7,house_number_not_supported; confidence_below_0_90,"{""address"": {""ISO3166-2-lvl4"": ""US-PA"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Delaware County"", ""postcode"": ""19013"", ""road"": ""Medical Center Boulevard"", ""state"": ""Pennsylvania"", ""village"": ""Upland""}, ""addresstype"": ""road"", ""boundingbox"": [""39.8561252"", ""39.8567838"", ""-75.3666883"", ""-75.3666209""], ""category"": ""highway"", ""display_name"": ""Medical Center Boulevard, Upland, Delaware County, Pennsylvania, 19013, United States"", ""extratags"": {""surface"": ""asphalt""}, ""importance"": 0.04006253528648813, ""lat"": ""39.8564545"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-75.3666546"", ""name"": ""Medical Center Boulevard"", ""osm_id"": 12151180, ""osm_type"": ""way"", ""place_id"": 345850648, ""place_rank"": 27, ""type"": ""service""}"
1fff080e5654998fb98e,390180__2023,390180,2023,CROZER CHESTER MEDICAL CENTER,PA,ONE MEDICAL CENTER BLVD.,UPLAND,19013,external_geocoder_required_no_local_candidate,address_no_zip,"ONE MEDICAL CENTER BLVD., UPLAND, PA",0,42045,"Delaware County, Pennsylvania",PA,39.8564545,-75.3666546,Medical Center Boulevard,"Medical Center Boulevard, Upland, Delaware County, Pennsylvania, 19013, United States",highway,service,,Medical Center Boulevard,Upland,Delaware County,Pennsylvania,19013,False,True,True,True,False,False,True,0.7,house_number_not_supported; confidence_below_0_90,"{""address"": {""ISO3166-2-lvl4"": ""US-PA"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Delaware County"", ""postcode"": ""19013"", ""road"": ""Medical Center Boulevard"", ""state"": ""Pennsylvania"", ""village"": ""Upland""}, ""addresstype"": ""road"", ""boundingbox"": [""39.8561252"", ""39.8567838"", ""-75.3666883"", ""-75.3666209""], ""category"": ""highway"", ""display_name"": ""Medical Center Boulevard, Upland, Delaware County, Pennsylvania, 19013, United States"", ""extratags"": {""surface"": ""asphalt""}, ""importance"": 0.04006253528648813, ""lat"": ""39.8564545"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-75.3666546"", ""name"": ""Medical Center Boulevard"", ""osm_id"": 12151180, ""osm_type"": ""way"", ""place_id"": 344539901, ""place_rank"": 27, ""type"": ""service""}"
00cf88b7d4e7e92de61d,250141__2023,250141,2023,BAPTIST MEM HOSPITAL DESOTO,MS,7601 SOUTHCREST,SOUTHAVEN,38671,external_geocoder_required_no_local_candidate,address_only,"7601 SOUTHCREST, SOUTHAVEN, MS, 38671",0,28033,"DeSoto County, Mississippi",MS,34.9696335,-89.9964526,Baptist Memorial Hospital-DeSoto,"Baptist Memorial Hospital-DeSoto, 7601, Southcrest Parkway, Southaven, DeSoto County, Mississippi, 38671, United States",amenity,hospital,7601,Southcrest Parkway,Southaven,DeSoto County,Mississippi,38671,True,True,True,True,True,True,True,1.0,,"{""address"": {""ISO3166-2-lvl4"": ""US-MS"", ""amenity"": ""Baptist Memorial Hospital-DeSoto"", ""city"": ""Southaven"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""DeSoto County"", ""house_number"": ""7601"", ""postcode"": ""38671"", ""road"": ""Southcrest Parkway"", ""state"": ""Mississippi""}, ""addresstype"": ""amenity"", ""boundingbox"": [""34.9663649"", ""34.9729080"", ""-89.9995704"", ""-89.9933811""], ""category"": ""amenity"", ""display_name"": ""Baptist Memorial Hospital-DeSoto, 7601, Southcrest Parkway, Southaven, DeSoto County, Mississippi, 38671, United States"", ""extratags"": {""emergency"": ""yes"", ""healthcare"": ""hospital"", ""opening_hours"": ""24/7"", ""operator"": ""Baptist Memorial Health Care Corporation"", ""phone"": ""+1 662 772 4000"", ""website"": ""https://www.baptistonline.org/desoto/""}, ""importance"": 5.7653925383337414e-05, ""lat"": ""34.9696335"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-89.9964526"", ""name"": ""Baptist Memorial Hospital-DeSoto"", ""osm_id"": 375951854, ""osm_type"": ""way"", ""place_id"": 336150975, ""place_rank"": 30, ""type"": ""hospital""}"
00cf88b7d4e7e92de61d,250141__2023,250141,2023,BAPTIST MEM HOSPITAL DESOTO,MS,7601 SOUTHCREST,SOUTHAVEN,38671,external_geocoder_required_no_local_candidate,address_only,"7601 SOUTHCREST, SOUTHAVEN, MS, 38671",1,28033,"DeSoto County, Mississippi",MS,34.9723377,-89.9961605,,"7601, Southcrest Parkway, Southaven, DeSoto County, Mississippi, 38671, United States",place,house,7601,Southcrest Parkway,Southaven,DeSoto County,Mississippi,38671,True,True,True,True,False,True,True,0.92,,"{""address"": {""ISO3166-2-lvl4"": ""US-MS"", ""city"": ""Southaven"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""DeSoto County"", ""house_number"": ""7601"", ""postcode"": ""38671"", ""road"": ""Southcrest Parkway"", ""state"": ""Mississippi""}, ""addresstype"": ""place"", ""boundingbox"": [""34.9722877"", ""34.9723877"", ""-89.9962105"", ""-89.9961105""], ""category"": ""place"", ""display_name"": ""7601, Southcrest Parkway, Southaven, DeSoto County, Mississippi, 38671, United States"", ""extratags"": null, ""importance"": 9.99999999995449e-06, ""lat"": ""34.9723377"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-89.9961605"", ""name"": """", ""osm_id"": 13584912, ""osm_type"": ""way"", ""place_id"": 392993391, ""place_rank"": 30, ""type"": ""house""}"
