external_manual_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,street_address,city,state_abbr,zip5,geocoder_query,external_manual_lane,review_priority,review_issue,provider_volume_score,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
34,050224__2023,050224,2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92658,"ONE HOAG DRIVE, NEWPORT BEACH, CA, 92658",external_geocoder_required_no_local_candidate,high,cms_county_blank,1.0,hold,06059,"Orange County, California",0.64,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; postcode_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
35,050367__2023,050367,2023,NORTHBAY HOSPITAL GROUP,1200 B. GALE WILSON BLVD,FAIRFIELD,CA,94533,"1200 B. GALE WILSON BLVD, FAIRFIELD, CA, 94533",external_geocoder_required_no_local_candidate,high,cms_county_blank,1.0,accept,06095,"Solano County, California",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Solano County, California (06095) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: NorthBay Medical Center, 1200, B Gale Wilson Boulevard, Fairfield, Solano County, California, 94533, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
36,390180__2023,390180,2023,CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BLVD.,UPLAND,PA,19013,"ONE MEDICAL CENTER BLVD., UPLAND, PA, 19013",external_geocoder_required_no_local_candidate,high,cms_county_blank,1.0,hold,42045,"Delaware County, Pennsylvania",0.7,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
37,250141__2023,250141,2023,BAPTIST MEM HOSPITAL DESOTO,7601 SOUTHCREST,SOUTHAVEN,MS,38671,"7601 SOUTHCREST, SOUTHAVEN, MS, 38671",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.9641,accept,28033,"DeSoto County, Mississippi",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to DeSoto County, Mississippi (28033) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Baptist Memorial Hospital-DeSoto, 7601, Southcrest Parkway, Southaven, DeSoto County, Mississippi, 38671, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
38,220084__2023,220084,2023,EMERSON HOSPITAL,113 ORNC,CONCORD,MA,01742,"113 ORNC, CONCORD, MA, 01742",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.8823,hold,25017,"Middlesex County, Massachusetts",0.78,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
39,150015__2023,150015,2023,FRANCISCAN HEALTH MICHIGAN CITY,3500 FRANCISCAN WAY,MICHIGAN CITY,IN,46360,"3500 FRANCISCAN WAY, MICHIGAN CITY, IN, 46360",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.7792,accept,18091,"LaPorte County, Indiana",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to LaPorte County, Indiana (18091) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Franciscan Health Michigan City, 3500, Franciscan Way, Michigan City, LaPorte County, Indiana, 46360, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
40,140164__2024,140164,2024,MEMORIAL HOSPITAL OF CARBONDALE,405 W. JACKSON ST.,CARBONDALE,IL,62902,"405 W. JACKSON ST., CARBONDALE, IL, 62902",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.7475,accept,17077,"Jackson County, Illinois",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Jackson County, Illinois (17077) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Memorial Hospital of Carbondale, 405, West Jackson Street, Carbondale, Jackson County, Illinois, 62902, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
41,100269__2024,100269,2024,HCA FLORIDA PALMS WEST HOSPITAL,13001 STATE ROAD 80,LOXAHATCHEE,FL,33470,"13001 STATE ROAD 80, LOXAHATCHEE, FL, 33470",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.7202,hold,,,,,,Held by strict OSM/Nominatim external geocoder review: no_geocoder_result.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
42,110192__2024,110192,2024,PIEDMONT EASTSIDE MEDICAL CENTER,1700 MEDICAL WAY,SNELLVILLE,GA,30278,"1700 MEDICAL WAY, SNELLVILLE, GA, 30278",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.6357,hold,13135,"Gwinnett County, Georgia",0.82,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
43,264010__2024,264010,2024,ST. LOUIS FORENSIC TREATMENT CENTER,500 ARSENAL STREET,ST.LOUIS,MO,63119,"500 ARSENAL STREET, ST.LOUIS, MO, 63119",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.6048,hold,29510,"St. Louis city, Missouri",0.64,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; city_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
