cms_provider_number,fiscal_year,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_source,acceptance_action,accepted_at,external_manual_rank,provider_year_key,provider_name,state_abbr,street_address,city,zip5,external_manual_lane,reviewer_decision,manual_geocode_source,manual_geocode_match_type,reviewed_by,reviewed_at,acceptance_status,acceptance_issue,production_model_rank_or_dashboard_change
100209,2023,assign_county,12086,"Miami-Dade County, Florida",0.9600,"Accepted report-only institutional-anchor CMS provider external/manual geocode review: openstreetmap_nominatim_point_in_county_external_geocoder / external_geocoder_house_zip_city_state_point_county assigned Miami-Dade County, Florida (12086) for provider 100209 fiscal year 2023 at confidence 0.96. Reviewer note: Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Miami-Dade County, Florida (12086) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 0.96. Result: Kendall Regional Medical Center, 11750, Southwest 40th Street, Miami, Miami-Dade County, Florida, 33175, United States.. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",output/institutional_anchor_provider_geocode_external_manual_osm_same_city_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:49:59.780258+00:00,2,100209__2023,HCA FLORIDA KENDALL HOSPITAL,FL,11750 BIRD ROAD,MIAMI,33175,same_city_unresolved_after_census_external_geocoder,accept,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00,accepted,,False
190064,2024,assign_county,22033,"East Baton Rouge Parish, Louisiana",0.9200,"Accepted report-only institutional-anchor CMS provider external/manual geocode review: openstreetmap_nominatim_point_in_county_external_geocoder / external_geocoder_house_zip_city_state_point_county assigned East Baton Rouge Parish, Louisiana (22033) for provider 190064 fiscal year 2024 at confidence 0.92. Reviewer note: Accepted from strict OSM/Nominatim external geocoder review: returned point maps to East Baton Rouge Parish, Louisiana (22033) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 0.92. Result: Saint Francis Chapel at Our Lady of the Lake Regional Medical Center, 5000, Hennessy Boulevard, Baton Rouge, East Baton Rouge Parish, Louisiana, 70808, United States.. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",output/institutional_anchor_provider_geocode_external_manual_osm_same_city_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:49:59.780258+00:00,3,190064__2024,OUR LADY OF THE LAKE RMC,LA,5000 HENNESSY BLVD,BATON ROUGE,70808,same_city_unresolved_after_census_external_geocoder,accept,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00,accepted,,False
370093,2024,assign_county,40109,"Oklahoma County, Oklahoma",0.7800,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; confidence_below_0_90.,output/institutional_anchor_provider_geocode_external_manual_osm_same_city_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:49:59.780258+00:00,4,370093__2024,OU MEDICAL CENTER,OK,1200 CHILDRENS AVE,OKLAHOMA CITY,73104,same_city_unresolved_after_census_external_geocoder,hold,openstreetmap_nominatim_point_in_county_external_geocoder,,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00,held_or_rejected,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; confidence_below_0_90.,False
450788,2024,assign_county,48355,"Nueces County, Texas",1.0000,"Accepted report-only institutional-anchor CMS provider external/manual geocode review: openstreetmap_nominatim_point_in_county_external_geocoder / external_geocoder_house_zip_city_state_point_county assigned Nueces County, Texas (48355) for provider 450788 fiscal year 2024 at confidence 1.00. Reviewer note: Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Nueces County, Texas (48355) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Corpus Christi Medical Center - Bay Area, 7101, South Padre Island Drive, Corpus Christi, Nueces County, Texas, 78412, United States.. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",output/institutional_anchor_provider_geocode_external_manual_osm_same_city_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:49:59.780258+00:00,5,450788__2024,CORPUS CHRISTI MEDICAL CENTER,TX,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,78412,same_city_unresolved_after_census_external_geocoder,accept,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00,accepted,,False
290041,2023,assign_county,32003,"Clark County, Nevada",0.8200,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,output/institutional_anchor_provider_geocode_external_manual_osm_same_city_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:49:59.780258+00:00,6,290041__2023,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,657 TOWN CENTER DRIVE,LAS VEGAS,89114,same_city_unresolved_after_census_external_geocoder,hold,openstreetmap_nominatim_point_in_county_external_geocoder,,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00,held_or_rejected,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,False
030115,2023,assign_county,04013,"Maricopa County, Arizona",1.0000,"Accepted report-only institutional-anchor CMS provider external/manual geocode review: openstreetmap_nominatim_point_in_county_external_geocoder / external_geocoder_house_zip_city_state_point_county assigned Maricopa County, Arizona (04013) for provider 030115 fiscal year 2023 at confidence 1.00. Reviewer note: Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Maricopa County, Arizona (04013) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Banner Estrella Medical Center, 9201, West Thomas Road, Maryvale, Phoenix, Maricopa County, Arizona, 85037, United States.. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",output/institutional_anchor_provider_geocode_external_manual_osm_same_city_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:49:59.780258+00:00,7,030115__2023,BANNER ESTRELLA MEDICAL CENTER,AZ,9201 WEST THOMAS ROAD,PHOENIX,85037,same_city_unresolved_after_census_external_geocoder,accept,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00,accepted,,False
450079,2024,assign_county,48113,"Dallas County, Texas",1.0000,"Accepted report-only institutional-anchor CMS provider external/manual geocode review: openstreetmap_nominatim_point_in_county_external_geocoder / external_geocoder_house_zip_city_state_point_county assigned Dallas County, Texas (48113) for provider 450079 fiscal year 2024 at confidence 1.00. Reviewer note: Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Dallas County, Texas (48113) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Baylor Scott & White Medical Center – Irving, 1901, North MacArthur Boulevard, Irving, Dallas County, Texas, 75061, United States.. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",output/institutional_anchor_provider_geocode_external_manual_osm_same_city_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:49:59.780258+00:00,8,450079__2024,BAYLOR S&W MEDICAL CENTER - IRVING,TX,1901 NORTH MACARTHUR BLVD,IRVING,75061,same_city_unresolved_after_census_external_geocoder,accept,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00,accepted,,False
370056,2024,assign_county,40031,"Comanche County, Oklahoma",0.8200,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,output/institutional_anchor_provider_geocode_external_manual_osm_same_city_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:49:59.780258+00:00,9,370056__2024,COMANCHE COUNTY MEMORIAL HOSPITAL,OK,3401 W GORE,LAWTON,73502,same_city_unresolved_after_census_external_geocoder,hold,openstreetmap_nominatim_point_in_county_external_geocoder,,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00,held_or_rejected,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,False
190204,2023,assign_county,22103,"St. Tammany Parish, Louisiana",1.0000,"Accepted report-only institutional-anchor CMS provider external/manual geocode review: openstreetmap_nominatim_point_in_county_external_geocoder / external_geocoder_house_zip_city_state_point_county assigned St. Tammany Parish, Louisiana (22103) for provider 190204 fiscal year 2023 at confidence 1.00. Reviewer note: Accepted from strict OSM/Nominatim external geocoder review: returned point maps to St. Tammany Parish, Louisiana (22103) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Ochsner Medical Center - North Shore, 100, Medical Center Drive, Pearl Acres, Slidell, St. Tammany Parish, Louisiana, 70461, United States.. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",output/institutional_anchor_provider_geocode_external_manual_osm_same_city_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:49:59.780258+00:00,10,190204__2023,OCHSNER MEDICAL CENTER -NORTHSHORE,LA,100 MEDICAL CENTER DRIVE,SLIDELL,70461,same_city_unresolved_after_census_external_geocoder,accept,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00,accepted,,False
190054,2023,assign_county,22045,"Iberia Parish, Louisiana",0.8200,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,output/institutional_anchor_provider_geocode_external_manual_osm_same_city_geocode_results.csv,external_manual_geocode_review_confirmed,2026-06-05T03:49:59.780258+00:00,11,190054__2023,IBERIA MEDICAL CENTER,LA,2315 W MAIN STREET,NEW IBERIA,70562,same_city_unresolved_after_census_external_geocoder,hold,openstreetmap_nominatim_point_in_county_external_geocoder,,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00,held_or_rejected,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,False
