attempt_key,provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,external_manual_lane,attempt_label,attempt_query,status_code,result_count,error,attempted_at
eb65070729952c398076,100209__2023,100209,2023,HCA FLORIDA KENDALL HOSPITAL,FL,same_city_unresolved_after_census_external_geocoder,address_only,"11750 BIRD ROAD, MIAMI, FL, 33175",200,3,,2026-06-05T03:47:01.186547+00:00
a414ef3b22cffbc74dd5,190064__2024,190064,2024,OUR LADY OF THE LAKE RMC,LA,same_city_unresolved_after_census_external_geocoder,address_only,"5000 HENNESSY BLVD, BATON ROUGE, LA, 70808",200,2,,2026-06-05T03:47:01.516044+00:00
9dbbb2931c19269f936c,370093__2024,370093,2024,OU MEDICAL CENTER,OK,same_city_unresolved_after_census_external_geocoder,address_only,"1200 CHILDRENS AVE, OKLAHOMA CITY, OK, 73104",200,0,,2026-06-05T03:47:02.252503+00:00
7a5a8a0b950796b7528a,370093__2024,370093,2024,OU MEDICAL CENTER,OK,same_city_unresolved_after_census_external_geocoder,provider_address,"OU MEDICAL CENTER, 1200 CHILDRENS AVE, OKLAHOMA CITY, OK, 73104",200,0,,2026-06-05T03:47:03.866247+00:00
ffc470a311bb2c691f5a,370093__2024,370093,2024,OU MEDICAL CENTER,OK,same_city_unresolved_after_census_external_geocoder,address_no_zip,"1200 CHILDRENS AVE, OKLAHOMA CITY, OK",200,0,,2026-06-05T03:47:05.409649+00:00
19b3026ab8a8fd67f74d,370093__2024,370093,2024,OU MEDICAL CENTER,OK,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"OU MEDICAL CENTER, OKLAHOMA CITY, OK, 73104",200,1,,2026-06-05T03:47:07.814194+00:00
35a68dffca120a0b0361,450788__2024,450788,2024,CORPUS CHRISTI MEDICAL CENTER,TX,same_city_unresolved_after_census_external_geocoder,address_only,"7101 SOUTH PADRE ISLAND DRIVE, CORPUS CHRISTI, TX, 78412",200,2,,2026-06-05T03:47:09.414524+00:00
86632b38a7d4f1557bf2,290041__2023,290041,2023,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,same_city_unresolved_after_census_external_geocoder,address_only,"657 TOWN CENTER DRIVE, LAS VEGAS, NV, 89114",200,3,,2026-06-05T03:47:09.951894+00:00
bc130a4a4fdf891fec03,290041__2023,290041,2023,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,same_city_unresolved_after_census_external_geocoder,provider_address,"SUMMERLIN HOSPITAL MEDICAL CENTER, 657 TOWN CENTER DRIVE, LAS VEGAS, NV, 89114",200,0,,2026-06-05T03:47:11.508534+00:00
92db0f45fc7e0fbf6d06,290041__2023,290041,2023,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,same_city_unresolved_after_census_external_geocoder,address_no_zip,"657 TOWN CENTER DRIVE, LAS VEGAS, NV",200,3,,2026-06-05T03:47:13.022040+00:00
96a4a91fbefea2476931,290041__2023,290041,2023,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"SUMMERLIN HOSPITAL MEDICAL CENTER, LAS VEGAS, NV, 89114",200,0,,2026-06-05T03:47:14.626250+00:00
c921d4ae437f7fe068e6,030115__2023,030115,2023,BANNER ESTRELLA MEDICAL CENTER,AZ,same_city_unresolved_after_census_external_geocoder,address_only,"9201 WEST THOMAS ROAD, PHOENIX, AZ, 85037",200,3,,2026-06-05T03:47:16.452616+00:00
9ba05bd72c1a59f51e58,450079__2024,450079,2024,BAYLOR S&W MEDICAL CENTER - IRVING,TX,same_city_unresolved_after_census_external_geocoder,address_only,"1901 NORTH MACARTHUR BLVD, IRVING, TX, 75061",200,2,,2026-06-05T03:47:17.160289+00:00
61bc605081cfc83ac8d7,370056__2024,370056,2024,COMANCHE COUNTY MEMORIAL HOSPITAL,OK,same_city_unresolved_after_census_external_geocoder,address_only,"3401 W GORE, LAWTON, OK, 73502",200,0,,2026-06-05T03:47:17.777871+00:00
8ed12a56998a357c5cba,370056__2024,370056,2024,COMANCHE COUNTY MEMORIAL HOSPITAL,OK,same_city_unresolved_after_census_external_geocoder,provider_address,"COMANCHE COUNTY MEMORIAL HOSPITAL, 3401 W GORE, LAWTON, OK, 73502",200,0,,2026-06-05T03:47:19.600665+00:00
bad73dbb933bf559d024,370056__2024,370056,2024,COMANCHE COUNTY MEMORIAL HOSPITAL,OK,same_city_unresolved_after_census_external_geocoder,address_no_zip,"3401 W GORE, LAWTON, OK",200,0,,2026-06-05T03:47:21.418451+00:00
8931c2fbcfafff3f41af,370056__2024,370056,2024,COMANCHE COUNTY MEMORIAL HOSPITAL,OK,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"COMANCHE COUNTY MEMORIAL HOSPITAL, LAWTON, OK, 73502",200,2,,2026-06-05T03:47:22.870064+00:00
8002916c2ad640732608,190204__2023,190204,2023,OCHSNER MEDICAL CENTER -NORTHSHORE,LA,same_city_unresolved_after_census_external_geocoder,address_only,"100 MEDICAL CENTER DRIVE, SLIDELL, LA, 70461",200,2,,2026-06-05T03:47:24.437605+00:00
ab90a1a2e359401e835f,190054__2023,190054,2023,IBERIA MEDICAL CENTER,LA,same_city_unresolved_after_census_external_geocoder,address_only,"2315 W MAIN STREET, NEW IBERIA, LA, 70562",200,2,,2026-06-05T03:47:24.949650+00:00
a01e67502afd88fcc28d,190054__2023,190054,2023,IBERIA MEDICAL CENTER,LA,same_city_unresolved_after_census_external_geocoder,provider_address,"IBERIA MEDICAL CENTER, 2315 W MAIN STREET, NEW IBERIA, LA, 70562",200,0,,2026-06-05T03:47:26.633581+00:00
d332624928a008e4e057,190054__2023,190054,2023,IBERIA MEDICAL CENTER,LA,same_city_unresolved_after_census_external_geocoder,address_no_zip,"2315 W MAIN STREET, NEW IBERIA, LA",200,2,,2026-06-05T03:47:28.272051+00:00
1118e4e0e746a23eb050,190054__2023,190054,2023,IBERIA MEDICAL CENTER,LA,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"IBERIA MEDICAL CENTER, NEW IBERIA, LA, 70562",200,2,,2026-06-05T03:47:29.911530+00:00
9a9b9951f09870cf2dc5,474001__2023,474001,2023,BRATTLEBORO RETREAT,VT,same_city_unresolved_after_census_external_geocoder,address_only,"ANNA MARSH LANE, BRATTLEBORO, VT, 05302",200,2,,2026-06-05T03:47:31.397933+00:00
ee4f6b0dde68e4c46bcf,474001__2023,474001,2023,BRATTLEBORO RETREAT,VT,same_city_unresolved_after_census_external_geocoder,provider_address,"BRATTLEBORO RETREAT, ANNA MARSH LANE, BRATTLEBORO, VT, 05302",200,1,,2026-06-05T03:47:32.787237+00:00
6465d7adff798f469935,474001__2023,474001,2023,BRATTLEBORO RETREAT,VT,same_city_unresolved_after_census_external_geocoder,address_no_zip,"ANNA MARSH LANE, BRATTLEBORO, VT",200,2,,2026-06-05T03:47:34.351713+00:00
31fd43c767265c2eac33,474001__2023,474001,2023,BRATTLEBORO RETREAT,VT,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"BRATTLEBORO RETREAT, BRATTLEBORO, VT, 05302",200,1,,2026-06-05T03:47:35.770521+00:00
9415931f7273e3b5be7f,514009__2024,514009,2024,MILDRED MITCHELL-BATEMAN HOSPITAL,WV,same_city_unresolved_after_census_external_geocoder,address_only,"1530 NORWAY AVENUE, HUNTINGTON, WV, 25706",200,1,,2026-06-05T03:47:37.385523+00:00
0b65ff05f0197e3dbe41,514009__2024,514009,2024,MILDRED MITCHELL-BATEMAN HOSPITAL,WV,same_city_unresolved_after_census_external_geocoder,provider_address,"MILDRED MITCHELL-BATEMAN HOSPITAL, 1530 NORWAY AVENUE, HUNTINGTON, WV, 25706",200,1,,2026-06-05T03:47:38.861736+00:00
b8278222d095f6301571,514009__2024,514009,2024,MILDRED MITCHELL-BATEMAN HOSPITAL,WV,same_city_unresolved_after_census_external_geocoder,address_no_zip,"1530 NORWAY AVENUE, HUNTINGTON, WV",200,1,,2026-06-05T03:47:40.414367+00:00
c886c9ed3b5cbf9020a4,514009__2024,514009,2024,MILDRED MITCHELL-BATEMAN HOSPITAL,WV,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"MILDRED MITCHELL-BATEMAN HOSPITAL, HUNTINGTON, WV, 25706",200,1,,2026-06-05T03:47:41.921265+00:00
6f78496f066e0ec00eb1,054089__2024,054089,2024,JEWISH HOME FOR THE AGED,CA,same_city_unresolved_after_census_external_geocoder,address_only,"302 SILVER AVENUE, SAN FRANCISCO, CA, 94112",200,1,,2026-06-05T03:47:43.543845+00:00
63afa68805c71821f78d,670112__2024,670112,2024,CUMBERLAND SURGICAL HOSPITAL,TX,same_city_unresolved_after_census_external_geocoder,address_only,"5330 NORTH LOOP 1604 WEST, SAN ANTONIO, TX, 78249",200,1,,2026-06-05T03:47:44.484976+00:00
5653964ef944ec1c3f0a,343025__2023,343025,2023,CAREPARTNERS REHAB HOSPITAL,NC,same_city_unresolved_after_census_external_geocoder,address_only,"68 SWEETEN CREEK ROAD, ASHEVILLE, NC, 28803",200,2,,2026-06-05T03:47:44.966452+00:00
ccd50ed11bfbf258623d,212002__2024,212002,2024,WESTERN MARYLAND HOSPITAL CENTER,MD,same_city_unresolved_after_census_external_geocoder,address_only,"1500 PENNSYLVANIA AVENUE, HAGERSTOWN, MD, 21740",200,2,,2026-06-05T03:47:45.417834+00:00
ef8fc5d592157eca0bf4,212002__2024,212002,2024,WESTERN MARYLAND HOSPITAL CENTER,MD,same_city_unresolved_after_census_external_geocoder,provider_address,"WESTERN MARYLAND HOSPITAL CENTER, 1500 PENNSYLVANIA AVENUE, HAGERSTOWN, MD, 21740",200,1,,2026-06-05T03:47:46.735494+00:00
4e5242363ec590c41e2d,212002__2024,212002,2024,WESTERN MARYLAND HOSPITAL CENTER,MD,same_city_unresolved_after_census_external_geocoder,address_no_zip,"1500 PENNSYLVANIA AVENUE, HAGERSTOWN, MD",200,2,,2026-06-05T03:47:48.212336+00:00
023aa814898e2ba0bca3,212002__2024,212002,2024,WESTERN MARYLAND HOSPITAL CENTER,MD,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"WESTERN MARYLAND HOSPITAL CENTER, HAGERSTOWN, MD, 21740",200,1,,2026-06-05T03:47:49.782122+00:00
f1844883c0c09fab2259,190044__2023,190044,2023,ACADIA GENERAL HOSPITAL,LA,same_city_unresolved_after_census_external_geocoder,address_only,"190044, CROWLEY, LA, 70526",200,1,,2026-06-05T03:47:51.434764+00:00
56c9a3685ddcdc71886a,190044__2023,190044,2023,ACADIA GENERAL HOSPITAL,LA,same_city_unresolved_after_census_external_geocoder,provider_address,"ACADIA GENERAL HOSPITAL, 190044, CROWLEY, LA, 70526",200,0,,2026-06-05T03:47:53.113542+00:00
e482c543b532a06977f7,190044__2023,190044,2023,ACADIA GENERAL HOSPITAL,LA,same_city_unresolved_after_census_external_geocoder,address_no_zip,"190044, CROWLEY, LA",200,1,,2026-06-05T03:47:54.622896+00:00
687c45299be13c3708cc,190044__2023,190044,2023,ACADIA GENERAL HOSPITAL,LA,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"ACADIA GENERAL HOSPITAL, CROWLEY, LA, 70526",200,1,,2026-06-05T03:47:56.169195+00:00
15e15f7adf0a9a143bc1,103052__2023,103052,2023,ENCOMPASS HEALTH REHABILITATION HOSP,FL,same_city_unresolved_after_census_external_geocoder,address_only,"11595 BURNT MILL ROAD, JACKSONVILLE, FL, 32256",200,2,,2026-06-05T03:47:57.833374+00:00
347f4c90806123d4723c,103052__2023,103052,2023,ENCOMPASS HEALTH REHABILITATION HOSP,FL,same_city_unresolved_after_census_external_geocoder,provider_address,"ENCOMPASS HEALTH REHABILITATION HOSP, 11595 BURNT MILL ROAD, JACKSONVILLE, FL, 32256",200,0,,2026-06-05T03:47:59.540561+00:00
ff5a40668d2e23399fc6,103052__2023,103052,2023,ENCOMPASS HEALTH REHABILITATION HOSP,FL,same_city_unresolved_after_census_external_geocoder,address_no_zip,"11595 BURNT MILL ROAD, JACKSONVILLE, FL",200,3,,2026-06-05T03:48:01.224263+00:00
fafde08346ad102f4a8e,103052__2023,103052,2023,ENCOMPASS HEALTH REHABILITATION HOSP,FL,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"ENCOMPASS HEALTH REHABILITATION HOSP, JACKSONVILLE, FL, 32256",200,0,,2026-06-05T03:48:02.852109+00:00
d77dacf7da65a8b693f8,670265__2024,670265,2024,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,same_city_unresolved_after_census_external_geocoder,address_only,"1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX, 75007",200,2,,2026-06-05T03:48:04.425991+00:00
9e262b551a059931f111,670265__2024,670265,2024,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,same_city_unresolved_after_census_external_geocoder,provider_address,"LEGENT ORTHOPEDIC HOSPITAL CARROLLTO, 1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX, 75007",200,0,,2026-06-05T03:48:05.952011+00:00
6161cd8670c806a2960a,670265__2024,670265,2024,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,same_city_unresolved_after_census_external_geocoder,address_no_zip,"1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX",200,2,,2026-06-05T03:48:07.504934+00:00
a66c76fcf8d97b5ca16e,670265__2024,670265,2024,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"LEGENT ORTHOPEDIC HOSPITAL CARROLLTO, CARROLLTON, TX, 75007",200,0,,2026-06-05T03:48:09.029577+00:00
092ecf1304389e6cf40c,054149__2024,054149,2024,WILLOW ROCK CENTER,CA,same_city_unresolved_after_census_external_geocoder,address_only,"22050 FAIRMONT DRIVE, SAN LEANDRO, CA, 94578",200,1,,2026-06-05T03:48:10.714117+00:00
4b73c2c322c4aaf7a294,054149__2024,054149,2024,WILLOW ROCK CENTER,CA,same_city_unresolved_after_census_external_geocoder,provider_address,"WILLOW ROCK CENTER, 22050 FAIRMONT DRIVE, SAN LEANDRO, CA, 94578",200,0,,2026-06-05T03:48:12.379260+00:00
306c03df2edb12cf58a3,054149__2024,054149,2024,WILLOW ROCK CENTER,CA,same_city_unresolved_after_census_external_geocoder,address_no_zip,"22050 FAIRMONT DRIVE, SAN LEANDRO, CA",200,1,,2026-06-05T03:48:13.965667+00:00
d04b11097a95c106ecf5,054149__2024,054149,2024,WILLOW ROCK CENTER,CA,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"WILLOW ROCK CENTER, SAN LEANDRO, CA, 94578",200,0,,2026-06-05T03:48:15.609535+00:00
9b1d708d5688b2d08173,400016__2023,400016,2023,AUXILIO MUTUO HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,address_only,"PONCE DE LEON, SAN JUAN, PR, 00919",200,3,,2026-06-05T03:48:17.280330+00:00
3c4286650f99adf39ce4,400016__2023,400016,2023,AUXILIO MUTUO HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,provider_address,"AUXILIO MUTUO HOSPITAL, PONCE DE LEON, SAN JUAN, PR, 00919",200,1,,2026-06-05T03:48:18.732026+00:00
59f9a338c44dc0084552,400016__2023,400016,2023,AUXILIO MUTUO HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,address_no_zip,"PONCE DE LEON, SAN JUAN, PR",200,3,,2026-06-05T03:48:20.452358+00:00
d6e57177331d03408f2a,400016__2023,400016,2023,AUXILIO MUTUO HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"AUXILIO MUTUO HOSPITAL, SAN JUAN, PR, 00919",200,1,,2026-06-05T03:48:21.890282+00:00
197ec53fa49d3c5d646b,400044__2023,400044,2023,SAN LUCAS PONCE,PR,same_city_unresolved_after_census_external_geocoder,address_only,"917 AVE TITO CASTRO, PONCE, PR, 00733",200,0,,2026-06-05T03:48:23.502453+00:00
1eb95789a8d71ddfe098,400044__2023,400044,2023,SAN LUCAS PONCE,PR,same_city_unresolved_after_census_external_geocoder,provider_address,"SAN LUCAS PONCE, 917 AVE TITO CASTRO, PONCE, PR, 00733",200,0,,2026-06-05T03:48:25.187588+00:00
5788649098e3c7361783,400044__2023,400044,2023,SAN LUCAS PONCE,PR,same_city_unresolved_after_census_external_geocoder,address_no_zip,"917 AVE TITO CASTRO, PONCE, PR",200,0,,2026-06-05T03:48:26.810702+00:00
