provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,street_address,city,zip5,external_manual_lane,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,geocoder_name,geocoder_display_name,attempt_label,attempt_query,candidate_issue
100209__2023,100209,2023,HCA FLORIDA KENDALL HOSPITAL,FL,11750 BIRD ROAD,MIAMI,33175,same_city_unresolved_after_census_external_geocoder,accept,12086,"Miami-Dade County, Florida",0.96,Kendall Regional Medical Center,"Kendall Regional Medical Center, 11750, Southwest 40th Street, Miami, Miami-Dade County, Florida, 33175, United States",address_only,"11750 BIRD ROAD, MIAMI, FL, 33175",
190064__2024,190064,2024,OUR LADY OF THE LAKE RMC,LA,5000 HENNESSY BLVD,BATON ROUGE,70808,same_city_unresolved_after_census_external_geocoder,accept,22033,"East Baton Rouge Parish, Louisiana",0.92,Saint Francis Chapel at Our Lady of the Lake Regional Medical Center,"Saint Francis Chapel at Our Lady of the Lake Regional Medical Center, 5000, Hennessy Boulevard, Baton Rouge, East Baton Rouge Parish, Louisiana, 70808, United States",address_only,"5000 HENNESSY BLVD, BATON ROUGE, LA, 70808",
370093__2024,370093,2024,OU MEDICAL CENTER,OK,1200 CHILDRENS AVE,OKLAHOMA CITY,73104,same_city_unresolved_after_census_external_geocoder,hold,40109,"Oklahoma County, Oklahoma",0.78,OU Medical Center,"OU Medical Center, 700, Northeast 13th Street, Oklahoma City, Oklahoma County, Oklahoma, 73104, United States",provider_city_zip,"OU MEDICAL CENTER, OKLAHOMA CITY, OK, 73104",house_number_not_supported; confidence_below_0_90
450788__2024,450788,2024,CORPUS CHRISTI MEDICAL CENTER,TX,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,78412,same_city_unresolved_after_census_external_geocoder,accept,48355,"Nueces County, Texas",1.0,Corpus Christi Medical Center - Bay Area,"Corpus Christi Medical Center - Bay Area, 7101, South Padre Island Drive, Corpus Christi, Nueces County, Texas, 78412, United States",address_only,"7101 SOUTH PADRE ISLAND DRIVE, CORPUS CHRISTI, TX, 78412",
290041__2023,290041,2023,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,657 TOWN CENTER DRIVE,LAS VEGAS,89114,same_city_unresolved_after_census_external_geocoder,hold,32003,"Clark County, Nevada",0.82,Summerlin Hospital,"Summerlin Hospital, 657, North Town Center Drive, The Crossing, Summerlin North, Summerlin, Las Vegas, Clark County, Nevada, 89144, United States",address_only,"657 TOWN CENTER DRIVE, LAS VEGAS, NV, 89114",postcode_not_supported; confidence_below_0_90
030115__2023,030115,2023,BANNER ESTRELLA MEDICAL CENTER,AZ,9201 WEST THOMAS ROAD,PHOENIX,85037,same_city_unresolved_after_census_external_geocoder,accept,04013,"Maricopa County, Arizona",1.0,Banner Estrella Medical Center,"Banner Estrella Medical Center, 9201, West Thomas Road, Maryvale, Phoenix, Maricopa County, Arizona, 85037, United States",address_only,"9201 WEST THOMAS ROAD, PHOENIX, AZ, 85037",
450079__2024,450079,2024,BAYLOR S&W MEDICAL CENTER - IRVING,TX,1901 NORTH MACARTHUR BLVD,IRVING,75061,same_city_unresolved_after_census_external_geocoder,accept,48113,"Dallas County, Texas",1.0,Baylor Scott & White Medical Center – Irving,"Baylor Scott & White Medical Center – Irving, 1901, North MacArthur Boulevard, Irving, Dallas County, Texas, 75061, United States",address_only,"1901 NORTH MACARTHUR BLVD, IRVING, TX, 75061",
370056__2024,370056,2024,COMANCHE COUNTY MEMORIAL HOSPITAL,OK,3401 W GORE,LAWTON,73502,same_city_unresolved_after_census_external_geocoder,hold,40031,"Comanche County, Oklahoma",0.82,Comanche County Memorial Hospital,"Comanche County Memorial Hospital, 3401, Southwest Gore Boulevard, Lawton, Comanche County, Oklahoma, 73505, United States",provider_city_zip,"COMANCHE COUNTY MEMORIAL HOSPITAL, LAWTON, OK, 73502",postcode_not_supported; confidence_below_0_90
190204__2023,190204,2023,OCHSNER MEDICAL CENTER -NORTHSHORE,LA,100 MEDICAL CENTER DRIVE,SLIDELL,70461,same_city_unresolved_after_census_external_geocoder,accept,22103,"St. Tammany Parish, Louisiana",1.0,Ochsner Medical Center - North Shore,"Ochsner Medical Center - North Shore, 100, Medical Center Drive, Pearl Acres, Slidell, St. Tammany Parish, Louisiana, 70461, United States",address_only,"100 MEDICAL CENTER DRIVE, SLIDELL, LA, 70461",
190054__2023,190054,2023,IBERIA MEDICAL CENTER,LA,2315 W MAIN STREET,NEW IBERIA,70562,same_city_unresolved_after_census_external_geocoder,hold,22045,"Iberia Parish, Louisiana",0.82,Iberia Medical Center,"Iberia Medical Center, 2315, East Main Street, Berard, New Iberia, Iberia Parish, Louisiana, 70560, United States",provider_city_zip,"IBERIA MEDICAL CENTER, NEW IBERIA, LA, 70562",postcode_not_supported; confidence_below_0_90
