attempt_key,provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,street_address,city,zip5,external_manual_lane,attempt_label,attempt_query,result_index,geocoder_point_fips,geocoder_point_county_name,geocoder_point_state_abbr,geocoder_lat,geocoder_lon,geocoder_name,geocoder_display_name,geocoder_category,geocoder_type,geocoder_address_house_number,geocoder_address_road,geocoder_address_city,geocoder_address_county,geocoder_address_state,geocoder_address_postcode,house_number_supported,zip_supported,city_supported,state_supported,health_result_supported,provider_name_supported,road_supported,manual_geocode_confidence,candidate_failures,result_json
eb65070729952c398076,100209__2023,100209,2023,HCA FLORIDA KENDALL HOSPITAL,FL,11750 BIRD ROAD,MIAMI,33175,same_city_unresolved_after_census_external_geocoder,address_only,"11750 BIRD ROAD, MIAMI, FL, 33175",0,12086,"Miami-Dade County, Florida",FL,25.7310036,-80.3862433,Kendall Regional Medical Center,"Kendall Regional Medical Center, 11750, Southwest 40th Street, Miami, Miami-Dade County, Florida, 33175, United States",amenity,hospital,11750,Southwest 40th Street,Miami,Miami-Dade County,Florida,33175,True,True,True,True,True,True,False,0.96,,"{""address"": {""ISO3166-2-lvl4"": ""US-FL"", ""amenity"": ""Kendall Regional Medical Center"", ""city"": ""Miami"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Miami-Dade County"", ""house_number"": ""11750"", ""postcode"": ""33175"", ""road"": ""Southwest 40th Street"", ""state"": ""Florida""}, ""addresstype"": ""amenity"", ""boundingbox"": [""25.7300054"", ""25.7318952"", ""-80.3880944"", ""-80.3844825""], ""category"": ""amenity"", ""display_name"": ""Kendall Regional Medical Center, 11750, Southwest 40th Street, Miami, Miami-Dade County, Florida, 33175, United States"", ""extratags"": {""emergency"": ""yes"", ""healthcare"": ""hospital"", ""healthcare:speciality"": ""general;psychiatry;paediatrics;gynaecology;emergency;trauma"", ""opening_hours"": ""24/7"", ""operator"": ""HCA East Florida"", ""operator:type"": ""private_for_profit"", ""phone"": ""+1 305 223 3000"", ""website"": ""https://kendallmed.com/""}, ""importance"": 5.170290684362581e-05, ""lat"": ""25.7310036"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-80.3862433"", ""name"": ""Kendall Regional Medical Center"", ""osm_id"": 18102244, ""osm_type"": ""relation"", ""place_id"": 303622554, ""place_rank"": 30, ""type"": ""hospital""}"
eb65070729952c398076,100209__2023,100209,2023,HCA FLORIDA KENDALL HOSPITAL,FL,11750 BIRD ROAD,MIAMI,33175,same_city_unresolved_after_census_external_geocoder,address_only,"11750 BIRD ROAD, MIAMI, FL, 33175",1,12086,"Miami-Dade County, Florida",FL,25.7307014,-80.3857472,,"11750, Southwest 40th Street, Miami, Miami-Dade County, Florida, 33175, United States",building,hospital,11750,Southwest 40th Street,Miami,Miami-Dade County,Florida,33175,True,True,True,True,False,True,False,0.88,confidence_below_0_90,"{""address"": {""ISO3166-2-lvl4"": ""US-FL"", ""city"": ""Miami"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Miami-Dade County"", ""house_number"": ""11750"", ""postcode"": ""33175"", ""road"": ""Southwest 40th Street"", ""state"": ""Florida""}, ""addresstype"": ""building"", ""boundingbox"": [""25.7300831"", ""25.7313254"", ""-80.3868797"", ""-80.3845757""], ""category"": ""building"", ""display_name"": ""11750, Southwest 40th Street, Miami, Miami-Dade County, Florida, 33175, United States"", ""extratags"": {""height"": ""31.4"", ""layer"": ""1""}, ""importance"": 5.170290684362581e-05, ""lat"": ""25.7307014"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-80.3857472"", ""name"": """", ""osm_id"": 8886947, ""osm_type"": ""relation"", ""place_id"": 304499640, ""place_rank"": 30, ""type"": ""hospital""}"
eb65070729952c398076,100209__2023,100209,2023,HCA FLORIDA KENDALL HOSPITAL,FL,11750 BIRD ROAD,MIAMI,33175,same_city_unresolved_after_census_external_geocoder,address_only,"11750 BIRD ROAD, MIAMI, FL, 33175",2,12086,"Miami-Dade County, Florida",FL,25.7319554,-80.3851459,,"11750, Southwest 40th Street, Miami-Dade County, Florida, 33175, United States",place,house,11750,Southwest 40th Street,,Miami-Dade County,Florida,33175,True,True,True,True,False,True,False,0.88,confidence_below_0_90,"{""address"": {""ISO3166-2-lvl4"": ""US-FL"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Miami-Dade County"", ""house_number"": ""11750"", ""postcode"": ""33175"", ""road"": ""Southwest 40th Street"", ""state"": ""Florida""}, ""addresstype"": ""place"", ""boundingbox"": [""25.7319054"", ""25.7320054"", ""-80.3851959"", ""-80.3850959""], ""category"": ""place"", ""display_name"": ""11750, Southwest 40th Street, Miami-Dade County, Florida, 33175, United States"", ""extratags"": null, ""importance"": 9.99999999995449e-06, ""lat"": ""25.7319554"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-80.3851459"", ""name"": """", ""osm_id"": 1237941668, ""osm_type"": ""way"", ""place_id"": 388708624, ""place_rank"": 30, ""type"": ""house""}"
a414ef3b22cffbc74dd5,190064__2024,190064,2024,OUR LADY OF THE LAKE RMC,LA,5000 HENNESSY BLVD,BATON ROUGE,70808,same_city_unresolved_after_census_external_geocoder,address_only,"5000 HENNESSY BLVD, BATON ROUGE, LA, 70808",0,22033,"East Baton Rouge Parish, Louisiana",LA,30.4037402,-91.1062235,Saint Francis Chapel at Our Lady of the Lake Regional Medical Center,"Saint Francis Chapel at Our Lady of the Lake Regional Medical Center, 5000, Hennessy Boulevard, Baton Rouge, East Baton Rouge Parish, Louisiana, 70808, United States",amenity,place_of_worship,5000,Hennessy Boulevard,Baton Rouge,East Baton Rouge Parish,Louisiana,70808,True,True,True,True,False,True,True,0.92,,"{""address"": {""ISO3166-2-lvl4"": ""US-LA"", ""amenity"": ""Saint Francis Chapel at Our Lady of the Lake Regional Medical Center"", ""city"": ""Baton Rouge"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""East Baton Rouge Parish"", ""house_number"": ""5000"", ""postcode"": ""70808"", ""road"": ""Hennessy Boulevard"", ""state"": ""Louisiana""}, ""addresstype"": ""amenity"", ""boundingbox"": [""30.4036902"", ""30.4037902"", ""-91.1062735"", ""-91.1061735""], ""category"": ""amenity"", ""display_name"": ""Saint Francis Chapel at Our Lady of the Lake Regional Medical Center, 5000, Hennessy Boulevard, Baton Rouge, East Baton Rouge Parish, Louisiana, 70808, United States"", ""extratags"": {""denomination"": ""roman_catholic"", ""diocese"": ""Baton Rouge"", ""phone"": ""+1 225-765-8896"", ""religion"": ""christian"", ""website"": ""https://ololrmc.com/""}, ""importance"": 6.807888914316042e-05, ""lat"": ""30.4037402"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-91.1062235"", ""name"": ""Saint Francis Chapel at Our Lady of the Lake Regional Medical Center"", ""osm_id"": 9776283134, ""osm_type"": ""node"", ""place_id"": 304245455, ""place_rank"": 30, ""type"": ""place_of_worship""}"
a414ef3b22cffbc74dd5,190064__2024,190064,2024,OUR LADY OF THE LAKE RMC,LA,5000 HENNESSY BLVD,BATON ROUGE,70808,same_city_unresolved_after_census_external_geocoder,address_only,"5000 HENNESSY BLVD, BATON ROUGE, LA, 70808",1,22033,"East Baton Rouge Parish, Louisiana",LA,30.4040708,-91.1056168,,"5000, Hennessy Boulevard, Baton Rouge, East Baton Rouge Parish, Louisiana, 70836, United States",place,house,5000,Hennessy Boulevard,Baton Rouge,East Baton Rouge Parish,Louisiana,70836,True,False,True,True,False,False,True,0.7,postcode_not_supported; confidence_below_0_90,"{""address"": {""ISO3166-2-lvl4"": ""US-LA"", ""city"": ""Baton Rouge"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""East Baton Rouge Parish"", ""house_number"": ""5000"", ""postcode"": ""70836"", ""road"": ""Hennessy Boulevard"", ""state"": ""Louisiana""}, ""addresstype"": ""place"", ""boundingbox"": [""30.4040208"", ""30.4041208"", ""-91.1056668"", ""-91.1055668""], ""category"": ""place"", ""display_name"": ""5000, Hennessy Boulevard, Baton Rouge, East Baton Rouge Parish, Louisiana, 70836, United States"", ""extratags"": {""access"": ""yes"", ""door"": ""automatic""}, ""importance"": 6.807888914316042e-05, ""lat"": ""30.4040708"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-91.1056168"", ""name"": """", ""osm_id"": 8555291155, ""osm_type"": ""node"", ""place_id"": 303063296, ""place_rank"": 30, ""type"": ""house""}"
19b3026ab8a8fd67f74d,370093__2024,370093,2024,OU MEDICAL CENTER,OK,1200 CHILDRENS AVE,OKLAHOMA CITY,73104,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"OU MEDICAL CENTER, OKLAHOMA CITY, OK, 73104",0,40109,"Oklahoma County, Oklahoma",OK,35.4812872,-97.5010817,OU Medical Center,"OU Medical Center, 700, Northeast 13th Street, Oklahoma City, Oklahoma County, Oklahoma, 73104, United States",amenity,hospital,700,Northeast 13th Street,Oklahoma City,Oklahoma County,Oklahoma,73104,False,True,True,True,True,True,False,0.78,house_number_not_supported; confidence_below_0_90,"{""address"": {""ISO3166-2-lvl4"": ""US-OK"", ""amenity"": ""OU Medical Center"", ""city"": ""Oklahoma City"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Oklahoma County"", ""house_number"": ""700"", ""postcode"": ""73104"", ""road"": ""Northeast 13th Street"", ""state"": ""Oklahoma""}, ""addresstype"": ""amenity"", ""boundingbox"": [""35.4803321"", ""35.4822092"", ""-97.5031652"", ""-97.4991223""], ""category"": ""amenity"", ""display_name"": ""OU Medical Center, 700, Northeast 13th Street, Oklahoma City, Oklahoma County, Oklahoma, 73104, United States"", ""extratags"": {""beds"": ""350"", ""emergency"": ""yes"", ""healthcare"": ""hospital"", ""opening_hours"": ""24/7"", ""operator"": ""OU Medicine"", ""phone"": ""+1 405 271 4700"", ""website"": ""https://www.oumedicine.com/ou-medical-center"", ""wikidata"": ""Q7073144""}, ""importance"": 0.2917175836992075, ""lat"": ""35.4812872"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-97.5010817"", ""name"": ""OU Medical Center"", ""osm_id"": 176911625, ""osm_type"": ""way"", ""place_id"": 339674421, ""place_rank"": 30, ""type"": ""hospital""}"
35a68dffca120a0b0361,450788__2024,450788,2024,CORPUS CHRISTI MEDICAL CENTER,TX,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,78412,same_city_unresolved_after_census_external_geocoder,address_only,"7101 SOUTH PADRE ISLAND DRIVE, CORPUS CHRISTI, TX, 78412",0,48355,"Nueces County, Texas",TX,27.6931502,-97.3449380,Corpus Christi Medical Center - Bay Area,"Corpus Christi Medical Center - Bay Area, 7101, South Padre Island Drive, Corpus Christi, Nueces County, Texas, 78412, United States",amenity,hospital,7101,South Padre Island Drive,Corpus Christi,Nueces County,Texas,78412,True,True,True,True,True,True,True,1.0,,"{""address"": {""ISO3166-2-lvl4"": ""US-TX"", ""amenity"": ""Corpus Christi Medical Center - Bay Area"", ""city"": ""Corpus Christi"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Nueces County"", ""house_number"": ""7101"", ""postcode"": ""78412"", ""road"": ""South Padre Island Drive"", ""state"": ""Texas""}, ""addresstype"": ""amenity"", ""boundingbox"": [""27.6906816"", ""27.6948350"", ""-97.3469382"", ""-97.3425882""], ""category"": ""amenity"", ""display_name"": ""Corpus Christi Medical Center - Bay Area, 7101, South Padre Island Drive, Corpus Christi, Nueces County, Texas, 78412, United States"", ""extratags"": {""emergency"": ""yes"", ""healthcare"": ""hospital"", ""opening_hours"": ""24/7"", ""operator"": ""HCA"", ""operator:type"": ""private"", ""operator:wikidata"": ""Q1630431"", ""phone"": ""+1 361 761 1000"", ""website"": ""https://ccmedicalcenter.com/location/bay-area""}, ""importance"": 6.79385061417108e-05, ""lat"": ""27.6931502"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-97.3449380"", ""name"": ""Corpus Christi Medical Center - Bay Area"", ""osm_id"": 262704576, ""osm_type"": ""way"", ""place_id"": 315881231, ""place_rank"": 30, ""type"": ""hospital""}"
35a68dffca120a0b0361,450788__2024,450788,2024,CORPUS CHRISTI MEDICAL CENTER,TX,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,78412,same_city_unresolved_after_census_external_geocoder,address_only,"7101 SOUTH PADRE ISLAND DRIVE, CORPUS CHRISTI, TX, 78412",1,48355,"Nueces County, Texas",TX,27.6949445,-97.3435087,,"7101, South Padre Island Drive, Corpus Christi, Nueces County, Texas, 78412, United States",place,house,7101,South Padre Island Drive,Corpus Christi,Nueces County,Texas,78412,True,True,True,True,False,True,True,0.92,,"{""address"": {""ISO3166-2-lvl4"": ""US-TX"", ""city"": ""Corpus Christi"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Nueces County"", ""house_number"": ""7101"", ""postcode"": ""78412"", ""road"": ""South Padre Island Drive"", ""state"": ""Texas""}, ""addresstype"": ""place"", ""boundingbox"": [""27.6948945"", ""27.6949945"", ""-97.3435587"", ""-97.3434587""], ""category"": ""place"", ""display_name"": ""7101, South Padre Island Drive, Corpus Christi, Nueces County, Texas, 78412, United States"", ""extratags"": null, ""importance"": 9.99999999995449e-06, ""lat"": ""27.6949445"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-97.3435087"", ""name"": """", ""osm_id"": 474482314, ""osm_type"": ""way"", ""place_id"": 406632779, ""place_rank"": 30, ""type"": ""house""}"
86632b38a7d4f1557bf2,290041__2023,290041,2023,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,657 TOWN CENTER DRIVE,LAS VEGAS,89114,same_city_unresolved_after_census_external_geocoder,address_only,"657 TOWN CENTER DRIVE, LAS VEGAS, NV, 89114",0,32003,"Clark County, Nevada",NV,36.1811913,-115.3169384,Summerlin Hospital,"Summerlin Hospital, 657, North Town Center Drive, The Crossing, Summerlin North, Summerlin, Las Vegas, Clark County, Nevada, 89144, United States",amenity,hospital,657,North Town Center Drive,Las Vegas,Clark County,Nevada,89144,True,False,True,True,True,True,True,0.82,postcode_not_supported; confidence_below_0_90,"{""address"": {""ISO3166-2-lvl4"": ""US-NV"", ""amenity"": ""Summerlin Hospital"", ""city"": ""Las Vegas"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Clark County"", ""house_number"": ""657"", ""neighbourhood"": ""The Crossing"", ""postcode"": ""89144"", ""quarter"": ""Summerlin North"", ""road"": ""North Town Center Drive"", ""state"": ""Nevada"", ""suburb"": ""Summerlin""}, ""addresstype"": ""amenity"", ""boundingbox"": [""36.1788962"", ""36.1835315"", ""-115.3199324"", ""-115.3140988""], ""category"": ""amenity"", ""display_name"": ""Summerlin Hospital, 657, North Town Center Drive, The Crossing, Summerlin North, Summerlin, Las Vegas, Clark County, Nevada, 89144, United States"", ""extratags"": {""emergency"": ""yes"", ""healthcare"": ""hospital"", ""opening_hours"": ""24/7"", ""operator"": ""Universal Health Services"", ""operator:short"": ""UHS"", ""operator:type"": ""private"", ""operator:wikidata"": ""Q7893967"", ""phone"": ""+1 702 233 7000"", ""website"": ""https://www.summerlinhospital.com/"", ""wikidata"": ""Q7637626"", ""wikipedia"": ""en:Summerlin Hospital""}, ""importance"": 0.244781979759108, ""lat"": ""36.1811913"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-115.3169384"", ""name"": ""Summerlin Hospital"", ""osm_id"": 388950708, ""osm_type"": ""way"", ""place_id"": 321998467, ""place_rank"": 30, ""type"": ""hospital""}"
86632b38a7d4f1557bf2,290041__2023,290041,2023,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,657 TOWN CENTER DRIVE,LAS VEGAS,89114,same_city_unresolved_after_census_external_geocoder,address_only,"657 TOWN CENTER DRIVE, LAS VEGAS, NV, 89114",1,32003,"Clark County, Nevada",NV,36.1659411,-115.3243742,,"657, South Town Center Drive, Summerlin North, Summerlin, Las Vegas, Clark County, Nevada, 89144, United States",place,house,657,South Town Center Drive,Las Vegas,Clark County,Nevada,89144,True,False,True,True,False,True,True,0.74,postcode_not_supported; confidence_below_0_90,"{""address"": {""ISO3166-2-lvl4"": ""US-NV"", ""city"": ""Las Vegas"", ""country"": ""United States"", ""country_code"": ""us"", ""county"": ""Clark County"", ""house_number"": ""657"", ""postcode"": ""89144"", ""quarter"": ""Summerlin North"", ""road"": ""South Town Center Drive"", ""state"": ""Nevada"", ""suburb"": ""Summerlin""}, ""addresstype"": ""place"", ""boundingbox"": [""36.1658911"", ""36.1659911"", ""-115.3244242"", ""-115.3243242""], ""category"": ""place"", ""display_name"": ""657, South Town Center Drive, Summerlin North, Summerlin, Las Vegas, Clark County, Nevada, 89144, United States"", ""extratags"": null, ""importance"": 9.99999999995449e-06, ""lat"": ""36.1659411"", ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""lon"": ""-115.3243742"", ""name"": """", ""osm_id"": 1047086805, ""osm_type"": ""way"", ""place_id"": 391336006, ""place_rank"": 30, ""type"": ""house""}"
