external_manual_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,street_address,city,state_abbr,zip5,geocoder_query,external_manual_lane,review_priority,review_issue,provider_volume_score,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
2,100209__2023,100209,2023,HCA FLORIDA KENDALL HOSPITAL,11750 BIRD ROAD,MIAMI,FL,33175,"11750 BIRD ROAD, MIAMI, FL, 33175",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,accept,12086,"Miami-Dade County, Florida",0.96,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Miami-Dade County, Florida (12086) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 0.96. Result: Kendall Regional Medical Center, 11750, Southwest 40th Street, Miami, Miami-Dade County, Florida, 33175, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
3,190064__2024,190064,2024,OUR LADY OF THE LAKE  RMC,5000 HENNESSY BLVD,BATON ROUGE,LA,70808,"5000 HENNESSY BLVD, BATON ROUGE, LA, 70808",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,accept,22033,"East Baton Rouge Parish, Louisiana",0.92,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to East Baton Rouge Parish, Louisiana (22033) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 0.92. Result: Saint Francis Chapel at Our Lady of the Lake Regional Medical Center, 5000, Hennessy Boulevard, Baton Rouge, East Baton Rouge Parish, Louisiana, 70808, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
4,370093__2024,370093,2024,OU MEDICAL CENTER,1200 CHILDRENS AVE,OKLAHOMA CITY,OK,73104,"1200 CHILDRENS AVE, OKLAHOMA CITY, OK, 73104",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,hold,40109,"Oklahoma County, Oklahoma",0.78,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
5,450788__2024,450788,2024,CORPUS CHRISTI MEDICAL CENTER,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,TX,78412,"7101 SOUTH PADRE ISLAND DRIVE, CORPUS CHRISTI, TX, 78412",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,accept,48355,"Nueces County, Texas",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Nueces County, Texas (48355) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Corpus Christi Medical Center - Bay Area, 7101, South Padre Island Drive, Corpus Christi, Nueces County, Texas, 78412, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
6,290041__2023,290041,2023,SUMMERLIN HOSPITAL MEDICAL CENTER,657 TOWN CENTER DRIVE,LAS VEGAS,NV,89114,"657 TOWN CENTER DRIVE, LAS VEGAS, NV, 89114",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.9996,hold,32003,"Clark County, Nevada",0.82,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
7,030115__2023,030115,2023,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,"9201 WEST THOMAS ROAD, PHOENIX, AZ, 85037",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.8769,accept,04013,"Maricopa County, Arizona",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Maricopa County, Arizona (04013) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Banner Estrella Medical Center, 9201, West Thomas Road, Maryvale, Phoenix, Maricopa County, Arizona, 85037, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
8,450079__2024,450079,2024,BAYLOR S&W MEDICAL CENTER - IRVING,1901 NORTH MACARTHUR BLVD,IRVING,TX,75061,"1901 NORTH MACARTHUR BLVD, IRVING, TX, 75061",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.625,accept,48113,"Dallas County, Texas",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Dallas County, Texas (48113) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Baylor Scott & White Medical Center – Irving, 1901, North MacArthur Boulevard, Irving, Dallas County, Texas, 75061, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
9,370056__2024,370056,2024,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 W GORE,LAWTON,OK,73502,"3401 W GORE, LAWTON, OK, 73502",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.598,hold,40031,"Comanche County, Oklahoma",0.82,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
10,190204__2023,190204,2023,OCHSNER MEDICAL CENTER -NORTHSHORE,100 MEDICAL CENTER DRIVE,SLIDELL,LA,70461,"100 MEDICAL CENTER DRIVE, SLIDELL, LA, 70461",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.3485,accept,22103,"St. Tammany Parish, Louisiana",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to St. Tammany Parish, Louisiana (22103) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Ochsner Medical Center - North Shore, 100, Medical Center Drive, Pearl Acres, Slidell, St. Tammany Parish, Louisiana, 70461, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
11,190054__2023,190054,2023,IBERIA MEDICAL CENTER,2315 W MAIN STREET,NEW IBERIA,LA,70562,"2315 W MAIN STREET, NEW IBERIA, LA, 70562",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.309,hold,22045,"Iberia Parish, Louisiana",0.82,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
