provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,external_manual_lane,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
050224__2023,050224,2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,external_geocoder_required_no_local_candidate,accept,06059,"Orange County, California",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 050224 maps to ORANGE County/Parish, CA, local FIPS 06059 (Orange County, California); CMS HGI address `ONE HOAG DRIVE, NEWPORT BEACH, CA 92663` checked against cost-report address `ONE HOAG DRIVE, NEWPORT BEACH, CA 92658` (state_match; city_match; cms_zip_available; street_match; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
390180__2023,390180,2023,CROZER CHESTER MEDICAL CENTER,PA,external_geocoder_required_no_local_candidate,accept,42045,"Delaware County, Pennsylvania",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 390180 maps to DELAWARE County/Parish, PA, local FIPS 42045 (Delaware County, Pennsylvania); CMS HGI address `ONE MEDICAL CENTER BOULEVARD, UPLAND, PA 19013` checked against cost-report address `ONE MEDICAL CENTER BLVD., UPLAND, PA 19013` (state_match; city_match; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
220084__2023,220084,2023,EMERSON HOSPITAL,MA,external_geocoder_required_no_local_candidate,accept,25017,"Middlesex County, Massachusetts",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 220084 maps to MIDDLESEX County/Parish, MA, local FIPS 25017 (Middlesex County, Massachusetts); CMS HGI address `133 OLD ROAD TO 9 ACRE CORNER, W CONCORD, MA 01742` checked against cost-report address `113 ORNC, CONCORD, MA 01742` (state_match; city_match; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
100269__2024,100269,2024,HCA FLORIDA PALMS WEST HOSPITAL,FL,external_geocoder_required_no_local_candidate,accept,12099,"Palm Beach County, Florida",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 100269 maps to PALM BEACH County/Parish, FL, local FIPS 12099 (Palm Beach County, Florida); CMS HGI address `13001 SOUTHERN BLVD, LOXAHATCHEE, FL 33470` checked against cost-report address `13001 STATE ROAD 80, LOXAHATCHEE, FL 33470` (state_match; city_match; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
110192__2024,110192,2024,PIEDMONT EASTSIDE MEDICAL CENTER,GA,external_geocoder_required_no_local_candidate,accept,13135,"Gwinnett County, Georgia",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 110192 maps to GWINNETT County/Parish, GA, local FIPS 13135 (Gwinnett County, Georgia); CMS HGI address `1700 MEDICAL WAY, SNELLVILLE, GA 30078` checked against cost-report address `1700 MEDICAL WAY, SNELLVILLE, GA 30278` (state_match; city_match; cms_zip_available; street_match; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
264010__2024,264010,2024,ST. LOUIS FORENSIC TREATMENT CENTER,MO,external_geocoder_required_no_local_candidate,accept,29510,"St. Louis city, Missouri",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 264010 maps to ST. LOUIS County/Parish, MO, local FIPS 29510 (St. Louis city, Missouri); CMS HGI address `5400 ARSENAL ST, SAINT LOUIS, MO 63139` checked against cost-report address `500 ARSENAL STREET, ST.LOUIS, MO 63119` (state_match; city_differs; cms_zip_available; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
440194__2024,440194,2024,TRISTAR HENDERSONVILLE MEDICAL CENTE,TN,external_geocoder_required_no_local_candidate,accept,47165,"Sumner County, Tennessee",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 440194 maps to SUMNER County/Parish, TN, local FIPS 47165 (Sumner County, Tennessee); CMS HGI address `355 NEW SHACKLE ISLAND RD, HENDERSONVILLE, TN 37075` checked against cost-report address `355 NEW SHACKLE ISLAND, HENDERSONVILLE, TN 37215` (state_match; city_match; cms_zip_available; street_match; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
140008__2024,140008,2024,GOTTLIEB MEMORIAL HOSPITAL,IL,external_geocoder_required_no_local_candidate,accept,17031,"Cook County, Illinois",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 140008 maps to COOK County/Parish, IL, local FIPS 17031 (Cook County, Illinois); CMS HGI address `701 WEST NORTH AVE, MELROSE PARK, IL 60160` checked against cost-report address `8700 WEST NORTH AVENUE, MELROSE PARK, IL 60160` (state_match; city_match; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
110023__2023,110023,2023,ADVENTHEALTH GORDON,GA,external_geocoder_required_no_local_candidate,accept,13129,"Gordon County, Georgia",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 110023 maps to GORDON County/Parish, GA, local FIPS 13129 (Gordon County, Georgia); CMS HGI address `1035 RED BUD ROAD, CALHOUN, GA 30701` checked against cost-report address `1035 RED BUD ROAD, CALHOUN, GA 30703` (state_match; city_match; cms_zip_available; street_match; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
100320__2024,100320,2024,HCA FLORIDA POINCIANA HOSPITAL,FL,external_geocoder_required_no_local_candidate,accept,12097,"Osceola County, Florida",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 100320 maps to OSCEOLA County/Parish, FL, local FIPS 12097 (Osceola County, Florida); CMS HGI address `325 CYPRESS PKWY, KISSIMMEE, FL 34758` checked against cost-report address `325 CYPRESS PARKWAY, KISSIMMMEE, FL 34758` (state_match; city_differs; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
230193__2023,230193,2023,MCLAREN LAPEER REGION,MI,external_geocoder_required_no_local_candidate,accept,26087,"Lapeer County, Michigan",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 230193 maps to LAPEER County/Parish, MI, local FIPS 26087 (Lapeer County, Michigan); CMS HGI address `1375 N MAIN ST, LAPEER, MI 48446` checked against cost-report address `1375 NORTH MAIN STREET, LAPEER, MI 48436` (state_match; city_match; cms_zip_available; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
