triage_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,street_address,city,zip5,triage_priority,provider_volume_score,facility_id,facility_name,address,citytown,state,zip_code,countyparish,cms_hgi_fips,cms_hgi_candidate_fips,cms_hgi_county_name,cms_hgi_address_score,cms_hgi_address_checks,reviewer_decision,cms_hgi_review_issue,prior_osm_fips,prior_osm_county_name,prior_osm_confidence,prior_osm_candidate_issue,retry_candidate_fips,retry_candidate_county_name,retry_match_status,retry_match_type,retry_matched_address,retry_candidate_confidence,cms_hgi_query_url
1,400109__2023,400109,2023,HOSPITAL HIMA SAN PABLO BAYAMON,PR,SANTA CRUZ # 70,BAYAMON,00959,P1,1.0,400109,HOSPITAL ESPANOL AUXILIO MUTUO SAN PABLO,CALLE SANTA CRUZ NUM 70 URB SANTA CRUZ,BAYAMON,PR,00961,BAYAMON,72021,72021,Bayamón Muno,0.7000,state_match; city_match; cms_zip_available; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,72021,Bayamón Muno,0.9,city_not_supported,72021,Bayamón Muno,Match,Non_Exact,"70 CLL SANTA CRUZ, BAYAMON, PR, 00961",0.76,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=400109&limit=5
2,650003__2023,650003,2023,GUAM REGIONAL MEDICAL CITY,GU,133 ROUTE 3,DEDEDO,96929,P1,0.9973,650003,GUAM REGIONAL MEDICAL CITY,133 ROUTE 3,DEDEDO,GU,96929,GUAM,,,,1.0000,state_match; city_match; zip_match; street_match; cms_county_present,hold,CMS HGI county/parish could not be mapped to local county FIPS.,,,0.5,geocoder_point_not_in_county_lookup; geocoder_point_state_mismatch_provider_state; postcode_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=650003&limit=5
3,400118__2023,400118,2023,DOCTOR CENTER HOSPITAL MANATI  INC.,PR,CARR. #2,MANATI,00674,P1,0.8637,400118,"DOCTORS' CENTER HOSPITAL, INC","MARGINAL CARRETERA NO 2, KM 47.7",MANATI,PR,00674,MANATI,72091,72091,Manatí Muno,0.8200,state_match; city_match; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,72091,Manatí Muno,0.48,house_number_not_supported; postcode_not_supported; result_type_name_or_road_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=400118&limit=5
4,390156__2024,390156,2024,MERCY CATHOLIC MEDICAL CENTER,PA,LANSDOWNE AVE & BAILEY RD.,DARBY,19023,P1,0.7188,390156,MERCY CATHOLIC MEDICAL CENTER- MERCY FITZGERALD,1500 LANSDOWNE  AVE,DARBY,PA,19023,DELAWARE,42045,42045,"Delaware County, Pennsylvania",0.8200,state_match; city_match; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,,,,no_geocoder_result,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=390156&limit=5
5,650001__2023,650001,2023,GUAM MEMORIAL HOSPITAL,GU,850 GOVERNOR CARLOS G CAMACHO RD,OKA  TAMUNING,96911,P1,0.7023,650001,GUAM MEMORIAL  HOSPITAL AUTHORITY,85O GOV CARLOS G CAMACHO ROAD,TAMUNING,GU,96913,GUAM,,,,0.7000,state_match; city_match; cms_zip_available; cms_street_available; cms_county_present,hold,CMS HGI county/parish could not be mapped to local county FIPS.,,,,no_geocoder_result,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=650001&limit=5
6,400032__2023,400032,2023,BAYAMON MEDICAL CENTER,PR,CARR. #2 KM. 11.7,BAYAMON,00960,P1,0.5836,400032,BAYAMON MEDICAL CENTER,CARRETERA #2 KM 11 7,BAYAMON,PR,00960,BAYAMON,72021,72021,Bayamón Muno,0.8200,state_match; city_match; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,72021,Bayamón Muno,0.64,house_number_not_supported; city_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=400032&limit=5
7,400112__2024,400112,2024,HOSPITAL UPR,PR,STREET 3 KM 8.3 65 INFANTERIA AVE.,CAROLINA,00984,P1,0.5287,400112,"HOSPITAL UPR, DR  FEDERICO TRILLA",CARR 3 KM 8  3 AVE 65TH INFANTERIA       BOX 6021,CAROLINA,PR,00984,CAROLINA,72031,72031,Carolina Muno,0.8200,state_match; city_match; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,72031,Carolina Muno,0.78,house_number_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=400112&limit=5
8,404004__2023,404004,2023,FIRST HOSPITAL PANAMERICANO,PR,STATE ROAD #787,CIDRA,00739,P1,0.5109,404004,FIRST HOSPITAL PANAMERICANO,CARR ESTATAL NUM 787 KM 1 5,CIDRA,PR,00739,CIDRA,72041,72041,Cidra Muno,0.8200,state_match; city_match; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,72041,Cidra Muno,0.78,house_number_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=404004&limit=5
9,400019__2023,400019,2023,HOSPITAL PAVIA SANTURCE,PR,ASIA STREET,SANTURCE,00910,P1,0.4303,400019,HOSPITAL PAVIA SANTURCE,STREET PROFESOR AUGUSTO RODRIGUEZ #1462,SAN JUAN,PR,00910,SAN JUAN,72127,72127,San Juan Muno,0.6200,state_match; city_differs; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,72127,San Juan Muno,0.78,house_number_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=400019&limit=5
10,400048__2024,400048,2024,HOSPITAL MENONITA  GUAYAMA,PR,AVE PEDRO ALBIZU CAMPOS,GUAYAMA,00785,P1,0.4157,400048,HOSPITAL MENONITA GUAYAMA,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,GUAYAMA,PR,00785,GUAYANILLA,72059,72059,Guayanilla Muno,1.0000,state_match; city_match; zip_match; street_match; cms_county_present,hold,CMS HGI Puerto Rico city/municipio and county/parish values conflict.,72057,Guayama Muno,0.78,house_number_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=400048&limit=5
