facility_id,facility_name,address,citytown,state,zip_code,countyparish,telephone_number,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_birthing_friendly_designation,hospital_overall_rating,hospital_overall_rating_footnote,mort_group_measure_count,count_of_facility_mort_measures,count_of_mort_measures_better,count_of_mort_measures_no_different,count_of_mort_measures_worse,mort_group_footnote,safety_group_measure_count,count_of_facility_safety_measures,count_of_safety_measures_better,count_of_safety_measures_no_different,count_of_safety_measures_worse,safety_group_footnote,readm_group_measure_count,count_of_facility_readm_measures,count_of_readm_measures_better,count_of_readm_measures_no_different,count_of_readm_measures_worse,readm_group_footnote,pt_exp_group_measure_count,count_of_facility_pt_exp_measures,pt_exp_group_footnote,te_group_measure_count,count_of_facility_te_measures,te_group_footnote,cms_hgi_fetch_status,cms_hgi_query_url,cms_hgi_result_count
400109,HOSPITAL ESPANOL AUXILIO MUTUO SAN PABLO,CALLE SANTA CRUZ NUM 70 URB SANTA CRUZ,BAYAMON,PR,00961,BAYAMON,(787) 620-4747,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,8,5,0,5,0,,8,2,0,2,0,,11,4,0,1,3,,15,Not Available,5,10,Not Available,5,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=400109&limit=5,1
650003,GUAM REGIONAL MEDICAL CITY,133 ROUTE 3,DEDEDO,GU,96929,GUAM,(671) 645-5500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=650003&limit=5,1
400118,"DOCTORS' CENTER HOSPITAL, INC","MARGINAL CARRETERA NO 2, KM 47.7",MANATI,PR,00674,MANATI,(787) 853-3322,Acute Care Hospitals,Proprietary,Yes,Y,1,,8,1,0,0,1,,8,4,3,1,0,,11,1,0,1,0,,15,10,,10,3,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=400118&limit=5,1
390156,MERCY CATHOLIC MEDICAL CENTER- MERCY FITZGERALD,1500 LANSDOWNE  AVE,DARBY,PA,19023,DELAWARE,(215) 237-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2,,8,7,0,7,0,,8,6,1,5,0,,11,8,0,6,2,,15,15,,10,9,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=390156&limit=5,1
650001,GUAM MEMORIAL  HOSPITAL AUTHORITY,85O GOV CARLOS G CAMACHO ROAD,TAMUNING,GU,96913,GUAM,(671) 647-2552,Acute Care Hospitals,Government - Local,Yes,,2,,8,6,0,6,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,6,0,4,2,,15,Not Available,5,10,4,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=650001&limit=5,1
400032,BAYAMON MEDICAL CENTER,CARRETERA #2 KM 11 7,BAYAMON,PR,00960,BAYAMON,(787) 620-8181,Acute Care Hospitals,Proprietary,Yes,Y,Not Available,16,8,1,0,0,1,,8,2,0,1,1,,11,2,0,2,0,,15,10,,10,4,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=400032&limit=5,1
400112,"HOSPITAL UPR, DR  FEDERICO TRILLA",CARR 3 KM 8  3 AVE 65TH INFANTERIA       BOX 6021,CAROLINA,PR,00984,CAROLINA,(787) 757-1800,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,8,1,0,0,1,,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,15,Not Available,5,10,2,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=400112&limit=5,1
404004,FIRST HOSPITAL PANAMERICANO,CARR ESTATAL NUM 787 KM 1 5,CIDRA,PR,00739,CIDRA,(787) 739-5555,Psychiatric,Proprietary,No,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=404004&limit=5,1
400019,HOSPITAL PAVIA SANTURCE,STREET PROFESOR AUGUSTO RODRIGUEZ #1462,SAN JUAN,PR,00910,SAN JUAN,(787) 641-1616,Acute Care Hospitals,Proprietary,Yes,,1,,8,4,0,4,0,,8,2,0,1,1,,11,5,1,3,1,,15,Not Available,5,10,3,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=400019&limit=5,1
400048,HOSPITAL MENONITA GUAYAMA,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,GUAYAMA,PR,00785,GUAYANILLA,(787) 864-4300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,8,1,0,0,1,,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,15,Not Available,5,10,3,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=400048&limit=5,1
