cms_provider_number,fiscal_year,provider_year_key,source_id,source_label,url,evidence_summary,supports_fips,reviewed_at
400115,2023,400115__2023,hospital_wilma_n_vazquez_contact,Hospital Wilma N. Vazquez provider site,https://www.wilmamed.com/contacto,"Provider contact page lists the hospital at Carr. Num. 2 Km. 39.5 in Vega Baja, PR.",72145,2026-06-06T03:59:08.285962+00:00
400115,2023,400115__2023,census_tigerweb_pr_vega_baja,U.S. Census TIGERweb Puerto Rico county-equivalents,https://tigerweb.geo.census.gov/tigerwebmain/Files/acs24/tigerweb_acs24_county_2020_tab20_pr.html,Official Census TIGERweb county table maps Vega Baja Municipio to GEOID 72145.,72145,2026-06-06T03:59:08.285962+00:00
480002,2023,480002__2023,jfl_guest_services_contact,Gov. Juan F. Luis Hospital provider site,https://jflusvi.org/guest-services/,"Provider site contact block lists 4007 Estate Diamond Ruby, Christiansted, St. Croix USVI.",78010,2026-06-06T03:59:08.285962+00:00
480002,2023,480002__2023,census_tigerweb_vi_st_croix,U.S. Census TIGERweb U.S. Virgin Islands county-equivalents,https://tigerweb.geo.census.gov/tigerwebmain/TIGERweb_tabblock_census2020_vi.html,Official Census TIGERweb county-based files list St. Croix as county-equivalent GEOID 78010.,78010,2026-06-06T03:59:08.285962+00:00
224039,2023,224039__2023,haverhill_pavilion_provider_location,Haverhill Pavilion provider site,https://www.haverhillpavilion.com/about/location/,"Provider site lists Haverhill Pavilion Behavioral Health Hospital at 76 Summer St, Haverhill, MA 01830.",25009,2026-06-06T03:59:08.285962+00:00
224039,2023,224039__2023,mma_haverhill_county_reference,Massachusetts Municipal Association,https://www.mma.org/community/haverhill/,MMA community profile identifies Haverhill's county as Essex.,25009,2026-06-06T03:59:08.285962+00:00
403027,2023,403027__2023,nppes_multy_medical_1891120648,NPPES/NPI Registry API,https://npiregistry.cms.hhs.gov/api/?number=1891120648&version=2.1,"NPPES lists Multy Medical Facilities Corp / Multy Medical Physical Rehabilitation Hospital at 402 Munoz Rivera Ave, San Juan, PR.",72127,2026-06-06T03:59:08.285962+00:00
403027,2023,403027__2023,census_tigerweb_pr_san_juan,U.S. Census TIGERweb Puerto Rico county-equivalents,https://tigerweb.geo.census.gov/tigerwebmain/Files/acs24/tigerweb_acs24_county_2020_tab20_pr.html,Official Census TIGERweb county table maps San Juan Municipio to GEOID 72127.,72127,2026-06-06T03:59:08.285962+00:00
400122,2024,400122__2024,professional_hospital_provider_site,Professional Hospital provider site,https://professionalhospital.net/,Provider site states Professional Hospital Guaynabo is on Avenida Las Cumbres in Guaynabo.,72061,2026-06-06T03:59:08.285962+00:00
400122,2024,400122__2024,nppes_professional_hospital_1922254952,NPPES/NPI Registry API,https://npiregistry.cms.hhs.gov/api/?number=1922254952&version=2.1,"NPPES lists Professional Hospital Guaynabo Inc at Ave Las Cumbres / Street 199 Km 1.2, Guaynabo, PR.",72061,2026-06-06T03:59:08.285962+00:00
