external_manual_rank,packet_rank,cms_provider_number,provider_name,state_abbr,street_address,city,zip5,raw_county,fiscal_year,review_issue,review_priority,suggested_fips,suggested_county_name,supporting_matched_provider_rows,candidate_method,candidate_confidence,review_recommendation,source_operator_review_status,beds_total,discharges_total,total_costs_usd,net_patient_revenue_usd,closeout_action,closeout_note,provider_volume_score,provider_year_key,same_city_review_action,same_city_review_note,census_candidate_fips,census_candidate_county_name,census_match_status,census_match_type,census_matched_address,census_candidate_score,census_candidate_confidence,census_attempt_label,conflicting_census_candidate_fips,census_candidate_status,census_candidate_note,external_manual_lane,recommended_resolution_method,external_manual_note,geocoder_query
1,8,284003,LINCOLN REGIONAL CENTER,NE,FOLSOM & PROSPECTOR,LINCOLN,68509,,2024,cms_county_blank,high,31109,"Lancaster County, Nebraska",6,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,266.0,28.0,24666453.0,12927774.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.526,284003__2024,operator_spot_check_census_context_same_fips,"Census provides same-FIPS context, but the match is non-exact or otherwise below automatic acceptance policy.",31109,"Lancaster County, Nebraska",Match,Non_Exact,"S FOLSOM ST & W PROSPECTOR PL, LINCOLN, NE, 68522",0.75,0.84,provider_original,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,weak_same_fips_census_context_manual_review,manual_review_or_approved_external_geocoder,One weak same-FIPS Census context row remains below spot-check acceptance policy; review manually before any override.,"FOLSOM & PROSPECTOR, LINCOLN, NE, 68509"
2,5,370093,OU MEDICAL CENTER,OK,1200 CHILDRENS AVE,OKLAHOMA CITY,73104,,2024,cms_county_blank,high,40109,"Oklahoma County, Oklahoma",24,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,842.0,42672.0,1731174557.0,1965959449.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,370093__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1200 CHILDRENS AVE, OKLAHOMA CITY, OK, 73104"
3,6,290041,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,657 TOWN CENTER DRIVE,LAS VEGAS,89114,,2023,cms_county_blank,high,32003,"Clark County, Nevada",23,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,416.0,23214.0,362460482.0,443399845.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.9598,290041__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"657 TOWN CENTER DRIVE, LAS VEGAS, NV, 89114"
4,7,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,OK,3401 W GORE,LAWTON,73502,,2024,cms_county_blank,high,40031,"Comanche County, Oklahoma",3,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,183.0,10649.0,224314285.0,339847745.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.5705,370056__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"3401 W GORE, LAWTON, OK, 73502"
5,9,190054,IBERIA MEDICAL CENTER,LA,2315 W MAIN STREET,NEW IBERIA,70562,,2023,cms_county_blank,high,22045,"Iberia Parish, Louisiana",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,133.0,3965.0,90825525.0,106319014.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.263,190054__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"2315 W MAIN STREET, NEW IBERIA, LA, 70562"
6,10,474001,BRATTLEBORO RETREAT,VT,ANNA MARSH LANE,BRATTLEBORO,05302,,2023,cms_county_blank,high,50025,"Windham County, Vermont",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,113.0,1759.0,72243402.0,96398345.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.2235,474001__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"ANNA MARSH LANE, BRATTLEBORO, VT, 05302"
7,11,514009,MILDRED MITCHELL-BATEMAN HOSPITAL,WV,1530 NORWAY AVENUE,HUNTINGTON,25706,,2024,cms_county_blank,high,54011,"Cabell County, West Virginia",6,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,110.0,409.0,51287750.0,16735784.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.2175,514009__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1530 NORWAY AVENUE, HUNTINGTON, WV, 25706"
8,12,212002,WESTERN MARYLAND HOSPITAL CENTER,MD,1500 PENNSYLVANIA AVENUE,HAGERSTOWN,21740,,2024,cms_county_blank,high,24043,"Washington County, Maryland",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,60.0,14.0,23465963.0,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1186,212002__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1500 PENNSYLVANIA AVENUE, HAGERSTOWN, MD, 21740"
9,13,190044,ACADIA GENERAL HOSPITAL,LA,190044,CROWLEY,70526,,2023,cms_county_blank,high,22001,"Acadia Parish, Louisiana",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,54.0,1564.0,50363732.0,53325390.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1169,190044__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"190044, CROWLEY, LA, 70526"
10,14,670265,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,1401 EAST TRINITY MILLS ROAD,CARROLLTON,75007,,2024,cms_county_blank,high,48121,"Denton County, Texas",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,22.0,629.0,45132104.0,36285783.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1047,670265__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX, 75007"
11,15,103052,ENCOMPASS HEALTH REHABILITATION HOSP,FL,11595 BURNT MILL ROAD,JACKSONVILLE,32256,,2023,cms_county_blank,high,12031,"Duval County, Florida",10,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,50.0,798.0,17626662.0,16719427.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0989,103052__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"11595 BURNT MILL ROAD, JACKSONVILLE, FL, 32256"
