cms_provider_number,fiscal_year,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_source,acceptance_action,accepted_at,external_manual_rank,provider_year_key,provider_name,state_abbr,street_address,city,zip5,external_manual_lane,reviewer_decision,manual_geocode_source,manual_geocode_match_type,reviewed_by,reviewed_at,acceptance_status,acceptance_issue,production_model_rank_or_dashboard_change
284003,2024,assign_county,,,,Held after residual Census retry: Residual Census retry produced context but not enough evidence for automatic acceptance.,output/institutional_anchor_provider_geocode_external_manual_residual_census_retry_results.csv,external_manual_geocode_review_confirmed,2026-06-04T17:32:42.786685+00:00,1,284003__2024,LINCOLN REGIONAL CENTER,NE,FOLSOM & PROSPECTOR,LINCOLN,68509,weak_same_fips_census_context_manual_review,hold,,,,,held_or_rejected,Held after residual Census retry: Residual Census retry produced context but not enough evidence for automatic acceptance.,False
100209,2023,assign_county,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,output/institutional_anchor_provider_geocode_external_manual_residual_census_retry_results.csv,external_manual_geocode_review_confirmed,2026-06-04T17:32:42.786685+00:00,2,100209__2023,HCA FLORIDA KENDALL HOSPITAL,FL,11750 BIRD ROAD,MIAMI,33175,same_city_unresolved_after_census_external_geocoder,hold,,,,,held_or_rejected,Held after residual Census retry: No Census geographies match from residual retry variants.,False
190064,2024,assign_county,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,output/institutional_anchor_provider_geocode_external_manual_residual_census_retry_results.csv,external_manual_geocode_review_confirmed,2026-06-04T17:32:42.786685+00:00,3,190064__2024,OUR LADY OF THE LAKE RMC,LA,5000 HENNESSY BLVD,BATON ROUGE,70808,same_city_unresolved_after_census_external_geocoder,hold,,,,,held_or_rejected,Held after residual Census retry: No Census geographies match from residual retry variants.,False
260105,2023,assign_county,29510,"St. Louis city, Missouri",0.9500,"Accepted report-only institutional-anchor CMS provider external/manual geocode review: official_census_geographies_residual_retry / exact_street_address assigned St. Louis city, Missouri (29510) for provider 260105 fiscal year 2023 at confidence 0.95. Reviewer note: Accepted by residual Census retry in report-only mode: Exact match from `provider_original` to 1201 S GRAND BLVD, SAINT LOUIS, MO, 63104, county St. Louis city, Missouri (29510); source promotion remains blocked.. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",output/institutional_anchor_provider_geocode_external_manual_residual_census_retry_results.csv,external_manual_geocode_review_confirmed,2026-06-04T17:32:42.786685+00:00,4,260105__2023,SSM SAINT LOUIS UNIVERSITY HOSPITAL,MO,1201 SOUTH GRAND BLVD,ST. LOUIS,63104,same_city_unresolved_after_census_external_geocoder,accept,official_census_geographies_residual_retry,exact_street_address,codex_residual_census_retry,2026-06-04T17:32:06.742722+00:00,accepted,,False
290041,2023,assign_county,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,output/institutional_anchor_provider_geocode_external_manual_residual_census_retry_results.csv,external_manual_geocode_review_confirmed,2026-06-04T17:32:42.786685+00:00,5,290041__2023,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,657 TOWN CENTER DRIVE,LAS VEGAS,89114,same_city_unresolved_after_census_external_geocoder,hold,,,,,held_or_rejected,Held after residual Census retry: No Census geographies match from residual retry variants.,False
370093,2024,assign_county,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,output/institutional_anchor_provider_geocode_external_manual_residual_census_retry_results.csv,external_manual_geocode_review_confirmed,2026-06-04T17:32:42.786685+00:00,6,370093__2024,OU MEDICAL CENTER,OK,1200 CHILDRENS AVE,OKLAHOMA CITY,73104,same_city_unresolved_after_census_external_geocoder,hold,,,,,held_or_rejected,Held after residual Census retry: No Census geographies match from residual retry variants.,False
450788,2024,assign_county,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,output/institutional_anchor_provider_geocode_external_manual_residual_census_retry_results.csv,external_manual_geocode_review_confirmed,2026-06-04T17:32:42.786685+00:00,7,450788__2024,CORPUS CHRISTI MEDICAL CENTER,TX,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,78412,same_city_unresolved_after_census_external_geocoder,hold,,,,,held_or_rejected,Held after residual Census retry: No Census geographies match from residual retry variants.,False
030115,2023,assign_county,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,output/institutional_anchor_provider_geocode_external_manual_residual_census_retry_results.csv,external_manual_geocode_review_confirmed,2026-06-04T17:32:42.786685+00:00,8,030115__2023,BANNER ESTRELLA MEDICAL CENTER,AZ,9201 WEST THOMAS ROAD,PHOENIX,85037,same_city_unresolved_after_census_external_geocoder,hold,,,,,held_or_rejected,Held after residual Census retry: No Census geographies match from residual retry variants.,False
210024,2024,assign_county,24510,"Baltimore city, Maryland",0.9500,"Accepted report-only institutional-anchor CMS provider external/manual geocode review: official_census_geographies_residual_retry / exact_street_address assigned Baltimore city, Maryland (24510) for provider 210024 fiscal year 2024 at confidence 0.95. Reviewer note: Accepted by residual Census retry in report-only mode: Exact match from `provider_original` to 201 E UNIVERSITY PKWY, BALTIMORE, MD, 21218, county Baltimore city, Maryland (24510); source promotion remains blocked.. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",output/institutional_anchor_provider_geocode_external_manual_residual_census_retry_results.csv,external_manual_geocode_review_confirmed,2026-06-04T17:32:42.786685+00:00,9,210024__2024,MEDSTAR UNION MEMORIAL HOSPITAL,MD,201 EAST UNIVERSITY PARKWAY,BALTIMORE,21218,same_city_unresolved_after_census_external_geocoder,accept,official_census_geographies_residual_retry,exact_street_address,codex_residual_census_retry,2026-06-04T17:32:06.742722+00:00,accepted,,False
450079,2024,assign_county,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,output/institutional_anchor_provider_geocode_external_manual_residual_census_retry_results.csv,external_manual_geocode_review_confirmed,2026-06-04T17:32:42.786685+00:00,10,450079__2024,BAYLOR S&W MEDICAL CENTER - IRVING,TX,1901 NORTH MACARTHUR BLVD,IRVING,75061,same_city_unresolved_after_census_external_geocoder,hold,,,,,held_or_rejected,Held after residual Census retry: No Census geographies match from residual retry variants.,False
