batch_id,provider_year_key,attempt_label,census_street,census_city,census_state,census_zip
284003__2024__0001,284003__2024,provider_original,FOLSOM & PROSPECTOR,LINCOLN,NE,68509
284003__2024__0002,284003__2024,ampersand_expanded,FOLSOM AND PROSPECTOR,LINCOLN,NE,68509
100209__2023__0003,100209__2023,provider_original,11750 BIRD ROAD,MIAMI,FL,33175
190064__2024__0004,190064__2024,provider_original,5000 HENNESSY BLVD,BATON ROUGE,LA,70808
190064__2024__0005,190064__2024,street_token_expanded,5000 HENNESSY BOULEVARD,BATON ROUGE,LA,70808
260105__2023__0006,260105__2023,provider_original,1201 SOUTH GRAND BLVD,ST. LOUIS,MO,63104
260105__2023__0007,260105__2023,street_token_expanded,1201 SOUTH GRAND BOULEVARD,ST. LOUIS,MO,63104
290041__2023__0008,290041__2023,provider_original,657 TOWN CENTER DRIVE,LAS VEGAS,NV,89114
370093__2024__0009,370093__2024,provider_original,1200 CHILDRENS AVE,OKLAHOMA CITY,OK,73104
370093__2024__0010,370093__2024,street_token_expanded,1200 CHILDRENS AVENUE,OKLAHOMA CITY,OK,73104
450788__2024__0011,450788__2024,provider_original,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,TX,78412
030115__2023__0012,030115__2023,provider_original,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037
210024__2024__0013,210024__2024,provider_original,201 EAST UNIVERSITY PARKWAY,BALTIMORE,MD,21218
450079__2024__0014,450079__2024,provider_original,1901 NORTH MACARTHUR BLVD,IRVING,TX,75061
450079__2024__0015,450079__2024,street_token_expanded,1901 NORTH MACARTHUR BOULEVARD,IRVING,TX,75061
370056__2024__0016,370056__2024,provider_original,3401 W GORE,LAWTON,OK,73502
370056__2024__0017,370056__2024,street_token_expanded,3401 WEST GORE,LAWTON,OK,73502
210034__2024__0018,210034__2024,provider_original,3001 SOUTH HANOVER STREET,BALTIMORE,MD,21225
190204__2023__0019,190204__2023,provider_original,100 MEDICAL CENTER DRIVE,SLIDELL,LA,70461
190054__2023__0020,190054__2023,provider_original,2315 W MAIN STREET,NEW IBERIA,LA,70562
190054__2023__0021,190054__2023,street_token_expanded,2315 WEST MAIN STREET,NEW IBERIA,LA,70562
474001__2023__0022,474001__2023,provider_original,ANNA MARSH LANE,BRATTLEBORO,VT,05302
514009__2024__0023,514009__2024,provider_original,1530 NORWAY AVENUE,HUNTINGTON,WV,25706
054089__2024__0024,054089__2024,provider_original,302 SILVER AVENUE,SAN FRANCISCO,CA,94112
670112__2024__0025,670112__2024,provider_original,5330 NORTH LOOP 1604 WEST,SAN ANTONIO,TX,78249
343025__2023__0026,343025__2023,provider_original,68 SWEETEN CREEK ROAD,ASHEVILLE,NC,28803
212002__2024__0027,212002__2024,provider_original,1500 PENNSYLVANIA AVENUE,HAGERSTOWN,MD,21740
190044__2023__0028,190044__2023,provider_original,190044,CROWLEY,LA,70526
103052__2023__0029,103052__2023,provider_original,11595 BURNT MILL ROAD,JACKSONVILLE,FL,32256
670265__2024__0030,670265__2024,provider_original,1401 EAST TRINITY MILLS ROAD,CARROLLTON,TX,75007
054149__2024__0031,054149__2024,provider_original,22050 FAIRMONT DRIVE,SAN LEANDRO,CA,94578
213300__2024__0032,213300__2024,provider_original,1708 WEST ROGERS AVENUE,BALTIMORE,MD,21209
400016__2023__0033,400016__2023,provider_original,PONCE DE LEON,SAN JUAN,PR,00919
400044__2023__0034,400044__2023,provider_original,917 AVE TITO CASTRO,PONCE,PR,00733
400044__2023__0035,400044__2023,street_token_expanded,917 AVENUE TITO CASTRO,PONCE,PR,00733
400061__2024__0036,400061__2024,provider_original,BO. MONACILLO,SAN JUAN,PR,00922
400061__2024__0037,400061__2024,punctuation_normalized,BO MONACILLO,SAN JUAN,PR,00922
400127__2024__0038,400127__2024,provider_original,CENTRO MEDICO,SAN JUAN,PR,00922
400015__2024__0039,400015__2024,provider_original,RIO PIEDRAS STATION,SAN JUAN,PR,00928
