external_manual_rank,packet_rank,cms_provider_number,provider_name,state_abbr,street_address,city,zip5,raw_county,fiscal_year,review_issue,review_priority,suggested_fips,suggested_county_name,supporting_matched_provider_rows,candidate_method,candidate_confidence,review_recommendation,source_operator_review_status,beds_total,discharges_total,total_costs_usd,net_patient_revenue_usd,closeout_action,closeout_note,provider_volume_score,provider_year_key,same_city_review_action,same_city_review_note,census_candidate_fips,census_candidate_county_name,census_match_status,census_match_type,census_matched_address,census_candidate_score,census_candidate_confidence,census_attempt_label,conflicting_census_candidate_fips,census_candidate_status,census_candidate_note,external_manual_lane,recommended_resolution_method,external_manual_note,geocoder_query,retry_candidate_fips,retry_candidate_county_name,retry_match_status,retry_match_type,retry_matched_address,retry_candidate_score,retry_candidate_confidence,retry_attempt_label,retry_conflicting_candidate_fips,retry_candidate_status,retry_candidate_note,production_model_rank_or_dashboard_change
1,10,284003,LINCOLN REGIONAL CENTER,NE,FOLSOM & PROSPECTOR,LINCOLN,68509,,2024,cms_county_blank,high,31109,"Lancaster County, Nebraska",6,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,266.0,28.0,24666453.0,12927774.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.6364,284003__2024,operator_spot_check_census_context_same_fips,"Census provides same-FIPS context, but the match is non-exact or otherwise below automatic acceptance policy.",31109,"Lancaster County, Nebraska",Match,Non_Exact,"S FOLSOM ST & W PROSPECTOR PL, LINCOLN, NE, 68522",0.75,0.84,provider_original,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,weak_same_fips_census_context_manual_review,manual_review_or_approved_external_geocoder,One weak same-FIPS Census context row remains below spot-check acceptance policy; review manually before any override.,"FOLSOM & PROSPECTOR, LINCOLN, NE, 68509",31109,"Lancaster County, Nebraska",Match,Non_Exact,"S FOLSOM ST & W PROSPECTOR PL, LINCOLN, NE, 68522",0.75,0.76,provider_original,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,False
2,1,100209,HCA FLORIDA KENDALL HOSPITAL,FL,11750 BIRD ROAD,MIAMI,33175,,2023,cms_county_blank,high,12086,"Miami-Dade County, Florida",15,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,424.0,20544.0,395991466.0,605941023.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,100209__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"11750 BIRD ROAD, MIAMI, FL, 33175",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
3,2,190064,OUR LADY OF THE LAKE  RMC,LA,5000 HENNESSY BLVD,BATON ROUGE,70808,,2024,cms_county_blank,high,22033,"East Baton Rouge Parish, Louisiana",17,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,647.0,33984.0,1061786275.0,1448942077.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,190064__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"5000 HENNESSY BLVD, BATON ROUGE, LA, 70808",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
4,3,260105,SSM SAINT LOUIS UNIVERSITY HOSPITAL,MO,1201 SOUTH GRAND BLVD,ST. LOUIS,63104,,2023,cms_county_blank,high,29189,"St. Louis County, Missouri",9,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,366.0,23767.0,705130372.0,803223664.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,260105__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1201 SOUTH GRAND BLVD, ST. LOUIS, MO, 63104",29510,"St. Louis city, Missouri",Match,Exact,"1201 S GRAND BLVD, SAINT LOUIS, MO, 63104",0.99,0.95,provider_original,,same_city_residual_census_exact_conflict_correction,Residual Census retry exact match corrects the same-city heuristic county.,False
5,4,290041,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,657 TOWN CENTER DRIVE,LAS VEGAS,89114,,2023,cms_county_blank,high,32003,"Clark County, Nevada",23,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,416.0,23214.0,362460482.0,443399845.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,290041__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"657 TOWN CENTER DRIVE, LAS VEGAS, NV, 89114",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
6,5,370093,OU MEDICAL CENTER,OK,1200 CHILDRENS AVE,OKLAHOMA CITY,73104,,2024,cms_county_blank,high,40109,"Oklahoma County, Oklahoma",24,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,842.0,42672.0,1731174557.0,1965959449.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,370093__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1200 CHILDRENS AVE, OKLAHOMA CITY, OK, 73104",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
7,6,450788,CORPUS CHRISTI MEDICAL CENTER,TX,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,78412,,2024,cms_county_blank,high,48355,"Nueces County, Texas",5,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,372.0,23298.0,362631199.0,552165467.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,450788__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"7101 SOUTH PADRE ISLAND DRIVE, CORPUS CHRISTI, TX, 78412",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
8,7,030115,BANNER ESTRELLA MEDICAL CENTER,AZ,9201 WEST THOMAS ROAD,PHOENIX,85037,,2023,cms_county_blank,high,04013,"Maricopa County, Arizona",24,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,317.0,18265.0,354227291.0,445368593.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.8611,030115__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"9201 WEST THOMAS ROAD, PHOENIX, AZ, 85037",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
9,8,210024,MEDSTAR UNION MEMORIAL HOSPITAL,MD,201 EAST UNIVERSITY PARKWAY,BALTIMORE,21218,,2024,cms_county_blank,high,24005,"Baltimore County, Maryland",12,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,189.0,8756.0,317192934.0,422965084.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.7495,210024__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"201 EAST UNIVERSITY PARKWAY, BALTIMORE, MD, 21218",24510,"Baltimore city, Maryland",Match,Exact,"201 E UNIVERSITY PKWY, BALTIMORE, MD, 21218",0.99,0.95,provider_original,,same_city_residual_census_exact_conflict_correction,Residual Census retry exact match corrects the same-city heuristic county.,False
10,9,450079,BAYLOR S&W MEDICAL CENTER - IRVING,TX,1901 NORTH MACARTHUR BLVD,IRVING,75061,,2024,cms_county_blank,high,48113,"Dallas County, Texas",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,269.0,12679.0,246654703.0,270930503.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.6435,450079__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1901 NORTH MACARTHUR BLVD, IRVING, TX, 75061",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
