batch_id,census_input_address,census_match_status,census_match_type,census_matched_address,census_coordinates,census_lon,census_lat,census_tigerline_id,census_tigerline_side,census_state_fips,census_county_fips,candidate_fips,census_tract,census_block,census_raw_field_count
390156__2024__0159,"LANSDOWNE AVE AND BAILEY RD., DARBY, PA, 19023",No_Match,,,,,,,,,,,,,3
390156__2024__0158,"LANSDOWNE AVE & BAILEY RD., DARBY, PA, 19023",No_Match,,,,,,,,,,,,,3
511310__2024__0118,"TERRACE STREET, HINTON, WV, 25951",No_Match,,,,,,,,,,,,,3
190054__2023__0020,"2315 W MAIN STREET, NEW IBERIA, LA, 70562",No_Match,,,,,,,,,,,,,3
670131__2024__0112,"5330 OVERPASS ROAD SUITE 110, BUDA, TX, 78610",No_Match,,,,,,,,,,,,,3
190054__2023__0021,"2315 WEST MAIN STREET, NEW IBERIA, LA, 70562",No_Match,,,,,,,,,,,,,3
670131__2024__0113,"5330 OVERPASS ROAD, BUDA, TX, 78610",No_Match,,,,,,,,,,,,,3
400137__2023__0187,"ROAD 696 INTERSEC EFRON AVENUE BO HIGUI, DORADO, PR, 00646",No_Match,,,,,,,,,,,,,3
400118__2023__0145,"CARR, MANATI, PR, 00674",No_Match,,,,,,,,,,,,,3
400118__2023__0144,"CARR #2, MANATI, PR, 00674",No_Match,,,,,,,,,,,,,3
400118__2023__0143,"CARR., MANATI, PR, 00674",No_Match,,,,,,,,,,,,,3
400118__2023__0142,"CARR. #2, MANATI, PR, 00674",No_Match,,,,,,,,,,,,,3
014006__2023__0127,"3001 SCENIC HIGHWAY, GADSEN, AL, 35904",Match,Non_Exact,"3001 SCENIC HWY, GADSDEN, AL, 35904","-86.020810767427,34.070796778465",-86.020810767427,34.070796778465,66766398,R,01,055,01055,000400,1004,12
054089__2024__0024,"302 SILVER AVENUE, SAN FRANCISCO, CA, 94112",No_Match,,,,,,,,,,,,,3
670265__2024__0030,"1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX, 75007",No_Match,,,,,,,,,,,,,3
224045__2023__0048,"100 CENTURY DRIVE, WORCESTER, MA, 01606",No_Match,,,,,,,,,,,,,3
014006__2023__0126,"3001 SCENIC HWY, GADSEN, AL, 35904",Match,Non_Exact,"3001 SCENIC HWY, GADSDEN, AL, 35904","-86.020810767427,34.070796778465",-86.020810767427,34.070796778465,66766398,R,01,055,01055,000400,1004,12
400138__2023__0175,"CARR PR-2 KM 11 6 (INTERIOR), BAYAMON, PR, 00959",No_Match,,,,,,,,,,,,,3
100189__2023__0066,"2801 NORTH STATE ROAD 7, MARGATE, FL, 33063",Match,Non_Exact,"2801 STATE HWY 7, MARGATE, FL, 33063","-80.20177952694,26.261728186644",-80.20177952694,26.261728186644,639381190,R,12,011,12011,020205,1000,12
190204__2023__0019,"100 MEDICAL CENTER DRIVE, SLIDELL, LA, 70461",No_Match,,,,,,,,,,,,,3
400109__2023__0139,"SANTA CRUZ # 70, BAYAMON, PR, 00959",Match,Non_Exact,"70 CLL SANTA CRUZ, BAYAMON, PR, 00961","-66.145936103893,18.396426785595",-66.145936103893,18.396426785595,206019123,L,72,021,72021,030300,3014,12
400137__2023__0186,"RD 696 INTERSEC EFRON AVE BO HIGUI, DORADO, PR, 00646",No_Match,,,,,,,,,,,,,3
170006__2024__0091,"1 MT CARMEL WAY, PITTSBURG, KS, 66762",No_Match,,,,,,,,,,,,,3
190044__2023__0028,"190044, CROWLEY, LA, 70526",No_Match,,,,,,,,,,,,,3
241301__2024__0121,"600 MAIN AVENUE SOUTH, BAUDETTE, MN, 56623",No_Match,,,,,,,,,,,,,3
241301__2024__0120,"600 MAIN AVENUE S, BAUDETTE, MN, 56623",No_Match,,,,,,,,,,,,,3
400016__2023__0033,"PONCE DE LEON, SAN JUAN, PR, 00919",No_Match,,,,,,,,,,,,,3
230095__2024__0090,"2463 SOUTH M-30, WEST BRANCH, MI, 48661",No_Match,,,,,,,,,,,,,3
493300__2024__0136,"9407 CUMBERLAND RD, NEW KENT, VA, 23124",No_Match,,,,,,,,,,,,,3
493300__2024__0137,"9407 CUMBERLAND ROAD, NEW KENT, VA, 23124",No_Match,,,,,,,,,,,,,3
400010__2023__0193,"PO BOX 1003, CASTANER, PR, 00631",No_Match,,,,,,,,,,,,,3
030115__2023__0012,"9201 WEST THOMAS ROAD, PHOENIX, AZ, 85037",No_Match,,,,,,,,,,,,,3
400098__2023__0040,"DE DIEGO AVE. #371, RIO PIEDRAS, PR, 00923",No_Match,,,,,,,,,,,,,3
400098__2023__0041,"DE DIEGO AVE., RIO PIEDRAS, PR, 00923",No_Match,,,,,,,,,,,,,3
371331__2023__0122,"610 WEST BYPASS, DRUMRIGHT, OK, 74030",No_Match,,,,,,,,,,,,,3
400138__2023__0174,"CARR. PR-2 KM 11.6 (INTERIOR), BAYAMON, PR, 00959",No_Match,,,,,,,,,,,,,3
224039__2023__0182,"76 SUMMER STREED, HAVERHILL, MA, 01832",Tie,,,,,,,,,,,,,3
100209__2023__0003,"11750 BIRD ROAD, MIAMI, FL, 33175",No_Match,,,,,,,,,,,,,3
650003__2023__0146,"133 ROUTE 3, DEDEDO, GU, 96929",No_Match,,,,,,,,,,,,,3
400098__2023__0042,"DE DIEGO AVE #371, RIO PIEDRAS, PR, 00923",No_Match,,,,,,,,,,,,,3
400098__2023__0043,"DE DIEGO AVENUE, RIO PIEDRAS, PR, 00923",No_Match,,,,,,,,,,,,,3
450587__2024__0083,"1501 BURNET DRIVE, BROWNWOOD, TX, 76804",Match,Non_Exact,"1501 BURNEY DR, BROWNWOOD, TX, 76801","-98.988301380254,31.680332212248",-98.988301380254,31.680332212248,129475046,L,48,049,48049,951100,2011,12
224045__2023__0047,"100 CENTURY DR, WORCESTER, MA, 01606",No_Match,,,,,,,,,,,,,3
440194__2024__0075,"355 NEW SHACKLE ISLAND, HENDERSONVILLE, TN, 37215",Match,Non_Exact,"355 NEW SHACKLE ISLAND RD, HENDERSONVILLE, TN, 37075","-86.620676619885,36.323498476769",-86.620676619885,36.323498476769,635425221,L,47,165,47165,021105,3009,12
230095__2024__0089,"2463 S M-30, WEST BRANCH, MI, 48661",No_Match,,,,,,,,,,,,,3
400112__2024__0149,"STREET 3 KM 8.3 65 INFANTERIA AVE., CAROLINA, PR, 00984",No_Match,,,,,,,,,,,,,3
210034__2024__0018,"3001 SOUTH HANOVER STREET, BALTIMORE, MD, 21225",Match,Exact,"3001 S HANOVER ST, BALTIMORE, MD, 21225","-76.615344771921,39.251884720936",-76.615344771921,39.251884720936,657042913,L,24,510,24510,250203,1001,12
190064__2024__0004,"5000 HENNESSY BLVD, BATON ROUGE, LA, 70808",No_Match,,,,,,,,,,,,,3
190064__2024__0005,"5000 HENNESSY BOULEVARD, BATON ROUGE, LA, 70808",No_Match,,,,,,,,,,,,,3
490143__2023__0094,"1500 COMMONWEALTH AVENUE, WILLIAMSBURG, VA, 23185",No_Match,,,,,,,,,,,,,3
110192__2024__0072,"1700 MEDICAL WAY, SNELLVILLE, GA, 30278",Match,Non_Exact,"1700 MEDICAL WAY, SNELLVILLE, GA, 30078","-84.019727551159,33.877582033732",-84.019727551159,33.877582033732,88938144,L,13,135,13135,050762,1024,12
100224__2024__0073,"7201 UNIVERSITY DRIVE, TAMARAC, FL, 33321",No_Match,,,,,,,,,,,,,3
650001__2023__0157,"850 GOVERNOR CARLOS G CAMACHO ROAD, OKA TAMUNING, GU, 96911",No_Match,,,,,,,,,,,,,3
400019__2023__0162,"ASIA STREET, SANTURCE, PR, 00910",No_Match,,,,,,,,,,,,,3
400015__2024__0039,"RIO PIEDRAS STATION, SAN JUAN, PR, 00928",No_Match,,,,,,,,,,,,,3
650001__2023__0156,"850 GOVERNOR CARLOS G CAMACHO RD, OKA TAMUNING, GU, 96911",No_Match,,,,,,,,,,,,,3
400112__2024__0151,"STREET 3 KM 8 3 65 INFANTERIA AVENUE, CAROLINA, PR, 00984",No_Match,,,,,,,,,,,,,3
380071__2023__0092,"2700 SE STRATUS AVENUE, MCMINNVILLE, OR, 97128",No_Match,,,,,,,,,,,,,3
400112__2024__0150,"STREET 3 KM 8 3 65 INFANTERIA AVE, CAROLINA, PR, 00984",No_Match,,,,,,,,,,,,,3
230193__2023__0081,"1375 NORTH MAIN STREET, LAPEER, MI, 48436",Match,Non_Exact,"1375 N MAIN ST, LAPEER, MI, 48446","-83.319375262393,43.062095260025",-83.319375262393,43.062095260025,110457315,L,26,087,26087,337000,1002,12
