external_manual_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,street_address,city,state_abbr,zip5,geocoder_query,external_manual_lane,review_priority,review_issue,provider_volume_score,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
1,284003__2024,284003,2024,LINCOLN REGIONAL CENTER,FOLSOM & PROSPECTOR,LINCOLN,NE,68509,"FOLSOM & PROSPECTOR, LINCOLN, NE, 68509",weak_same_fips_census_context_manual_review,high,cms_county_blank,0.6364,hold,,,,,,Held after residual Census retry: Residual Census retry produced context but not enough evidence for automatic acceptance.,,
2,100209__2023,100209,2023,HCA FLORIDA KENDALL HOSPITAL,11750 BIRD ROAD,MIAMI,FL,33175,"11750 BIRD ROAD, MIAMI, FL, 33175",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
3,190064__2024,190064,2024,OUR LADY OF THE LAKE  RMC,5000 HENNESSY BLVD,BATON ROUGE,LA,70808,"5000 HENNESSY BLVD, BATON ROUGE, LA, 70808",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
4,260105__2023,260105,2023,SSM SAINT LOUIS UNIVERSITY HOSPITAL,1201 SOUTH GRAND BLVD,ST. LOUIS,MO,63104,"1201 SOUTH GRAND BLVD, ST. LOUIS, MO, 63104",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,accept,29510,"St. Louis city, Missouri",0.95,official_census_geographies_residual_retry,exact_street_address,"Accepted by residual Census retry in report-only mode: Exact match from `provider_original` to 1201 S GRAND BLVD, SAINT LOUIS, MO, 63104, county St. Louis city, Missouri (29510); source promotion remains blocked.",codex_residual_census_retry,2026-06-04T17:32:06.742722+00:00
5,290041__2023,290041,2023,SUMMERLIN HOSPITAL MEDICAL CENTER,657 TOWN CENTER DRIVE,LAS VEGAS,NV,89114,"657 TOWN CENTER DRIVE, LAS VEGAS, NV, 89114",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
6,370093__2024,370093,2024,OU MEDICAL CENTER,1200 CHILDRENS AVE,OKLAHOMA CITY,OK,73104,"1200 CHILDRENS AVE, OKLAHOMA CITY, OK, 73104",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
7,450788__2024,450788,2024,CORPUS CHRISTI MEDICAL CENTER,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,TX,78412,"7101 SOUTH PADRE ISLAND DRIVE, CORPUS CHRISTI, TX, 78412",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
8,030115__2023,030115,2023,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,"9201 WEST THOMAS ROAD, PHOENIX, AZ, 85037",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.8611,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
9,210024__2024,210024,2024,MEDSTAR UNION MEMORIAL HOSPITAL,201 EAST UNIVERSITY PARKWAY,BALTIMORE,MD,21218,"201 EAST UNIVERSITY PARKWAY, BALTIMORE, MD, 21218",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.7495,accept,24510,"Baltimore city, Maryland",0.95,official_census_geographies_residual_retry,exact_street_address,"Accepted by residual Census retry in report-only mode: Exact match from `provider_original` to 201 E UNIVERSITY PKWY, BALTIMORE, MD, 21218, county Baltimore city, Maryland (24510); source promotion remains blocked.",codex_residual_census_retry,2026-06-04T17:32:06.742722+00:00
10,450079__2024,450079,2024,BAYLOR S&W MEDICAL CENTER - IRVING,1901 NORTH MACARTHUR BLVD,IRVING,TX,75061,"1901 NORTH MACARTHUR BLVD, IRVING, TX, 75061",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.6435,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
