provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,external_manual_lane,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_match_type,retry_attempt_label,retry_match_status,retry_match_type,retry_matched_address,retry_candidate_score,retry_candidate_confidence,review_issue
284003__2024,284003,2024,LINCOLN REGIONAL CENTER,NE,weak_same_fips_census_context_manual_review,hold,31109,"Lancaster County, Nebraska",0.76,census_non_exact_street_number_zip_context,provider_original,Match,Non_Exact,"S FOLSOM ST & W PROSPECTOR PL, LINCOLN, NE, 68522",0.75,0.76,retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5; leading_street_number_not_supported
370056__2024,370056,2024,COMANCHE COUNTY MEMORIAL HOSPITAL,OK,same_city_unresolved_after_census_external_geocoder,hold,40031,"Comanche County, Oklahoma",0.76,census_non_exact_street_number_zip_context,street_token_expanded,Match,Non_Exact,"3401 W GORE BLVD, LAWTON, OK, 73505",0.75,0.76,not_provider_original_attempt; retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5
050224__2023,050224,2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,external_geocoder_required_no_local_candidate,hold,06059,"Orange County, California",0.76,census_non_exact_street_number_zip_context,provider_original,Match,Non_Exact,"1 HOAG DR, NEWPORT BEACH, CA, 92663",0.75,0.76,retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5; leading_street_number_not_supported
390180__2023,390180,2023,CROZER CHESTER MEDICAL CENTER,PA,external_geocoder_required_no_local_candidate,hold,42045,"Delaware County, Pennsylvania",0.86,census_non_exact_street_number_zip_context,provider_original,Match,Non_Exact,"1 MEDICAL CENTER BLVD, CHESTER, PA, 19013",0.83,0.86,retry_score_below_0_88; leading_street_number_not_supported; matched_address_lacks_city_support
140164__2024,140164,2024,MEMORIAL HOSPITAL OF CARBONDALE,IL,external_geocoder_required_no_local_candidate,hold,17077,"Jackson County, Illinois",0.76,census_non_exact_street_number_zip_context,provider_original,Match,Non_Exact,"405 W JACKSON ST, CARBONDALE, IL, 62901",0.8,0.76,retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5
100189__2023,100189,2023,HCA FLORIDA NORTHWEST HOSPITAL,FL,external_geocoder_required_no_local_candidate,accept,12011,"Broward County, Florida",0.86,census_non_exact_street_number_zip_context,provider_original,Match,Non_Exact,"2801 STATE HWY 7, MARGATE, FL, 33063",0.88,0.86,
110192__2024,110192,2024,PIEDMONT EASTSIDE MEDICAL CENTER,GA,external_geocoder_required_no_local_candidate,hold,13135,"Gwinnett County, Georgia",0.76,census_non_exact_street_number_zip_context,provider_original,Match,Non_Exact,"1700 MEDICAL WAY, SNELLVILLE, GA, 30078",0.8,0.76,retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5
264010__2024,264010,2024,ST. LOUIS FORENSIC TREATMENT CENTER,MO,external_geocoder_required_no_local_candidate,hold,29510,"St. Louis city, Missouri",0.76,census_non_exact_street_number_zip_context,provider_original,Match,Non_Exact,"500 ARSENAL ST, SAINT LOUIS, MO, 63118",0.8,0.76,retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5
440194__2024,440194,2024,TRISTAR HENDERSONVILLE MEDICAL CENTE,TN,external_geocoder_required_no_local_candidate,hold,47165,"Sumner County, Tennessee",0.76,census_non_exact_street_number_zip_context,provider_original,Match,Non_Exact,"355 NEW SHACKLE ISLAND RD, HENDERSONVILLE, TN, 37075",0.8,0.76,retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5
110023__2023,110023,2023,ADVENTHEALTH GORDON,GA,external_geocoder_required_no_local_candidate,hold,13129,"Gordon County, Georgia",0.76,census_non_exact_street_number_zip_context,provider_original,Match,Non_Exact,"1035 RED BUD RD NE, CALHOUN, GA, 30701",0.8,0.76,retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5
054154__2023,054154,2023,SAN JOSE BEHAVIORAL HEALTH,CA,external_geocoder_required_no_local_candidate,accept,06085,"Santa Clara County, California",0.86,census_non_exact_street_number_zip_context,provider_original,Match,Non_Exact,"455 SILICON VALLEY BLVD, SAN JOSE, CA, 95138",0.88,0.86,
460013__2024,460013,2024,MOUNTAIN VIEW HOSPITAL,UT,external_geocoder_required_no_local_candidate,hold,49049,"Utah County, Utah",0.86,census_non_exact_street_number_zip_context,provider_original,Match,Non_Exact,"1000 E 100 S, PAYSON, UT, 84651",0.88,0.86,street_direction_conflict; street_or_route_support_missing
230193__2023,230193,2023,MCLAREN LAPEER REGION,MI,external_geocoder_required_no_local_candidate,hold,26087,"Lapeer County, Michigan",0.76,census_non_exact_street_number_zip_context,provider_original,Match,Non_Exact,"1375 N MAIN ST, LAPEER, MI, 48446",0.8,0.76,retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5
450587__2024,450587,2024,HENDRICK MEDICAL CENTER BROWNWOOD,TX,external_geocoder_required_no_local_candidate,hold,48049,"Brown County, Texas",0.76,census_non_exact_street_number_zip_context,provider_original,Match,Non_Exact,"1501 BURNEY DR, BROWNWOOD, TX, 76801",0.8,0.76,retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5
190014__2023,190014,2023,OCHSNER ST. MARY,LA,external_geocoder_required_no_local_candidate,hold,22101,"St. Mary Parish, Louisiana",0.76,census_non_exact_street_number_zip_context,provider_original,Match,Non_Exact,"1125 MARGUERITE ST, MORGAN CITY, LA, 70380",0.8,0.76,retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5
524042__2023,524042,2023,MIRAMOUNT BEHAVIORAL HEALTH,WI,external_geocoder_required_no_local_candidate,accept,55025,"Dane County, Wisconsin",0.86,census_non_exact_street_number_zip_context,provider_original,Match,Non_Exact,"3169 DEMING WAY, MIDDLETON, WI, 53562",0.88,0.86,
