cms_provider_number,fiscal_year,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_source,acceptance_action,accepted_at,external_manual_rank,provider_year_key,provider_name,state_abbr,street_address,city,zip5,external_manual_lane,reviewer_decision,manual_geocode_source,manual_geocode_match_type,reviewed_by,reviewed_at,acceptance_status,acceptance_issue,production_model_rank_or_dashboard_change
284003,2024,assign_county,31109,"Lancaster County, Nebraska",0.7600,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5; leading_street_number_not_supported.,output/institutional_anchor_provider_geocode_external_manual_residual_context_spotcheck_results.csv,external_manual_geocode_review_confirmed,2026-06-04T19:04:17.816639+00:00,1,284003__2024,LINCOLN REGIONAL CENTER,NE,FOLSOM & PROSPECTOR,LINCOLN,68509,weak_same_fips_census_context_manual_review,hold,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00,held_or_rejected,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5; leading_street_number_not_supported.,False
370056,2024,assign_county,40031,"Comanche County, Oklahoma",0.7600,Held by strict residual Census context spot-check: not_provider_original_attempt; retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,output/institutional_anchor_provider_geocode_external_manual_residual_context_spotcheck_results.csv,external_manual_geocode_review_confirmed,2026-06-04T19:04:17.816639+00:00,9,370056__2024,COMANCHE COUNTY MEMORIAL HOSPITAL,OK,3401 W GORE,LAWTON,73502,same_city_unresolved_after_census_external_geocoder,hold,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00,held_or_rejected,Held by strict residual Census context spot-check: not_provider_original_attempt; retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,False
050224,2023,assign_county,06059,"Orange County, California",0.7600,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5; leading_street_number_not_supported.,output/institutional_anchor_provider_geocode_external_manual_residual_context_spotcheck_results.csv,external_manual_geocode_review_confirmed,2026-06-04T19:04:17.816639+00:00,34,050224__2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,ONE HOAG DRIVE,NEWPORT BEACH,92658,external_geocoder_required_no_local_candidate,hold,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00,held_or_rejected,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5; leading_street_number_not_supported.,False
390180,2023,assign_county,42045,"Delaware County, Pennsylvania",0.8600,Held by strict residual Census context spot-check: retry_score_below_0_88; leading_street_number_not_supported; matched_address_lacks_city_support.,output/institutional_anchor_provider_geocode_external_manual_residual_context_spotcheck_results.csv,external_manual_geocode_review_confirmed,2026-06-04T19:04:17.816639+00:00,36,390180__2023,CROZER CHESTER MEDICAL CENTER,PA,ONE MEDICAL CENTER BLVD.,UPLAND,19013,external_geocoder_required_no_local_candidate,hold,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00,held_or_rejected,Held by strict residual Census context spot-check: retry_score_below_0_88; leading_street_number_not_supported; matched_address_lacks_city_support.,False
140164,2024,assign_county,17077,"Jackson County, Illinois",0.7600,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,output/institutional_anchor_provider_geocode_external_manual_residual_context_spotcheck_results.csv,external_manual_geocode_review_confirmed,2026-06-04T19:04:17.816639+00:00,40,140164__2024,MEMORIAL HOSPITAL OF CARBONDALE,IL,405 W. JACKSON ST.,CARBONDALE,62902,external_geocoder_required_no_local_candidate,hold,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00,held_or_rejected,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,False
100189,2023,assign_county,12011,"Broward County, Florida",0.8600,"Accepted report-only institutional-anchor CMS provider external/manual geocode review: official_census_geographies_residual_context_spotcheck / census_non_exact_street_number_zip_context assigned Broward County, Florida (12011) for provider 100189 fiscal year 2023 at confidence 0.86. Reviewer note: Accepted from strict official Census residual context spot-check: provider-original non-exact match supports Broward County, Florida (12011) with matching leading street number, provider ZIP, city/state support, street or route support, no directional contradiction, no conflicting FIPS, score 0.88, confidence 0.86. Matched address: 2801 STATE HWY 7, MARGATE, FL, 33063.. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",output/institutional_anchor_provider_geocode_external_manual_residual_context_spotcheck_results.csv,external_manual_geocode_review_confirmed,2026-06-04T19:04:17.816639+00:00,42,100189__2023,HCA FLORIDA NORTHWEST HOSPITAL,FL,2801 NORTH STATE ROAD 7,MARGATE,33063,external_geocoder_required_no_local_candidate,accept,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00,accepted,,False
110192,2024,assign_county,13135,"Gwinnett County, Georgia",0.7600,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,output/institutional_anchor_provider_geocode_external_manual_residual_context_spotcheck_results.csv,external_manual_geocode_review_confirmed,2026-06-04T19:04:17.816639+00:00,43,110192__2024,PIEDMONT EASTSIDE MEDICAL CENTER,GA,1700 MEDICAL WAY,SNELLVILLE,30278,external_geocoder_required_no_local_candidate,hold,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00,held_or_rejected,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,False
264010,2024,assign_county,29510,"St. Louis city, Missouri",0.7600,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,output/institutional_anchor_provider_geocode_external_manual_residual_context_spotcheck_results.csv,external_manual_geocode_review_confirmed,2026-06-04T19:04:17.816639+00:00,44,264010__2024,ST. LOUIS FORENSIC TREATMENT CENTER,MO,500 ARSENAL STREET,ST.LOUIS,63119,external_geocoder_required_no_local_candidate,hold,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00,held_or_rejected,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,False
440194,2024,assign_county,47165,"Sumner County, Tennessee",0.7600,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,output/institutional_anchor_provider_geocode_external_manual_residual_context_spotcheck_results.csv,external_manual_geocode_review_confirmed,2026-06-04T19:04:17.816639+00:00,47,440194__2024,TRISTAR HENDERSONVILLE MEDICAL CENTE,TN,355 NEW SHACKLE ISLAND,HENDERSONVILLE,37215,external_geocoder_required_no_local_candidate,hold,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00,held_or_rejected,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,False
110023,2023,assign_county,13129,"Gordon County, Georgia",0.7600,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,output/institutional_anchor_provider_geocode_external_manual_residual_context_spotcheck_results.csv,external_manual_geocode_review_confirmed,2026-06-04T19:04:17.816639+00:00,49,110023__2023,ADVENTHEALTH GORDON,GA,1035 RED BUD ROAD,CALHOUN,30703,external_geocoder_required_no_local_candidate,hold,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00,held_or_rejected,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,False
