external_manual_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,street_address,city,state_abbr,zip5,geocoder_query,external_manual_lane,review_priority,review_issue,provider_volume_score,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
1,284003__2024,284003,2024,LINCOLN REGIONAL CENTER,FOLSOM & PROSPECTOR,LINCOLN,NE,68509,"FOLSOM & PROSPECTOR, LINCOLN, NE, 68509",weak_same_fips_census_context_manual_review,high,cms_county_blank,0.6345,hold,31109,"Lancaster County, Nebraska",0.76,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5; leading_street_number_not_supported.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
9,370056__2024,370056,2024,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 W GORE,LAWTON,OK,73502,"3401 W GORE, LAWTON, OK, 73502",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.6066,hold,40031,"Comanche County, Oklahoma",0.76,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: not_provider_original_attempt; retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
34,050224__2023,050224,2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92658,"ONE HOAG DRIVE, NEWPORT BEACH, CA, 92658",external_geocoder_required_no_local_candidate,high,cms_county_blank,1.0,hold,06059,"Orange County, California",0.76,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5; leading_street_number_not_supported.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
36,390180__2023,390180,2023,CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BLVD.,UPLAND,PA,19013,"ONE MEDICAL CENTER BLVD., UPLAND, PA, 19013",external_geocoder_required_no_local_candidate,high,cms_county_blank,1.0,hold,42045,"Delaware County, Pennsylvania",0.86,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: retry_score_below_0_88; leading_street_number_not_supported; matched_address_lacks_city_support.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
40,140164__2024,140164,2024,MEMORIAL HOSPITAL OF CARBONDALE,405 W. JACKSON ST.,CARBONDALE,IL,62902,"405 W. JACKSON ST., CARBONDALE, IL, 62902",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.7215,hold,17077,"Jackson County, Illinois",0.76,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
42,100189__2023,100189,2023,HCA FLORIDA NORTHWEST HOSPITAL,2801 NORTH STATE ROAD 7,MARGATE,FL,33063,"2801 NORTH STATE ROAD 7, MARGATE, FL, 33063",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.6894,accept,12011,"Broward County, Florida",0.86,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,"Accepted from strict official Census residual context spot-check: provider-original non-exact match supports Broward County, Florida (12011) with matching leading street number, provider ZIP, city/state support, street or route support, no directional contradiction, no conflicting FIPS, score 0.88, confidence 0.86. Matched address: 2801 STATE HWY 7, MARGATE, FL, 33063.",codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
43,110192__2024,110192,2024,PIEDMONT EASTSIDE MEDICAL CENTER,1700 MEDICAL WAY,SNELLVILLE,GA,30278,"1700 MEDICAL WAY, SNELLVILLE, GA, 30278",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.6136,hold,13135,"Gwinnett County, Georgia",0.76,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
44,264010__2024,264010,2024,ST. LOUIS FORENSIC TREATMENT CENTER,500 ARSENAL STREET,ST.LOUIS,MO,63119,"500 ARSENAL STREET, ST.LOUIS, MO, 63119",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.6083,hold,29510,"St. Louis city, Missouri",0.76,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
47,440194__2024,440194,2024,TRISTAR HENDERSONVILLE MEDICAL CENTE,355 NEW SHACKLE ISLAND,HENDERSONVILLE,TN,37215,"355 NEW SHACKLE ISLAND, HENDERSONVILLE, TN, 37215",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.3922,hold,47165,"Sumner County, Tennessee",0.76,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
49,110023__2023,110023,2023,ADVENTHEALTH GORDON,1035 RED BUD ROAD,CALHOUN,GA,30703,"1035 RED BUD ROAD, CALHOUN, GA, 30703",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.3205,hold,13129,"Gordon County, Georgia",0.76,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
