triage_rank,external_manual_rank,packet_rank,cms_provider_number,provider_name,state_abbr,street_address,city,zip5,raw_county,fiscal_year,review_issue,review_priority,suggested_fips,suggested_county_name,supporting_matched_provider_rows,candidate_method,candidate_confidence,review_recommendation,source_operator_review_status,beds_total,discharges_total,total_costs_usd,net_patient_revenue_usd,closeout_action,closeout_note,provider_volume_score,provider_year_key,same_city_review_action,same_city_review_note,census_candidate_fips,census_candidate_county_name,census_match_status,census_match_type,census_matched_address,census_candidate_score,census_candidate_confidence,census_attempt_label,conflicting_census_candidate_fips,census_candidate_status,census_candidate_note,external_manual_lane,recommended_resolution_method,external_manual_note,geocoder_query,prior_osm_batch,prior_osm_decision,prior_osm_fips,prior_osm_county_name,prior_osm_confidence,prior_osm_geocoder_name,prior_osm_display_name,prior_osm_attempt_label,prior_osm_attempt_query,prior_osm_candidate_issue,retry_candidate_fips,retry_candidate_county_name,retry_match_status,retry_match_type,retry_matched_address,retry_candidate_score,retry_candidate_confidence,retry_attempt_label,retry_conflicting_candidate_fips,retry_candidate_status,retry_candidate_note,context_reviewer_decision,context_manual_fips,context_manual_county_name,context_manual_geocode_confidence,context_manual_review_note,triage_lane,blocker_reason,recommended_next_action,triage_priority
1,2,5,370093,OU MEDICAL CENTER,OK,1200 CHILDRENS AVE,OKLAHOMA CITY,73104,,2024,cms_county_blank,high,40109,"Oklahoma County, Oklahoma",24,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,842.0,42672.0,1731174557.0,1965959449.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,370093__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1200 CHILDRENS AVE, OKLAHOMA CITY, OK, 73104",same_city_osm,hold,40109,"Oklahoma County, Oklahoma",0.78,OU Medical Center,"OU Medical Center, 700, Northeast 13th Street, Oklahoma City, Oklahoma County, Oklahoma, 73104, United States",provider_city_zip,"OU MEDICAL CENTER, OKLAHOMA CITY, OK, 73104",house_number_not_supported; confidence_below_0_90,,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,,,,,,same_city_held_manual_review,"Same-city heuristic survived local review, but OSM held the row: house_number_not_supported; confidence_below_0_90.","Reserve for manual/source-backed review for Oklahoma County, Oklahoma; do not accept the same-city heuristic alone.",P1
2,3,6,290041,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,657 TOWN CENTER DRIVE,LAS VEGAS,89114,,2023,cms_county_blank,high,32003,"Clark County, Nevada",23,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,416.0,23214.0,362460482.0,443399845.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.9598,290041__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"657 TOWN CENTER DRIVE, LAS VEGAS, NV, 89114",same_city_osm,hold,32003,"Clark County, Nevada",0.82,Summerlin Hospital,"Summerlin Hospital, 657, North Town Center Drive, The Crossing, Summerlin North, Summerlin, Las Vegas, Clark County, Nevada, 89144, United States",address_only,"657 TOWN CENTER DRIVE, LAS VEGAS, NV, 89114",postcode_not_supported; confidence_below_0_90,,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,,,,,,same_city_held_manual_review,"Same-city heuristic survived local review, but OSM held the row: postcode_not_supported; confidence_below_0_90.","Reserve for manual/source-backed review for Clark County, Nevada; do not accept the same-city heuristic alone.",P1
3,4,7,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,OK,3401 W GORE,LAWTON,73502,,2024,cms_county_blank,high,40031,"Comanche County, Oklahoma",3,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,183.0,10649.0,224314285.0,339847745.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.5705,370056__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"3401 W GORE, LAWTON, OK, 73502",same_city_osm,hold,40031,"Comanche County, Oklahoma",0.82,Comanche County Memorial Hospital,"Comanche County Memorial Hospital, 3401, Southwest Gore Boulevard, Lawton, Comanche County, Oklahoma, 73505, United States",provider_city_zip,"COMANCHE COUNTY MEMORIAL HOSPITAL, LAWTON, OK, 73502",postcode_not_supported; confidence_below_0_90,40031,"Comanche County, Oklahoma",Match,Non_Exact,"3401 W GORE BLVD, LAWTON, OK, 73505",0.75,0.76,street_token_expanded,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,hold,40031,"Comanche County, Oklahoma",0.76,Held by strict residual Census context spot-check: not_provider_original_attempt; retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,same_city_held_manual_review,"Same-city heuristic survived local review, but OSM held the row: postcode_not_supported; confidence_below_0_90.","Reserve for manual/source-backed review for Comanche County, Oklahoma; do not accept the same-city heuristic alone.",P1
4,5,9,190054,IBERIA MEDICAL CENTER,LA,2315 W MAIN STREET,NEW IBERIA,70562,,2023,cms_county_blank,high,22045,"Iberia Parish, Louisiana",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,133.0,3965.0,90825525.0,106319014.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.263,190054__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"2315 W MAIN STREET, NEW IBERIA, LA, 70562",same_city_osm,hold,22045,"Iberia Parish, Louisiana",0.82,Iberia Medical Center,"Iberia Medical Center, 2315, East Main Street, Berard, New Iberia, Iberia Parish, Louisiana, 70560, United States",provider_city_zip,"IBERIA MEDICAL CENTER, NEW IBERIA, LA, 70562",postcode_not_supported; confidence_below_0_90,,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,,,,,,same_city_held_manual_review,"Same-city heuristic survived local review, but OSM held the row: postcode_not_supported; confidence_below_0_90.","Reserve for manual/source-backed review for Iberia Parish, Louisiana; do not accept the same-city heuristic alone.",P1
5,6,10,474001,BRATTLEBORO RETREAT,VT,ANNA MARSH LANE,BRATTLEBORO,05302,,2023,cms_county_blank,high,50025,"Windham County, Vermont",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,113.0,1759.0,72243402.0,96398345.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.2235,474001__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"ANNA MARSH LANE, BRATTLEBORO, VT, 05302",same_city_osm,hold,50025,"Windham County, Vermont",0.82,Brattleboro Retreat,"Brattleboro Retreat, Anna Marsh Lane, Brattleboro, Windham County, Vermont, 05302, United States",provider_address,"BRATTLEBORO RETREAT, ANNA MARSH LANE, BRATTLEBORO, VT, 05302",house_number_not_supported; confidence_below_0_90,,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,,,,,,same_city_held_manual_review,"Same-city heuristic survived local review, but OSM held the row: house_number_not_supported; confidence_below_0_90.","Reserve for manual/source-backed review for Windham County, Vermont; do not accept the same-city heuristic alone.",P1
6,7,11,514009,MILDRED MITCHELL-BATEMAN HOSPITAL,WV,1530 NORWAY AVENUE,HUNTINGTON,25706,,2024,cms_county_blank,high,54011,"Cabell County, West Virginia",6,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,110.0,409.0,51287750.0,16735784.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.2175,514009__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1530 NORWAY AVENUE, HUNTINGTON, WV, 25706",same_city_osm,hold,54011,"Cabell County, West Virginia",0.82,Mildred Mitchell-Bateman Hospital,"Mildred Mitchell-Bateman Hospital, 1530, Norway Avenue, Huntington, Cabell County, West Virginia, 25705, United States",address_only,"1530 NORWAY AVENUE, HUNTINGTON, WV, 25706",postcode_not_supported; confidence_below_0_90,,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,,,,,,same_city_held_manual_review,"Same-city heuristic survived local review, but OSM held the row: postcode_not_supported; confidence_below_0_90.","Reserve for manual/source-backed review for Cabell County, West Virginia; do not accept the same-city heuristic alone.",P1
7,8,12,212002,WESTERN MARYLAND HOSPITAL CENTER,MD,1500 PENNSYLVANIA AVENUE,HAGERSTOWN,21740,,2024,cms_county_blank,high,24043,"Washington County, Maryland",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,60.0,14.0,23465963.0,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1186,212002__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1500 PENNSYLVANIA AVENUE, HAGERSTOWN, MD, 21740",same_city_osm,hold,24043,"Washington County, Maryland",0.82,Western Maryland Hospital Center,"Western Maryland Hospital Center, 1500, Pennsylvania Avenue, Hagerstown, Washington County, Maryland, 21742, United States",address_only,"1500 PENNSYLVANIA AVENUE, HAGERSTOWN, MD, 21740",postcode_not_supported; confidence_below_0_90,,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,,,,,,same_city_held_manual_review,"Same-city heuristic survived local review, but OSM held the row: postcode_not_supported; confidence_below_0_90.","Reserve for manual/source-backed review for Washington County, Maryland; do not accept the same-city heuristic alone.",P1
8,9,13,190044,ACADIA GENERAL HOSPITAL,LA,190044,CROWLEY,70526,,2023,cms_county_blank,high,22001,"Acadia Parish, Louisiana",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,54.0,1564.0,50363732.0,53325390.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1169,190044__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"190044, CROWLEY, LA, 70526",same_city_osm,hold,22001,"Acadia Parish, Louisiana",0.6,Acadia General Hospital,"Acadia General Hospital, 1305, Crowley Rayne Highway, Crowley, Acadia Parish, Louisiana, 70546, United States",provider_city_zip,"ACADIA GENERAL HOSPITAL, CROWLEY, LA, 70526",house_number_not_supported; postcode_not_supported; confidence_below_0_90,,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,,,,,,same_city_held_manual_review,"Same-city heuristic survived local review, but OSM held the row: house_number_not_supported; postcode_not_supported; confidence_below_0_90.","Reserve for manual/source-backed review for Acadia Parish, Louisiana; do not accept the same-city heuristic alone.",P1
9,10,14,670265,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,1401 EAST TRINITY MILLS ROAD,CARROLLTON,75007,,2024,cms_county_blank,high,48121,"Denton County, Texas",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,22.0,629.0,45132104.0,36285783.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1047,670265__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX, 75007",same_city_osm,hold,48113,"Dallas County, Texas",0.82,Legent Orthopedic Hospital,"Legent Orthopedic Hospital, 1401, East Trinity Mills Road, New Koreatown, Carrollton, Dallas County, Texas, 75006, United States",address_only,"1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX, 75007",postcode_not_supported; confidence_below_0_90,,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,,,,,,same_city_held_manual_review,"Same-city heuristic survived local review, but OSM held the row: postcode_not_supported; confidence_below_0_90.","Reserve for manual/source-backed review for Denton County, Texas; do not accept the same-city heuristic alone.",P1
10,11,15,103052,ENCOMPASS HEALTH REHABILITATION HOSP,FL,11595 BURNT MILL ROAD,JACKSONVILLE,32256,,2023,cms_county_blank,high,12031,"Duval County, Florida",10,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,50.0,798.0,17626662.0,16719427.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0989,103052__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"11595 BURNT MILL ROAD, JACKSONVILLE, FL, 32256",same_city_osm,hold,12031,"Duval County, Florida",0.7,Burnt Mill Road,"Burnt Mill Road, Jacksonville, Duval County, Florida, 32256, United States",address_only,"11595 BURNT MILL ROAD, JACKSONVILLE, FL, 32256",house_number_not_supported; confidence_below_0_90,,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,,,,,,same_city_held_manual_review,"Same-city heuristic survived local review, but OSM held the row: house_number_not_supported; confidence_below_0_90.","Reserve for manual/source-backed review for Duval County, Florida; do not accept the same-city heuristic alone.",P1
