external_manual_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,street_address,city,state_abbr,zip5,geocoder_query,external_manual_lane,review_priority,review_issue,provider_volume_score,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
1,284003__2024,284003,2024,LINCOLN REGIONAL CENTER,FOLSOM & PROSPECTOR,LINCOLN,NE,68509,"FOLSOM & PROSPECTOR, LINCOLN, NE, 68509",weak_same_fips_census_context_manual_review,high,cms_county_blank,0.7168,hold,31109,"Lancaster County, Nebraska",0.84,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
2,100209__2023,100209,2023,HCA FLORIDA KENDALL HOSPITAL,11750 BIRD ROAD,MIAMI,FL,33175,"11750 BIRD ROAD, MIAMI, FL, 33175",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
3,190064__2024,190064,2024,OUR LADY OF THE LAKE  RMC,5000 HENNESSY BLVD,BATON ROUGE,LA,70808,"5000 HENNESSY BLVD, BATON ROUGE, LA, 70808",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
4,260105__2023,260105,2023,SSM SAINT LOUIS UNIVERSITY HOSPITAL,1201 SOUTH GRAND BLVD,ST. LOUIS,MO,63104,"1201 SOUTH GRAND BLVD, ST. LOUIS, MO, 63104",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
5,290041__2023,290041,2023,SUMMERLIN HOSPITAL MEDICAL CENTER,657 TOWN CENTER DRIVE,LAS VEGAS,NV,89114,"657 TOWN CENTER DRIVE, LAS VEGAS, NV, 89114",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
6,370093__2024,370093,2024,OU MEDICAL CENTER,1200 CHILDRENS AVE,OKLAHOMA CITY,OK,73104,"1200 CHILDRENS AVE, OKLAHOMA CITY, OK, 73104",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
7,450788__2024,450788,2024,CORPUS CHRISTI MEDICAL CENTER,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,TX,78412,"7101 SOUTH PADRE ISLAND DRIVE, CORPUS CHRISTI, TX, 78412",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
8,030115__2023,030115,2023,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,"9201 WEST THOMAS ROAD, PHOENIX, AZ, 85037",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.8983,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
9,210024__2024,210024,2024,MEDSTAR UNION MEMORIAL HOSPITAL,201 EAST UNIVERSITY PARKWAY,BALTIMORE,MD,21218,"201 EAST UNIVERSITY PARKWAY, BALTIMORE, MD, 21218",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.7847,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
10,450079__2024,450079,2024,BAYLOR S&W MEDICAL CENTER - IRVING,1901 NORTH MACARTHUR BLVD,IRVING,TX,75061,"1901 NORTH MACARTHUR BLVD, IRVING, TX, 75061",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.7249,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
