external_manual_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,street_address,city,state_abbr,zip5,geocoder_query,external_manual_lane,review_priority,review_issue,provider_volume_score,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
1,284003__2024,284003,2024,LINCOLN REGIONAL CENTER,FOLSOM & PROSPECTOR,LINCOLN,NE,68509,"FOLSOM & PROSPECTOR, LINCOLN, NE, 68509",weak_same_fips_census_context_manual_review,high,cms_county_blank,0.526,,,,,,,,,
2,370093__2024,370093,2024,OU MEDICAL CENTER,1200 CHILDRENS AVE,OKLAHOMA CITY,OK,73104,"1200 CHILDRENS AVE, OKLAHOMA CITY, OK, 73104",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,1.0,,,,,,,,,
3,290041__2023,290041,2023,SUMMERLIN HOSPITAL MEDICAL CENTER,657 TOWN CENTER DRIVE,LAS VEGAS,NV,89114,"657 TOWN CENTER DRIVE, LAS VEGAS, NV, 89114",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.9598,,,,,,,,,
4,370056__2024,370056,2024,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 W GORE,LAWTON,OK,73502,"3401 W GORE, LAWTON, OK, 73502",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.5705,,,,,,,,,
5,190054__2023,190054,2023,IBERIA MEDICAL CENTER,2315 W MAIN STREET,NEW IBERIA,LA,70562,"2315 W MAIN STREET, NEW IBERIA, LA, 70562",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.263,,,,,,,,,
6,474001__2023,474001,2023,BRATTLEBORO RETREAT,ANNA MARSH LANE,BRATTLEBORO,VT,05302,"ANNA MARSH LANE, BRATTLEBORO, VT, 05302",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.2235,,,,,,,,,
7,514009__2024,514009,2024,MILDRED MITCHELL-BATEMAN HOSPITAL,1530 NORWAY AVENUE,HUNTINGTON,WV,25706,"1530 NORWAY AVENUE, HUNTINGTON, WV, 25706",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.2175,,,,,,,,,
8,212002__2024,212002,2024,WESTERN MARYLAND HOSPITAL CENTER,1500 PENNSYLVANIA AVENUE,HAGERSTOWN,MD,21740,"1500 PENNSYLVANIA AVENUE, HAGERSTOWN, MD, 21740",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.1186,,,,,,,,,
9,190044__2023,190044,2023,ACADIA GENERAL HOSPITAL,190044,CROWLEY,LA,70526,"190044, CROWLEY, LA, 70526",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.1169,,,,,,,,,
10,670265__2024,670265,2024,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,1401 EAST TRINITY MILLS ROAD,CARROLLTON,TX,75007,"1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX, 75007",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.1047,,,,,,,,,
11,103052__2023,103052,2023,ENCOMPASS HEALTH REHABILITATION HOSP,11595 BURNT MILL ROAD,JACKSONVILLE,FL,32256,"11595 BURNT MILL ROAD, JACKSONVILLE, FL, 32256",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.0989,,,,,,,,,
12,054149__2024,054149,2024,WILLOW ROCK CENTER,22050 FAIRMONT DRIVE,SAN LEANDRO,CA,94578,"22050 FAIRMONT DRIVE, SAN LEANDRO, CA, 94578",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.0,,,,,,,,,
13,400061__2024,400061,2024,UNIVERSITY DISCTRICT HOSPITAL,BO. MONACILLO,SAN JUAN,PR,00922,"BO. MONACILLO, SAN JUAN, PR, 00922",same_city_unresolved_after_census_external_geocoder,medium,county_text_unmatched,0.4034,,,,,,,,,
14,400127__2024,400127,2024,ADMIN DE SERVICIOS MEDICOS DE PR,CENTRO MEDICO,SAN JUAN,PR,00922,"CENTRO MEDICO, SAN JUAN, PR, 00922",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.3933,,,,,,,,,
15,400015__2024,400015,2024,SAN JUAN MUNICIPAL HOSPITAL,RIO PIEDRAS STATION,SAN JUAN,PR,00928,"RIO PIEDRAS STATION, SAN JUAN, PR, 00928",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.2867,,,,,,,,,
16,400098__2023,400098,2023,HOSPITAL SAN FRANCISCO,DE DIEGO AVE. #371,RIO PIEDRAS,PR,00923,"DE DIEGO AVE. #371, RIO PIEDRAS, PR, 00923",same_city_unresolved_after_census_external_geocoder,medium,county_text_unmatched,0.2749,,,,,,,,,
17,400106__2023,400106,2023,HOSPITAL METROPOLITANO,21 #1785,RIO PIEDRAS,PR,00922,"21 #1785, RIO PIEDRAS, PR, 00922",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.261,,,,,,,,,
18,450874__2023,450874,2023,BAYLOR SURGICAL HOSPITAL LAS COLINAS,400 W I-635 SUITE 101,IRVING,TX,75063,"400 W I-635 SUITE 101, IRVING, TX, 75063",same_city_unresolved_after_census_external_geocoder,medium,county_text_unmatched,0.134,,,,,,,,,
