cms_provider_number,fiscal_year,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_source,acceptance_action,accepted_at,provider_name,state_abbr,city,zip5,street_address,suggested_fips,suggested_county_name,census_candidate_status,census_match_type,census_matched_address,census_candidate_score,same_city_review_action,acceptance_status,acceptance_issue,production_model_rank_or_dashboard_change
064024,2023,assign_county,08035,"Douglas County, Colorado",0.93,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 08005 was contradicted by exact Census geographies address match to Douglas County, Colorado (08035) for provider 064024 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,UHS OF DENVER INC,CO,LITTLETON,80130,8565 S POPLAR WAY,08005,"Arapahoe County, Colorado",same_city_census_conflicts_candidate,Exact,"8565 S POPLAR WAY, LITTLETON, CO, 80130",0.97,same_city_exact_census_conflict_correction_candidate,accepted,,False
363042,2024,assign_county,39041,"Delaware County, Ohio",0.93,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 39049 was contradicted by exact Census geographies address match to Delaware County, Ohio (39041) for provider 363042 fiscal year 2024. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,MOUNT CARMEL REHABILITATION HOSPITAL,OH,WESTERVILLE,43082,597 EXECUTIVE CAMPUS DRIVE,39049,"Franklin County, Ohio",same_city_census_conflicts_candidate,Exact,"597 EXECUTIVE CAMPUS DR, WESTERVILLE, OH, 43082",0.97,same_city_exact_census_conflict_correction_candidate,accepted,,False
063037,2023,assign_county,08059,"Jefferson County, Colorado",0.93,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 08001 was contradicted by exact Census geographies address match to Jefferson County, Colorado (08059) for provider 063037 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,PAM SPEC. HOSPITAL OF WESTMINSTER,CO,WESTMINSTER,80020,6500 WEST 104TH AVE,08001,"Adams County, Colorado",same_city_census_conflicts_candidate,Exact,"6500 W 104TH AVE, WESTMINSTER, CO, 80020",0.97,same_city_exact_census_conflict_correction_candidate,accepted,,False
491991,2023,assign_county,51510,"Alexandria city, Virginia",0.93,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 51059 was contradicted by exact Census geographies address match to Alexandria city, Virginia (51510) for provider 491991 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,LYNN HOUSE OF POTOMAC VALLEY INC.,VA,ALEXANDRIA,22304,4400 W BRADDOCK ROAD,51059,"Fairfax County, Virginia",same_city_census_conflicts_candidate,Exact,"4400 W BRADDOCK RD, ALEXANDRIA, VA, 22304",0.97,same_city_exact_census_conflict_correction_candidate,accepted,,False
020001,2023,assign_county,02020,"Anchorage Municipality, Alaska",0.84,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 02020 was contradicted by exact Census geographies address match to Anchorage Municipality, Alaska (02020) for provider 020001 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,PROVIDENCE ALASKA MEDICAL CENTER,AK,ANCHORAGE,99519,3200 PROVIDENCE DRIVE,02020,"Anchorage Municipality, Alaska",same_city_census_context_only,Non_Exact,"3200 PROVIDENCE DR, ANCHORAGE, AK, 99508",0.8,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
050069,2024,assign_county,06059,"Orange County, California",0.84,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 06059 was contradicted by exact Census geographies address match to Orange County, California (06059) for provider 050069 fiscal year 2024. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,ST. JOSEPH HOSPITAL OF ORANGE,CA,ORANGE,92863,1100 WEST STEWART DRIVE,06059,"Orange County, California",same_city_census_context_only,Non_Exact,"1100 W STEWART DR, ORANGE, CA, 92868",0.8,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
190176,2023,assign_county,22051,"Jefferson Parish, Louisiana",0.89,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 22051 was contradicted by exact Census geographies address match to Jefferson Parish, Louisiana (22051) for provider 190176 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,EAST JEFFERSON GENERAL HOSPIAL,LA,METAIRIE,70006,4200 HOUMA,22051,"Jefferson Parish, Louisiana",external_census_context_only,Non_Exact,"4200 HOUMA BLVD, METAIRIE, LA, 70006",0.88,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97,False
450431,2023,assign_county,48453,"Travis County, Texas",0.84,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 48453 was contradicted by exact Census geographies address match to Travis County, Texas (48453) for provider 450431 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,ST. DAVIDS MEDICAL CENTER,TX,AUSTIN,78765,919 EAST 32ND STREET,48453,"Travis County, Texas",same_city_census_context_only,Non_Exact,"919 E 32ND ST, AUSTIN, TX, 78705",0.8,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
100131,2023,assign_county,12086,"Miami-Dade County, Florida",0.89,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 12086 was contradicted by exact Census geographies address match to Miami-Dade County, Florida (12086) for provider 100131 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,HCA FLORIDA AVENTURA HOSPITAL,FL,MIAMI,33180,2801 NE 209TH ST AT BISCAYNE BLVD,12086,"Miami-Dade County, Florida",same_city_census_context_only,Non_Exact,"NE 209TH ST & BISCAYNE BLVD, MIAMI, FL, 33180",0.88,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97,False
100242,2024,assign_county,12005,"Bay County, Florida",0.84,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 12005 was contradicted by exact Census geographies address match to Bay County, Florida (12005) for provider 100242 fiscal year 2024. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,HCA FLORIDA GULF COAST HOSPITAL,FL,PANAMA CITY,32404,449 WEST 23RD STREET,12005,"Bay County, Florida",same_city_census_context_only,Non_Exact,"449 W 23RD ST, PANAMA CITY, FL, 32405",0.8,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
