cms_provider_number,fiscal_year,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_source,acceptance_action,accepted_at,same_city_review_rank,provider_name,state_abbr,street_address,city,zip5,suggested_fips,suggested_county_name,census_candidate_fips,census_candidate_county_name,census_match_type,census_matched_address,census_candidate_score,same_city_review_action,acceptance_policy,acceptance_status,acceptance_issue,production_model_rank_or_dashboard_change
020001,2023,assign_county,02020,"Anchorage Municipality, Alaska",0.84,"Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned Anchorage Municipality, Alaska (02020) for provider 020001 fiscal year 2023. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,1,PROVIDENCE ALASKA MEDICAL CENTER,AK,3200 PROVIDENCE DRIVE,ANCHORAGE,99519,02020,"Anchorage Municipality, Alaska",02020,"Anchorage Municipality, Alaska",Non_Exact,"3200 PROVIDENCE DR, ANCHORAGE, AK, 99508",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
050069,2024,assign_county,06059,"Orange County, California",0.84,"Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned Orange County, California (06059) for provider 050069 fiscal year 2024. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,2,ST. JOSEPH HOSPITAL OF ORANGE,CA,1100 WEST STEWART DRIVE,ORANGE,92863,06059,"Orange County, California",06059,"Orange County, California",Non_Exact,"1100 W STEWART DR, ORANGE, CA, 92868",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
450431,2023,assign_county,48453,"Travis County, Texas",0.84,"Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned Travis County, Texas (48453) for provider 450431 fiscal year 2023. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,3,ST. DAVIDS MEDICAL CENTER,TX,919 EAST 32ND STREET,AUSTIN,78765,48453,"Travis County, Texas",48453,"Travis County, Texas",Non_Exact,"919 E 32ND ST, AUSTIN, TX, 78705",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
100131,2023,assign_county,12086,"Miami-Dade County, Florida",0.89,"Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_intersection_zip_confirmed assigned Miami-Dade County, Florida (12086) for provider 100131 fiscal year 2023. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,4,HCA FLORIDA AVENTURA HOSPITAL,FL,2801 NE 209TH ST AT BISCAYNE BLVD,MIAMI,33180,12086,"Miami-Dade County, Florida",12086,"Miami-Dade County, Florida",Non_Exact,"NE 209TH ST & BISCAYNE BLVD, MIAMI, FL, 33180",0.88,operator_spot_check_census_context_same_fips,same_fips_intersection_zip_confirmed,accepted,,False
100242,2024,assign_county,12005,"Bay County, Florida",0.84,"Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned Bay County, Florida (12005) for provider 100242 fiscal year 2024. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,5,HCA FLORIDA GULF COAST HOSPITAL,FL,449 WEST 23RD STREET,PANAMA CITY,32404,12005,"Bay County, Florida",12005,"Bay County, Florida",Non_Exact,"449 W 23RD ST, PANAMA CITY, FL, 32405",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
284003,2024,assign_county,31109,"Lancaster County, Nebraska",0.84,"Accepted report-only institutional-anchor CMS provider same-city spot-check: held assigned Lancaster County, Nebraska (31109) for provider 284003 fiscal year 2024. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,6,LINCOLN REGIONAL CENTER,NE,FOLSOM & PROSPECTOR,LINCOLN,68509,31109,"Lancaster County, Nebraska",31109,"Lancaster County, Nebraska",Non_Exact,"S FOLSOM ST & W PROSPECTOR PL, LINCOLN, NE, 68522",0.75,operator_spot_check_census_context_same_fips,,held_or_rejected,same_fips_context_below_spotcheck_acceptance_policy,False
130018,2023,assign_county,16019,"Bonneville County, Idaho",0.84,"Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned Bonneville County, Idaho (16019) for provider 130018 fiscal year 2023. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,7,EASTERN IDAHO REGIONAL MEDICAL CENTE,ID,3100 CHANNING WAY,IDAHO FALLS,83403,16019,"Bonneville County, Idaho",16019,"Bonneville County, Idaho",Non_Exact,"3100 CHANNING WAY, IDAHO FALLS, ID, 83404",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
670082,2024,assign_county,48085,"Collin County, Texas",0.84,"Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned Collin County, Texas (48085) for provider 670082 fiscal year 2024. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,8,BAYLOR S&W MEDICAL CENTER - MCKINNEY,TX,5252 W UNIVERSITY DR,MCKINNEY,75021,48085,"Collin County, Texas",48085,"Collin County, Texas",Non_Exact,"5252 W UNIVERSITY DR, MCKINNEY, TX, 75071",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
334012,2024,assign_county,36007,"Broome County, New York",0.84,"Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned Broome County, New York (36007) for provider 334012 fiscal year 2024. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,9,GREATER BINGHAMTON H.C.,NY,425 ROBINSON ST,BINGHAMTON,13901,36007,"Broome County, New York",36007,"Broome County, New York",Non_Exact,"425 ROBINSON ST, BINGHAMTON, NY, 13904",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
050747,2023,assign_county,06059,"Orange County, California",0.84,"Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned Orange County, California (06059) for provider 050747 fiscal year 2023. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,10,SOUTH COAST GLOBAL MEDICAL CENTER,CA,2710 SOUTH BRISTOL STREET,SANTA ANA,82701,06059,"Orange County, California",06059,"Orange County, California",Non_Exact,"2710 S BRISTOL ST, SANTA ANA, CA, 92704",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
