diversity_rank,source_pool_rank,diversity_lane,balance_archetype,balance_archetype_score,fips,county,state_abbr,census_region,primary_archetype,primary_archetype_score,secondary_archetype,secondary_archetype_score,energy_commodity_high_caution,qa_status,qa_flags,export_priority_rank,export_priority_score,preboom_classifier_score,investable_residual_model_score,preboom_prior_momentum_rank_pct,emerging_market_depth_adequacy,wave3_net_support,total_population,short_thesis,structural_summary,support_narrative,brake_narrative,next_diligence_check
1,524,primary_archetype_slot,affordability spillover,72.88664646119211,48461,"Upton County, Texas",TX,South,affordability spillover,72.88664646119211,recovery/rebound market,68.85737890146896,False,unreviewed,,524,0.6622082973206569,0.8597308594744609,-0.07076561595478373,0.01814646791963707,0.15523039596607346,0.3210258552639097,3128.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 1.8%, inside the not-hot gate. Market-depth adequacy is low (0.155).",Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is strong (0.716); developability is strong (0.716); optionality is strong (0.671). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.716); developability is strong (0.716); optionality is strong (0.671),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
2,933,primary_archetype_slot,affordability spillover,53.75489315237268,48389,"Reeves County, Texas",TX,South,affordability spillover,53.75489315237268,amenity migration,53.271690651865306,False,unreviewed,,933,0.5460458081244598,0.44244895229928444,-0.14164592142923563,0.0009721322099805574,0.4685631681959753,0.2547448296622578,11956.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 0.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.469).",Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is strong (0.707); developability is strong (0.695). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.707); developability is strong (0.695),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
3,2,primary_archetype_slot,amenity migration,78.59419445918968,42031,"Clarion County, Pennsylvania",PA,Northeast,amenity migration,78.59419445918968,retirement migration,78.59419445918968,False,unreviewed,,2,0.9576058772687988,0.6118032550508549,0.07289087592496318,0.2375243033052495,0.881085089711573,0.2171597191795655,36855.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 23.8%, inside the not-hot gate. Market-depth adequacy is high (0.881).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.707); fragility/support balance is moderate (0.660); optionality is moderate (0.638). Brakes: constraint pressure is moderate (0.576).,Structural support: scarcity/amenity balance is strong (0.707); fragility/support balance is moderate (0.660); optionality is moderate (0.638),Structural brakes: constraint pressure is moderate (0.576),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
4,4,primary_archetype_slot,amenity migration,79.43168873527664,39087,"Lawrence County, Ohio",OH,Midwest,amenity migration,79.43168873527664,retirement migration,79.43168873527664,False,unreviewed,,4,0.955790838375108,0.5967492568782681,0.0652758443212466,0.38107582631237846,0.9567717436245275,0.1704154739379719,55829.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 38.1%, inside the not-hot gate. Market-depth adequacy is high (0.957).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.680); scarcity/amenity balance is strong (0.670); site-thesis support is moderate (0.631). Brakes: constraint pressure is moderate (0.565).,Structural support: optionality is strong (0.680); scarcity/amenity balance is strong (0.670); site-thesis support is moderate (0.631),Structural brakes: constraint pressure is moderate (0.565),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
5,5,primary_archetype_slot,amenity migration,73.66891096048498,42033,"Clearfield County, Pennsylvania",PA,Northeast,amenity migration,73.66891096048498,retirement migration,73.66891096048498,False,unreviewed,,5,0.9526145203111496,0.6963546423958137,0.06547665138202631,0.04115359688917693,0.8299693585813452,0.1950322113039113,78132.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 4.1%, inside the not-hot gate. Market-depth adequacy is high (0.830).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.697); optionality is moderate (0.635); fragility/support balance is moderate (0.613). Brakes: constraint pressure is moderate (0.552).,Structural support: scarcity/amenity balance is strong (0.697); optionality is moderate (0.635); fragility/support balance is moderate (0.613),Structural brakes: constraint pressure is moderate (0.552),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
6,8,primary_archetype_slot,amenity migration,80.87840622894349,42121,"Venango County, Pennsylvania",PA,Northeast,amenity migration,80.87840622894349,retirement migration,80.87840622894349,False,unreviewed,,8,0.9429127052722557,0.5264035178521966,0.05595763258770774,0.46014257939079717,0.9846990702029416,0.1634900329855637,49476.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 46.0%, inside the not-hot gate. Market-depth adequacy is high (0.985).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is moderate (0.667); fragility/support balance is moderate (0.639); optionality is moderate (0.624). Brakes: constraint pressure is moderate (0.600).,Structural support: scarcity/amenity balance is moderate (0.667); fragility/support balance is moderate (0.639); optionality is moderate (0.624),Structural brakes: constraint pressure is moderate (0.600),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
7,9,primary_archetype_slot,amenity migration,75.9074886195584,42047,"Elk County, Pennsylvania",PA,Northeast,amenity migration,75.9074886195584,retirement migration,75.9074886195584,False,unreviewed,,9,0.9384615384615386,0.7106955378164843,0.03369446834471019,0.2741412832145172,0.8553517350354872,0.2108944037257135,30124.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 27.4%, inside the not-hot gate. Market-depth adequacy is high (0.855).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.749); optionality is moderate (0.634); fragility/support balance is moderate (0.627). Brakes: constraint pressure is moderate (0.641).,Structural support: scarcity/amenity balance is strong (0.749); optionality is moderate (0.634); fragility/support balance is moderate (0.627),Structural brakes: constraint pressure is moderate (0.641),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
8,12,primary_archetype_slot,amenity migration,81.91573426296722,42097,"Northumberland County, Pennsylvania",PA,Northeast,amenity migration,81.91573426296722,retirement migration,81.91573426296722,False,unreviewed,,12,0.9246542783059637,0.550743378960796,0.07709475999135193,0.2427090084251458,0.8128246620345736,0.1289845661824599,90027.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 24.3%, inside the not-hot gate. Market-depth adequacy is high (0.813).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.694); optionality is moderate (0.657); fragility/support balance is moderate (0.626). Brakes: fragility pressure is moderate (0.557).,Structural support: scarcity/amenity balance is strong (0.694); optionality is moderate (0.657); fragility/support balance is moderate (0.626),Structural brakes: fragility pressure is moderate (0.557),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
9,14,primary_archetype_slot,amenity migration,70.66339626875886,13111,"Fannin County, Georgia",GA,South,amenity migration,70.66339626875886,retirement migration,70.66339626875886,False,unreviewed,,14,0.9228608470181503,0.4625671587653743,0.10492077011302237,0.19604666234607906,0.8645224542161983,0.169642895904289,25854.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 19.6%, inside the not-hot gate. Market-depth adequacy is high (0.865).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.783); optionality is strong (0.674); site-thesis support is moderate (0.651). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.783); optionality is strong (0.674); site-thesis support is moderate (0.651),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
10,17,primary_archetype_slot,amenity migration,80.39277068537436,54099,"Wayne County, West Virginia",WV,South,amenity migration,80.39277068537436,retirement migration,80.39277068537436,False,unreviewed,,17,0.9210458081244599,0.4981843185140421,0.04194816604949601,0.45366169799092676,0.8627789812819942,0.2104214455858495,37589.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 45.4%, inside the not-hot gate. Market-depth adequacy is high (0.863).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.696); scarcity/amenity balance is strong (0.693); fragility/support balance is moderate (0.630). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.696); scarcity/amenity balance is strong (0.693); fragility/support balance is moderate (0.630),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
