display_guarded_residual_rank,current_residual_rank,fips,county,state_abbr,investable_residual_model_score,preboom_classifier_score,total_population,emerging_market_depth_adequacy,wave3_net_support,preboom_prior_momentum_rank_pct,short_thesis,structural_summary
1,1.0,16013,"Blaine County, Idaho",ID,0.16769777982292364,0.43788584113811546,25261.0,0.8820062187108225,0.2427670979635803,0.4118600129617628,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 41.2%, inside the not-hot gate. Market-depth adequacy is high (0.882).",Wave 3 support is strong; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.778); optionality is strong (0.696); site-thesis support is strong (0.678). Brakes: no major structural brakes flagged.
2,2.0,42021,"Cambria County, Pennsylvania",PA,0.13399939265908967,0.7489723701278652,130108.0,0.7232553927732912,0.2175746866884713,0.027219701879455604,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 2.7%, inside the not-hot gate. Market-depth adequacy is high (0.723).",Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is strong (0.670); scarcity/amenity balance is moderate (0.648); optionality is moderate (0.629). Brakes: no major structural brakes flagged.
3,3.0,49051,"Wasatch County, Utah",UT,0.12230758698211594,0.2871854387179924,37858.0,0.9911226973974948,0.2444165878358268,0.3891769280622165,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 38.9%, inside the not-hot gate. Market-depth adequacy is high (0.991).",Wave 3 support is strong; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.845); fragility/support balance is strong (0.711); optionality is strong (0.693). Brakes: no major structural brakes flagged.
4,4.0,15001,"Hawaii County, Hawaii",HI,0.11862328280612894,0.13093600219592072,209790.0,0.6451353143769976,-0.0799222650257539,0.6082307193778353,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 60.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.645).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.834); optionality is moderate (0.610). Brakes: constraint pressure is heavy (0.690); fragility pressure is heavy (0.679); constraint complexity is moderate (0.667).
5,5.0,47155,"Sevier County, Tennessee",TN,0.11450451659689465,0.47549005969819164,100184.0,0.7173491576175486,0.0121139803150394,0.2592352559948153,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 25.9%, inside the not-hot gate. Market-depth adequacy is high (0.717).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.710); optionality is moderate (0.635). Brakes: constraint pressure is moderate (0.616); fragility pressure is moderate (0.605); constraint complexity is moderate (0.599).
6,6.0,13111,"Fannin County, Georgia",GA,0.10492077011302237,0.4625671587653743,25854.0,0.8645224542161983,0.169642895904289,0.19604666234607906,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 19.6%, inside the not-hot gate. Market-depth adequacy is high (0.865).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.783); optionality is strong (0.674); site-thesis support is moderate (0.651). Brakes: no major structural brakes flagged.
7,10.0,37083,"Halifax County, North Carolina",NC,0.08524911617444843,0.36535249380811596,46992.0,0.9907049784879028,-0.1476134558966139,0.5463383020090732,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 54.6%, inside the not-hot gate. Market-depth adequacy is high (0.991).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: wetlands constraint is heavy (0.676); constraint pressure is moderate (0.571); constraint complexity is moderate (0.564).
8,12.0,36005,"Bronx County, New York",NY,0.08324619715377789,0.6565326175685305,1384724.0,0.5226789064034656,0.1960292613429747,0.03240440699935191,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 3.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.523).",Wave 3 support is strong; structural brakes are moderate. Supports: site-thesis support is strong (0.736); scarcity/amenity balance is strong (0.735); fragility/support balance is strong (0.722). Brakes: wetlands constraint is moderate (0.604).
9,13.0,24001,"Allegany County, Maryland",MD,0.08274581667492621,0.6016044434441595,67097.0,0.8820301887480312,0.1435444898070478,0.339598185353208,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 34.0%, inside the not-hot gate. Market-depth adequacy is high (0.882).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.616). Brakes: no major structural brakes flagged.
10,14.0,50015,"Lamoille County, Vermont",VT,0.08248798885485613,0.4778833907137474,26248.0,0.8758815164371483,0.0116142810719008,0.313350615683733,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 31.3%, inside the not-hot gate. Market-depth adequacy is high (0.876).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: constraint pressure is heavy (0.720); wetlands constraint is moderate (0.568).
