export_priority_rank,fips,county,state_abbr,export_priority_score,preboom_classifier_score,breakout_probability_rank,breakout_probability_rank_pct,investable_residual_model_score,residual_model_score,residual_upside_rank,residual_upside_rank_pct,preboom_prior_momentum_rank_pct,emerging_market_depth_adequacy,wave3_net_support,wave3_support_score,wave3_brake_score,short_thesis,structural_summary,support_narrative,brake_narrative,next_diligence_check
1,35005,"Chaves County, New Mexico",NM,0.9661624891961971,0.6477902509788129,39,0.9835782195332757,0.050145571825169453,0.051955338852965306,81,0.9654278305963699,0.09202851587815943,0.9129171771491311,0.3327727551676472,0.676208407974734,0.3434356528070867,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 9.2%, inside the not-hot gate. Market-depth adequacy is high (0.913).",Wave 3 support is strong; structural brakes are light. Supports: optionality is strong (0.731); fragility/support balance is strong (0.718); site-thesis support is strong (0.715). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.731); fragility/support balance is strong (0.718); site-thesis support is strong (0.715),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
2,42031,"Clarion County, Pennsylvania",PA,0.9576058772687988,0.6118032550508549,54,0.9770959377700951,0.07289087592496318,0.07653115405232394,28,0.9883318928262749,0.2375243033052495,0.881085089711573,0.2171597191795655,0.6247223033213855,0.4075625841418199,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 23.8%, inside the not-hot gate. Market-depth adequacy is high (0.881).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.707); fragility/support balance is moderate (0.660); optionality is moderate (0.638). Brakes: constraint pressure is moderate (0.576).,Structural support: scarcity/amenity balance is strong (0.707); fragility/support balance is moderate (0.660); optionality is moderate (0.638),Structural brakes: constraint pressure is moderate (0.576),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
3,42083,"McKean County, Pennsylvania",PA,0.9563094209161624,0.6764076678438742,29,0.9878997407087294,0.08152082970254258,0.08504066338434606,15,0.9939498703543648,0.1743357096565133,0.8965249816462688,0.1575542554258862,0.6046209649705356,0.4470667095446494,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 17.4%, inside the not-hot gate. Market-depth adequacy is high (0.897).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.672); optionality is moderate (0.636); fragility/support balance is moderate (0.603). Brakes: constraint pressure is moderate (0.617).,Structural support: scarcity/amenity balance is strong (0.672); optionality is moderate (0.636); fragility/support balance is moderate (0.603),Structural brakes: constraint pressure is moderate (0.617),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
4,39087,"Lawrence County, Ohio",OH,0.955790838375108,0.5967492568782681,62,0.973638720829732,0.0652758443212466,0.06642440887176576,40,0.9831460674157303,0.38107582631237846,0.9567717436245275,0.1704154739379719,0.6205060646741473,0.4500905907361753,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 38.1%, inside the not-hot gate. Market-depth adequacy is high (0.957).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.680); scarcity/amenity balance is strong (0.670); site-thesis support is moderate (0.631). Brakes: constraint pressure is moderate (0.565).,Structural support: optionality is strong (0.680); scarcity/amenity balance is strong (0.670); site-thesis support is moderate (0.631),Structural brakes: constraint pressure is moderate (0.565),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
5,42033,"Clearfield County, Pennsylvania",PA,0.9526145203111496,0.6963546423958137,22,0.9909248055315472,0.06547665138202631,0.07025484170089392,39,0.9835782195332757,0.04115359688917693,0.8299693585813452,0.1950322113039113,0.6136526156965855,0.4186204043926741,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 4.1%, inside the not-hot gate. Market-depth adequacy is high (0.830).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.697); optionality is moderate (0.635); fragility/support balance is moderate (0.613). Brakes: constraint pressure is moderate (0.552).,Structural support: scarcity/amenity balance is strong (0.697); optionality is moderate (0.635); fragility/support balance is moderate (0.613),Structural brakes: constraint pressure is moderate (0.552),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
6,42021,"Cambria County, Pennsylvania",PA,0.9502160760587727,0.7489723701278652,8,0.9969749351771824,0.13399939265908967,0.15067926192224218,2,0.9995678478824547,0.027219701879455604,0.7232553927732912,0.2175746866884713,0.6137906816508953,0.396215994962424,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 2.7%, inside the not-hot gate. Market-depth adequacy is high (0.723).",Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is strong (0.670); scarcity/amenity balance is moderate (0.648); optionality is moderate (0.629). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.670); scarcity/amenity balance is moderate (0.648); optionality is moderate (0.629),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
7,24001,"Allegany County, Maryland",MD,0.9460458081244598,0.6016044434441595,58,0.9753673292999135,0.08274581667492621,0.08684379512253003,13,0.9948141745894555,0.339598185353208,0.8820301887480312,0.1435444898070478,0.5574004098713068,0.413855920064259,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 34.0%, inside the not-hot gate. Market-depth adequacy is high (0.882).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.616). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.616),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
8,42121,"Venango County, Pennsylvania",PA,0.9429127052722557,0.5264035178521966,124,0.9468452895419187,0.05595763258770774,0.05630222313313913,68,0.9710458081244598,0.46014257939079717,0.9846990702029416,0.1634900329855637,0.6062904432655319,0.4428004102799682,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 46.0%, inside the not-hot gate. Market-depth adequacy is high (0.985).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is moderate (0.667); fragility/support balance is moderate (0.639); optionality is moderate (0.624). Brakes: constraint pressure is moderate (0.600).,Structural support: scarcity/amenity balance is moderate (0.667); fragility/support balance is moderate (0.639); optionality is moderate (0.624),Structural brakes: constraint pressure is moderate (0.600),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
9,42047,"Elk County, Pennsylvania",PA,0.9384615384615386,0.7106955378164843,17,0.993085566119274,0.03369446834471019,0.03576373312264816,169,0.9273984442523768,0.2741412832145172,0.8553517350354872,0.2108944037257135,0.6274003155039029,0.4165059117781893,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 27.4%, inside the not-hot gate. Market-depth adequacy is high (0.855).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.749); optionality is moderate (0.634); fragility/support balance is moderate (0.627). Brakes: constraint pressure is moderate (0.641).,Structural support: scarcity/amenity balance is strong (0.749); optionality is moderate (0.634); fragility/support balance is moderate (0.627),Structural brakes: constraint pressure is moderate (0.641),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
10,16013,"Blaine County, Idaho",ID,0.9292999135695764,0.43788584113811546,239,0.8971477960242005,0.16769777982292364,0.17600476701702755,1,1.0,0.4118600129617628,0.8820062187108225,0.2427670979635803,0.676201891856784,0.4334347938932036,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 41.2%, inside the not-hot gate. Market-depth adequacy is high (0.882).",Wave 3 support is strong; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.778); optionality is strong (0.696); site-thesis support is strong (0.678). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.778); optionality is strong (0.696); site-thesis support is strong (0.678),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
11,21089,"Greenup County, Kentucky",KY,0.9261668107173725,0.6070180189424511,57,0.975799481417459,0.046580234866292335,0.049331611407146196,96,0.9589455488331893,0.48152948801036943,0.8605672680066107,0.1234386357191276,0.5714041835529045,0.4479655478337768,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 48.2%, inside the not-hot gate. Market-depth adequacy is high (0.861).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.616); fragility/support balance is moderate (0.612). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.616); fragility/support balance is moderate (0.612),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
12,42097,"Northumberland County, Pennsylvania",PA,0.9246542783059637,0.550743378960796,98,0.9580812445980985,0.07709475999135193,0.08333398685260936,21,0.9913569576490925,0.2427090084251458,0.8128246620345736,0.1289845661824599,0.6180749465133374,0.4890903803308774,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 24.3%, inside the not-hot gate. Market-depth adequacy is high (0.813).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.694); optionality is moderate (0.657); fragility/support balance is moderate (0.626). Brakes: fragility pressure is moderate (0.557).,Structural support: scarcity/amenity balance is strong (0.694); optionality is moderate (0.657); fragility/support balance is moderate (0.626),Structural brakes: fragility pressure is moderate (0.557),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
13,39013,"Belmont County, Ohio",OH,0.9231417458945548,0.5909908151233977,69,0.9706136560069144,0.051864908299534086,0.05434155080266302,78,0.966724286949006,0.28548282566429034,0.8860612888964715,0.0915763569846039,0.537673404291151,0.446097047306547,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 28.5%, inside the not-hot gate. Market-depth adequacy is high (0.886).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.629). Brakes: constraint pressure is moderate (0.560).,Structural support: optionality is moderate (0.629),Structural brakes: constraint pressure is moderate (0.560),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
14,13111,"Fannin County, Georgia",GA,0.9228608470181503,0.4625671587653743,194,0.9165946413137425,0.10492077011302237,0.11093230466678095,6,0.9978392394122731,0.19604666234607906,0.8645224542161983,0.169642895904289,0.6421742177498014,0.4725313218455124,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 19.6%, inside the not-hot gate. Market-depth adequacy is high (0.865).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.783); optionality is strong (0.674); site-thesis support is moderate (0.651). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.783); optionality is strong (0.674); site-thesis support is moderate (0.651),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
