guarded_blend_rank,blend_rank,export_priority_rank,fips,county,state_abbr,census_region,qa_status,qa_flags,blend_score,preboom_classifier_score,classifier_rank_pct,investable_residual_model_score,residual_rank_pct,preboom_prior_momentum_rank_pct,emerging_market_depth_adequacy,wave3_net_support,overall_rank,total_population,short_thesis,structural_summary,support_narrative,brake_narrative
1,2,6,42021,"Cambria County, Pennsylvania",PA,Northeast,advance_with_notes,already_high_in_live_ranking,0.9972342264477096,0.7489723701278652,0.9969749351771824,0.13399939265908967,0.9995678478824547,0.027219701879455604,0.7232553927732912,0.2175746866884713,22,130108.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 2.7%, inside the not-hot gate. Market-depth adequacy is high (0.723).",Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is strong (0.670); scarcity/amenity balance is moderate (0.648); optionality is moderate (0.629). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.670); scarcity/amenity balance is moderate (0.648); optionality is moderate (0.629),Structural brakes: no major structural brakes flagged
2,7,5,42033,"Clearfield County, Pennsylvania",PA,Northeast,advance,,0.99019014693172,0.6963546423958137,0.9909248055315472,0.06547665138202631,0.9835782195332757,0.04115359688917693,0.8299693585813452,0.1950322113039113,1051,78132.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 4.1%, inside the not-hot gate. Market-depth adequacy is high (0.830).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.697); optionality is moderate (0.635); fragility/support balance is moderate (0.613). Brakes: constraint pressure is moderate (0.552).,Structural support: scarcity/amenity balance is strong (0.697); optionality is moderate (0.635); fragility/support balance is moderate (0.613),Structural brakes: constraint pressure is moderate (0.552)
3,8,15,24510,"Baltimore city, Maryland",MD,South,advance_with_notes,moderate_market_depth,0.9897579948141747,0.6904100114560183,0.9900605012964564,0.06978659042838646,0.9870354364736387,0.29261179520414776,0.5221202771354487,0.285614313956667,153,568271.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 29.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.522).",Wave 3 support is strong; structural brakes are light. Supports: fragility/support balance is strong (0.769); scarcity/amenity balance is strong (0.696); optionality is moderate (0.666). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.769); scarcity/amenity balance is strong (0.696); optionality is moderate (0.666),Structural brakes: no major structural brakes flagged
4,10,3,42083,"McKean County, Pennsylvania",PA,Northeast,advance_with_notes,small_market,0.9885047536732929,0.6764076678438742,0.9878997407087294,0.08152082970254258,0.9939498703543648,0.1743357096565133,0.8965249816462688,0.1575542554258862,218,39478.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 17.4%, inside the not-hot gate. Market-depth adequacy is high (0.897).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.672); optionality is moderate (0.636); fragility/support balance is moderate (0.603). Brakes: constraint pressure is moderate (0.617).,Structural support: scarcity/amenity balance is strong (0.672); optionality is moderate (0.636); fragility/support balance is moderate (0.603),Structural brakes: constraint pressure is moderate (0.617)
5,12,9,42047,"Elk County, Pennsylvania",PA,Northeast,advance_with_notes,small_market,0.9865168539325843,0.7106955378164843,0.993085566119274,0.03369446834471019,0.9273984442523768,0.2741412832145172,0.8553517350354872,0.2108944037257135,137,30124.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 27.4%, inside the not-hot gate. Market-depth adequacy is high (0.855).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.749); optionality is moderate (0.634); fragility/support balance is moderate (0.627). Brakes: constraint pressure is moderate (0.641).,Structural support: scarcity/amenity balance is strong (0.749); optionality is moderate (0.634); fragility/support balance is moderate (0.627),Structural brakes: constraint pressure is moderate (0.641)
6,13,24,36005,"Bronx County, New York",NY,Northeast,advance_with_notes,moderate_market_depth; labor_stress,0.98552290406223,0.6565326175685305,0.9844425237683665,0.08324619715377789,0.9952463267070009,0.03240440699935191,0.5226789064034656,0.1960292613429747,1877,1384724.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 3.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.523).",Wave 3 support is strong; structural brakes are moderate. Supports: site-thesis support is strong (0.736); scarcity/amenity balance is strong (0.735); fragility/support balance is strong (0.722). Brakes: wetlands constraint is moderate (0.604).,Structural support: site-thesis support is strong (0.736); scarcity/amenity balance is strong (0.735); fragility/support balance is strong (0.722),Structural brakes: wetlands constraint is moderate (0.604)
7,15,26,21195,"Pike County, Kentucky",KY,South,advance_with_notes,recent_population_decline; labor_stress,0.982713915298185,0.7097795854113551,0.9926534140017286,0.023317757632308637,0.8932584269662921,0.25826312378483474,0.9643794302306267,0.0648047601365439,847,55430.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 25.8%, inside the not-hot gate. Market-depth adequacy is high (0.964).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: no major structural brakes flagged.,Structural support: no major structural supports flagged,Structural brakes: no major structural brakes flagged
8,16,1,35005,"Chaves County, New Mexico",NM,West,advance,,0.9817631806395851,0.6477902509788129,0.9835782195332757,0.050145571825169453,0.9654278305963699,0.09202851587815943,0.9129171771491311,0.3327727551676472,874,63697.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 9.2%, inside the not-hot gate. Market-depth adequacy is high (0.913).",Wave 3 support is strong; structural brakes are light. Supports: optionality is strong (0.731); fragility/support balance is strong (0.718); site-thesis support is strong (0.715). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.731); fragility/support balance is strong (0.718); site-thesis support is strong (0.715),Structural brakes: no major structural brakes flagged
9,18,49,16019,"Bonneville County, Idaho",ID,West,advance_with_notes,moderate_market_depth,0.9806395851339671,0.6625842000382623,0.9857389801210026,0.03599021002129792,0.9347450302506483,0.13836681788723265,0.696662733952822,0.0599250429343566,2174,133644.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 13.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.697).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.789); optionality is moderate (0.659); site-thesis support is moderate (0.642). Brakes: fragility pressure is moderate (0.595); constraint complexity is moderate (0.566); constraint pressure is moderate (0.555).,Structural support: scarcity/amenity balance is strong (0.789); optionality is moderate (0.659); site-thesis support is moderate (0.642),Structural brakes: fragility pressure is moderate (0.595); constraint complexity is moderate (0.566); constraint pressure is moderate (0.555)
10,20,19,55043,"Grant County, Wisconsin",WI,Midwest,advance,,0.9794727744165945,0.666838743306634,0.9870354364736387,0.02720804079775037,0.9114088159031979,0.5521710952689566,0.977524513772997,0.0651473722051872,236,52330.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 55.2%, inside the not-hot gate. Market-depth adequacy is high (0.978).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.608). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.608),Structural brakes: no major structural brakes flagged
