blend_rank,export_priority_rank,fips,county,state_abbr,census_region,qa_status,qa_flags,blend_score,preboom_classifier_score,classifier_rank_pct,investable_residual_model_score,residual_rank_pct,preboom_prior_momentum_rank_pct,emerging_market_depth_adequacy,wave3_net_support,overall_rank,total_population,short_thesis,structural_summary,support_narrative,brake_narrative
1,163,29041,"Chariton County, Missouri",MO,Midwest,review,very_small_market; thin_market_depth; negative_wave3_net_support; low_structural_support; heavy_structural_brakes,0.9986603284356094,0.8441795656641439,0.9995678478824547,0.07495652875921947,0.9904926534140017,0.0003240440699935191,0.2718548832971167,-0.264828970211891,1765,7397.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 0.0%, inside the not-hot gate. Market-depth adequacy is low (0.272).",Wave 3 support is thin; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: constraint pressure is heavy (0.679); wetlands constraint is moderate (0.651); constraint complexity is moderate (0.635).,Structural support: no major structural supports flagged,Structural brakes: constraint pressure is heavy (0.679); wetlands constraint is moderate (0.651); constraint complexity is moderate (0.635)
2,6,42021,"Cambria County, Pennsylvania",PA,Northeast,advance_with_notes,already_high_in_live_ranking,0.9972342264477096,0.7489723701278652,0.9969749351771824,0.13399939265908967,0.9995678478824547,0.027219701879455604,0.7232553927732912,0.2175746866884713,22,130108.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 2.7%, inside the not-hot gate. Market-depth adequacy is high (0.723).",Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is strong (0.670); scarcity/amenity balance is moderate (0.648); optionality is moderate (0.629). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.670); scarcity/amenity balance is moderate (0.648); optionality is moderate (0.629),Structural brakes: no major structural brakes flagged
3,37,22101,"St. Mary Parish, Louisiana",LA,South,review,small_market; negative_wave3_net_support; heavy_structural_brakes; recent_population_decline,0.9958513396715644,0.7407139231592521,0.996542783059637,0.07383222570206456,0.989628349178911,0.12410887880751782,0.9765860629757497,-0.2814415363563649,2143,46799.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 12.4%, inside the not-hot gate. Market-depth adequacy is high (0.977).",Wave 3 support is moderate; structural brakes are heavy. Supports: scarcity/amenity balance is moderate (0.641). Brakes: wetlands constraint is heavy (0.978); fragility pressure is heavy (0.773); constraint complexity is moderate (0.647).,Structural support: scarcity/amenity balance is moderate (0.641),Structural brakes: wetlands constraint is heavy (0.978); fragility pressure is heavy (0.773); constraint complexity is moderate (0.647)
4,23,30057,"Madison County, Montana",MT,West,review,very_small_market; moderate_market_depth,0.9949006050129645,0.7363788594560627,0.9956784788245462,0.07257671652648563,0.9878997407087294,0.3486714193130266,0.46623350573372946,0.2360052381177041,1244,9753.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 34.9%, inside the not-hot gate. Market-depth adequacy is moderate (0.466).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.681); fragility/support balance is strong (0.675); scarcity/amenity balance is strong (0.673). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.681); fragility/support balance is strong (0.675); scarcity/amenity balance is strong (0.673),Structural brakes: no major structural brakes flagged
5,130,37015,"Bertie County, North Carolina",NC,South,review,very_small_market; moderate_market_depth; negative_wave3_net_support; low_structural_support; heavy_structural_brakes,0.9930423509075194,0.7120255678955073,0.9935177182368193,0.07328839513622078,0.9887640449438202,0.1762799740764744,0.5373150948593743,-0.3526148901979442,359,16939.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 17.6%, inside the not-hot gate. Market-depth adequacy is moderate (0.537).",Wave 3 support is moderate; structural brakes are heavy. Supports: no major structural supports flagged. Brakes: wetlands constraint is heavy (0.933); fragility pressure is heavy (0.774); constraint complexity is heavy (0.696).,Structural support: no major structural supports flagged,Structural brakes: wetlands constraint is heavy (0.933); fragility pressure is heavy (0.774); constraint complexity is heavy (0.696)
6,52,21131,"Leslie County, Kentucky",KY,South,review,very_small_market; thin_market_depth; recent_population_decline; labor_stress,0.9911840968020743,0.7550838152615702,0.9974070872947277,0.03622421670102125,0.9351771823681936,0.5320803629293583,0.28250285037787837,0.2603492423024856,1329,9729.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 53.2%, inside the not-hot gate. Market-depth adequacy is low (0.283).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.751); optionality is strong (0.706); site-thesis support is moderate (0.658). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.751); optionality is strong (0.706); site-thesis support is moderate (0.658),Structural brakes: no major structural brakes flagged
7,5,42033,"Clearfield County, Pennsylvania",PA,Northeast,advance,,0.99019014693172,0.6963546423958137,0.9909248055315472,0.06547665138202631,0.9835782195332757,0.04115359688917693,0.8299693585813452,0.1950322113039113,1051,78132.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 4.1%, inside the not-hot gate. Market-depth adequacy is high (0.830).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.697); optionality is moderate (0.635); fragility/support balance is moderate (0.613). Brakes: constraint pressure is moderate (0.552).,Structural support: scarcity/amenity balance is strong (0.697); optionality is moderate (0.635); fragility/support balance is moderate (0.613),Structural brakes: constraint pressure is moderate (0.552)
8,15,24510,"Baltimore city, Maryland",MD,South,advance_with_notes,moderate_market_depth,0.9897579948141747,0.6904100114560183,0.9900605012964564,0.06978659042838646,0.9870354364736387,0.29261179520414776,0.5221202771354487,0.285614313956667,153,568271.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 29.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.522).",Wave 3 support is strong; structural brakes are light. Supports: fragility/support balance is strong (0.769); scarcity/amenity balance is strong (0.696); optionality is moderate (0.666). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.769); scarcity/amenity balance is strong (0.696); optionality is moderate (0.666),Structural brakes: no major structural brakes flagged
9,83,42023,"Cameron County, Pennsylvania",PA,Northeast,review,very_small_market; thin_market_depth; recent_population_decline,0.9893258426966293,0.8119996997521174,0.9987035436473639,0.025445839799444824,0.9049265341400173,0.005508749189889825,0.1758695915825217,0.2099850106772645,1334,4348.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 0.6%, inside the not-hot gate. Market-depth adequacy is low (0.176).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.726); optionality is moderate (0.660); site-thesis support is moderate (0.633). Brakes: constraint pressure is moderate (0.619).,Structural support: scarcity/amenity balance is strong (0.726); optionality is moderate (0.660); site-thesis support is moderate (0.633),Structural brakes: constraint pressure is moderate (0.619)
10,3,42083,"McKean County, Pennsylvania",PA,Northeast,advance_with_notes,small_market,0.9885047536732929,0.6764076678438742,0.9878997407087294,0.08152082970254258,0.9939498703543648,0.1743357096565133,0.8965249816462688,0.1575542554258862,218,39478.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 17.4%, inside the not-hot gate. Market-depth adequacy is high (0.897).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.672); optionality is moderate (0.636); fragility/support balance is moderate (0.603). Brakes: constraint pressure is moderate (0.617).,Structural support: scarcity/amenity balance is strong (0.672); optionality is moderate (0.636); fragility/support balance is moderate (0.603),Structural brakes: constraint pressure is moderate (0.617)
