fips,year,state_abbr,s2_state_rank_pct,s2_mom_rank_pct,s2_score,quiet,universe_B,has_feb_price,s2_eligible,s2_rank_quiet_B,s2_quintile_quiet_B,s2_pct_quiet_B,s2_as_of
01001,2025,AL,0.28013029315960913,0.6069684141973298,0.4435493536784695,True,True,True,True,732.0,2.0,0.624935864545921,2026-02-28
01003,2025,AL,0.28013029315960913,0.2878541191794204,0.28399220616951476,True,True,True,True,1248.0,4.0,0.36018471010774755,2026-02-28
01005,2025,AL,0.28013029315960913,0.11396939107782482,0.19704984211871698,True,True,True,True,1492.0,4.0,0.23499230374551053,2026-02-28
01007,2025,AL,0.28013029315960913,0.16183653533051123,0.22098341424506018,True,True,True,True,1419.0,4.0,0.27244740892765523,2026-02-28
01009,2025,AL,0.28013029315960913,0.2637577336372517,0.27194401339843044,True,True,True,True,1275.0,4.0,0.34633145202668036,2026-02-28
01011,2025,AL,0.28013029315960913,0.29794855096059913,0.28903942206010413,True,True,True,True,1236.0,4.0,0.366341713699333,2026-02-28
01013,2025,AL,0.28013029315960913,0.1126668837512211,0.1963985884554151,True,True,True,True,1494.0,4.0,0.23396613648024628,2026-02-28
01015,2025,AL,0.28013029315960913,0.40833604689026376,0.3442331700249365,True,True,True,True,1059.0,3.0,0.45715751667521803,2026-02-28
01017,2025,AL,0.28013029315960913,0.3901009443178118,0.33511561873871043,True,True,True,True,1096.0,3.0,0.4381734222678297,2026-02-28
01019,2025,AL,0.28013029315960913,0.3428850537284272,0.3115076734440182,True,True,True,True,1169.0,3.0,0.40071831708568495,2026-02-28
01021,2025,AL,0.28013029315960913,0.3181374145229567,0.2991338538412829,True,True,True,True,1208.0,4.0,0.3807080554130323,2026-02-28
01023,2025,AL,0.28013029315960913,0.053728427222403126,0.16692936019100613,True,True,True,True,1580.0,5.0,0.18984094407388405,2026-02-28
01025,2025,AL,0.28013029315960913,0.04493650276782807,0.1625333979637186,True,True,True,True,1598.0,5.0,0.1806054386865059,2026-02-28
01027,2025,AL,0.28013029315960913,0.7027027027027027,0.49141649793115594,False,True,True,False,,,,2026-02-28
01029,2025,AL,0.28013029315960913,0.5698469553891241,0.4249886242743666,True,True,True,True,800.0,3.0,0.5900461775269369,2026-02-28
01031,2025,AL,0.28013029315960913,0.497557798762618,0.38884404596111355,True,True,True,True,921.0,3.0,0.5279630579784504,2026-02-28
01033,2025,AL,0.28013029315960913,0.6392054705307717,0.4596678818451904,True,True,True,True,680.0,2.0,0.6516162134427912,2026-02-28
01035,2025,AL,0.28013029315960913,0.14164767176815368,0.2108889824638814,True,True,True,True,1459.0,4.0,0.25192406362237046,2026-02-28
