batch_id,queue_row_id,attempt_label,census_street,census_city,census_state,census_zip,repair_notes,address_key,entity_name,primary_ticker,filing_date,filing_accession,geocode_review_reason,current_snapshot_fips,current_snapshot_county_name
sec_pit_0006__001,sec_pit_0006,parsed_original,1479 North Clinton Avenue,Bay Shore,NY,11706,,1479 NORTH CLINTON AVENUE|BAY SHORE|NY|11706,AIR INDUSTRIES GROUP,AIRI,2008-04-14,0001193805-08-001100,,36103,Suffolk County
sec_pit_0006__002,sec_pit_0006,snapshot_street_after_parser_repair,1460 FIFTH AVENUE,Bay Shore,NY,11706,snapshot_street_check,1479 NORTH CLINTON AVENUE|BAY SHORE|NY|11706,AIR INDUSTRIES GROUP,AIRI,2008-04-14,0001193805-08-001100,,36103,Suffolk County
sec_pit_0007__003,sec_pit_0007,parsed_original,1479 North Clinton Avenue,Bay Shore,NY,11706,,1479 NORTH CLINTON AVENUE|BAY SHORE|NY|11706,AIR INDUSTRIES GROUP,AIRI,2008-04-17,0001193805-08-001135,,36103,Suffolk County
sec_pit_0007__004,sec_pit_0007,snapshot_street_after_parser_repair,1460 FIFTH AVENUE,Bay Shore,NY,11706,snapshot_street_check,1479 NORTH CLINTON AVENUE|BAY SHORE|NY|11706,AIR INDUSTRIES GROUP,AIRI,2008-04-17,0001193805-08-001135,,36103,Suffolk County
sec_pit_0231__005,sec_pit_0231,parsed_original,36743 Apple Inc. California 94-2404110 1 Infinite Loop,Cupertino,CA,95014,,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014,Apple Inc.,AAPL,2015-07-22,0001193125-15-259935,,06085,Santa Clara County
sec_pit_0231__006,sec_pit_0231,parser_repair,1 Infinite Loop,Cupertino,CA,95014,,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014,Apple Inc.,AAPL,2015-07-22,0001193125-15-259935,,06085,Santa Clara County
sec_pit_0231__007,sec_pit_0231,snapshot_street_after_parser_repair,ONE APPLE PARK WAY,Cupertino,CA,95014,snapshot_street_check,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014,Apple Inc.,AAPL,2015-07-22,0001193125-15-259935,,06085,Santa Clara County
sec_pit_0032__008,sec_pit_0032,parsed_original,36743 Apple Inc. California 94-2404110 1 Infinite Loop,Cupertino,CA,95014,,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014,Apple Inc.,AAPL,2015-10-28,0001193125-15-356351,,06085,Santa Clara County
sec_pit_0032__009,sec_pit_0032,parser_repair,1 Infinite Loop,Cupertino,CA,95014,,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014,Apple Inc.,AAPL,2015-10-28,0001193125-15-356351,,06085,Santa Clara County
sec_pit_0032__010,sec_pit_0032,snapshot_street_after_parser_repair,ONE APPLE PARK WAY,Cupertino,CA,95014,snapshot_street_check,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014,Apple Inc.,AAPL,2015-10-28,0001193125-15-356351,,06085,Santa Clara County
sec_pit_0036__011,sec_pit_0036,parsed_original,"Four Gatehall Drive, Suite 110",Parsippany,NJ,07054,,"FOUR GATEHALL DRIVE, SUITE 110|PARSIPPANY|NJ|07054","B&G Foods, Inc.",BGS,2006-03-07,0001104659-06-014414,,34027,Morris County
sec_pit_0036__012,sec_pit_0036,suite_stripped_parser_repair,Four Gatehall Drive,Parsippany,NJ,07054,suite_stripped,"FOUR GATEHALL DRIVE, SUITE 110|PARSIPPANY|NJ|07054","B&G Foods, Inc.",BGS,2006-03-07,0001104659-06-014414,,34027,Morris County
sec_pit_0036__013,sec_pit_0036,snapshot_street_after_parser_repair,8 SYLVAN WAY,Parsippany,NJ,07054,snapshot_street_check,"FOUR GATEHALL DRIVE, SUITE 110|PARSIPPANY|NJ|07054","B&G Foods, Inc.",BGS,2006-03-07,0001104659-06-014414,,34027,Morris County
sec_pit_0037__014,sec_pit_0037,parsed_original,"Four Gatehall Drive, Suite 110",Parsippany,NJ,07054,,"FOUR GATEHALL DRIVE, SUITE 110|PARSIPPANY|NJ|07054","B&G Foods, Inc.",BGS,2007-03-08,0001104659-07-017413,,34027,Morris County
sec_pit_0037__015,sec_pit_0037,suite_stripped_parser_repair,Four Gatehall Drive,Parsippany,NJ,07054,suite_stripped,"FOUR GATEHALL DRIVE, SUITE 110|PARSIPPANY|NJ|07054","B&G Foods, Inc.",BGS,2007-03-08,0001104659-07-017413,,34027,Morris County
