sec_pit_0006__001,1479 North Clinton Avenue,Bay Shore,NY,11706
sec_pit_0006__002,1460 FIFTH AVENUE,Bay Shore,NY,11706
sec_pit_0007__003,1479 North Clinton Avenue,Bay Shore,NY,11706
sec_pit_0007__004,1460 FIFTH AVENUE,Bay Shore,NY,11706
sec_pit_0231__005,36743 Apple Inc. California 94-2404110 1 Infinite Loop,Cupertino,CA,95014
sec_pit_0231__006,1 Infinite Loop,Cupertino,CA,95014
sec_pit_0231__007,ONE APPLE PARK WAY,Cupertino,CA,95014
sec_pit_0032__008,36743 Apple Inc. California 94-2404110 1 Infinite Loop,Cupertino,CA,95014
sec_pit_0032__009,1 Infinite Loop,Cupertino,CA,95014
sec_pit_0032__010,ONE APPLE PARK WAY,Cupertino,CA,95014
sec_pit_0036__011,"Four Gatehall Drive, Suite 110",Parsippany,NJ,07054
sec_pit_0036__012,Four Gatehall Drive,Parsippany,NJ,07054
sec_pit_0036__013,8 SYLVAN WAY,Parsippany,NJ,07054
sec_pit_0037__014,"Four Gatehall Drive, Suite 110",Parsippany,NJ,07054
sec_pit_0037__015,Four Gatehall Drive,Parsippany,NJ,07054
sec_pit_0037__016,8 SYLVAN WAY,Parsippany,NJ,07054
sec_pit_0237__017,8 th Floor,Los Angeles,CA,90025
sec_pit_0237__018,"12100 WILSHIRE BOULEVARD, 8TH FLOOR",Los Angeles,CA,90025
sec_pit_0285__019,"700 Milam Street, Suite 800",Houston,TX,77002
sec_pit_0285__020,700 Milam Street,Houston,TX,77002
sec_pit_0285__021,845 TEXAS AVENUE SUITE 1250,Houston,TX,77002
sec_pit_0090__022,"700 Milam Street, Suite 800",Houston,TX,77002
sec_pit_0090__023,700 Milam Street,Houston,TX,77002
sec_pit_0090__024,845 TEXAS AVENUE SUITE 1250,Houston,TX,77002
sec_pit_0287__025,"700 Milam Street, Suite 1900",Houston,TX,77002
sec_pit_0287__026,700 Milam Street,Houston,TX,77002
sec_pit_0287__027,845 TEXAS AVENUE SUITE 1250,Houston,TX,77002
sec_pit_0092__028,"700 Milam Street, Suite 1900",Houston,TX,77002
sec_pit_0092__029,700 Milam Street,Houston,TX,77002
sec_pit_0092__030,845 TEXAS AVENUE SUITE 1250,Houston,TX,77002
sec_pit_0300__031,804 Carnegie Center,Princeton,NJ,08540
sec_pit_0300__032,"300 CARNEGIE CENTER, SUITE 300",Princeton,NJ,08540
sec_pit_0103__033,804 Carnegie Center,Princeton,NJ,08540
sec_pit_0103__034,"300 CARNEGIE CENTER, SUITE 300",Princeton,NJ,08540
sec_pit_0315__035,"5424 DELTA AIR LINES, INC. Delaware 58-0218548 1030 Delta Boulevard",Atlanta,GA,30354
sec_pit_0315__036,1030 Delta Boulevard,Atlanta,GA,30354
sec_pit_0315__037,HARTSFIELD-JACKSON ATLANTA INTL AIRPORT 1030 DELTA BOULEVARD,Atlanta,GA,30354
sec_pit_0124__038,"37591 DOMINION ENERGY GAS HOLDINGS, LLC 46-3639580 VIRGINIA 120 TREDEGAR STREET",RICHMOND,VA,23219
sec_pit_0124__039,120 TREDEGAR STREET,RICHMOND,VA,23219
sec_pit_0124__040,600 EAST CANAL STREET,RICHMOND,VA,23219
sec_pit_0131__041,"5 th Avenue , Second Floor , Suite 2821",New York,NY,10001
sec_pit_0131__042,"5 th Avenue , Second Floor",New York,NY,10001
sec_pit_0131__043,"244 5TH AVENUE 2ND FL., SUITE 2821",New York,NY,10001
sec_pit_0326__044,"2 nd Fl, 2821",New York,NY,10001
sec_pit_0326__045,2821,New York,NY,10001
sec_pit_0326__046,"244 5TH AVENUE 2ND FL., SUITE 2821",New York,NY,10001
sec_pit_0140__047,550 South Tryon Street,Charlotte,NC,28202
sec_pit_0140__048,525 SOUTH TRYON STREET,Charlotte,NC,28202
sec_pit_0379__049,43059 Delaware 39-3560171 8285 Tournament Drive,Memphis,TN,38125
sec_pit_0379__050,8285 Tournament Drive,Memphis,TN,38125
sec_pit_0379__051,8525 TOURNAMENT DRIVE,Memphis,TN,38125
sec_pit_0380__052,43059 Delaware 39-3560171 8285 Tournament Drive,Memphis,TN,38125
sec_pit_0380__053,8285 Tournament Drive,Memphis,TN,38125
sec_pit_0380__054,8525 TOURNAMENT DRIVE,Memphis,TN,38125
sec_pit_0381__055,Suite 1700,Houston,TX,77002
sec_pit_0381__056,910 LOUISIANA STREET SUITE 4440,Houston,TX,77002
sec_pit_0397__057,"919 Milam, Suite 2100",Houston,TX,77002
sec_pit_0397__058,2100,Houston,TX,77002
sec_pit_0397__059,"811 LOUISIANA ST, SUITE 1200",Houston,TX,77002
sec_pit_0188__060,"919 Milam, Suite 2100",Houston,TX,77002
sec_pit_0188__061,2100,Houston,TX,77002
sec_pit_0188__062,"811 LOUISIANA ST, SUITE 1200",Houston,TX,77002
sec_pit_0405__063,200 Powell Place,Brentwood,TN,37027
sec_pit_0405__064,5401 VIRGINIA WAY,Brentwood,TN,37027
sec_pit_0196__065,200 Powell Place,Brentwood,TN,37027
sec_pit_0196__066,5401 VIRGINIA WAY,Brentwood,TN,37027
