packet_rank,county_closeout_status,candidate_fips,candidate_county_name,business_city,business_state,business_zip,operator_packet_action,county_closeout_source,county_closeout_evidence,queue_row_count,address_key_count,entity_names,queue_row_ids,filing_dates
1,county_closeout_candidate_census_matches_current_fips,48201,"Harris County, Texas",Houston,TX,77002,review_for_county_level_acceptance,census_geographies_addressbatch:parsed_original,Best Census filing-street match lands in the same county FIPS as the reviewed current snapshot.,6,3,"Cheniere Energy Partners, L.P.; Cheniere Energy, Inc.; GENESIS ENERGY LP",sec_pit_0285; sec_pit_0090; sec_pit_0287; sec_pit_0092; sec_pit_0397; sec_pit_0188,2007-05-09; 2008-02-27; 2012-05-04; 2013-02-26; 2015-04-30; 2016-02-19
2,county_closeout_candidate_census_matches_current_fips,36103,"Suffolk County, New York",Bay Shore,NY,11706,review_for_county_level_acceptance,census_geographies_addressbatch:parsed_original,Best Census filing-street match lands in the same county FIPS as the reviewed current snapshot.,2,1,AIR INDUSTRIES GROUP,sec_pit_0006; sec_pit_0007,2008-04-14; 2008-04-17
3,county_closeout_candidate_census_matches_current_fips,47157,"Shelby County, Tennessee",Memphis,TN,38125,review_for_county_level_acceptance,census_geographies_addressbatch:parser_repair,Best Census filing-street match lands in the same county FIPS as the reviewed current snapshot.,2,1,"FedEx Freight Holding Company, Inc.",sec_pit_0379; sec_pit_0380,2026-05-13; 2026-05-18
4,county_closeout_candidate_census_matches_current_fips,47187,"Williamson County, Tennessee",Brentwood,TN,37027,review_for_county_level_acceptance,census_geographies_addressbatch:parsed_original,Best Census filing-street match lands in the same county FIPS as the reviewed current snapshot.,2,1,TRACTOR SUPPLY CO /DE/,sec_pit_0405; sec_pit_0196,2013-05-06; 2014-02-19
5,county_closeout_candidate_census_matches_current_fips,13121,"Fulton County, Georgia",Atlanta,GA,30354-1989,review_for_county_level_acceptance,census_geographies_addressbatch:parser_repair,Best Census filing-street match lands in the same county FIPS as the reviewed current snapshot.,1,1,"DELTA AIR LINES, INC.",sec_pit_0315,2026-04-08
6,county_closeout_candidate_census_matches_current_fips,37119,"Mecklenburg County, North Carolina",Charlotte,NC,28202-1803,review_for_county_level_acceptance,census_geographies_addressbatch:parsed_original,Best Census filing-street match lands in the same county FIPS as the reviewed current snapshot.,1,1,Duke Energy CORP,sec_pit_0140,2019-02-28
7,county_closeout_candidate_census_matches_current_fips,51760,"Richmond city, Virginia",RICHMOND,VA,23219,review_for_county_level_acceptance,census_geographies_addressbatch:parser_repair,Best Census filing-street match lands in the same county FIPS as the reviewed current snapshot.,1,1,"DOMINION ENERGY, INC",sec_pit_0124,2018-02-27
8,county_closeout_candidate_local_same_zip_single_open_fips,06085,Santa Clara County,Cupertino,CA,95014,review_for_county_level_acceptance,local_same_city_state_zip_single_open_fips,Open same-city/state/ZIP rows for this ZIP map to a single reviewed snapshot county; operator spot-check still required.,2,1,Apple Inc.,sec_pit_0231; sec_pit_0032,2015-07-22; 2015-10-28
9,snapshot_only_support_current_fips_not_filing_street,34021,"Mercer County, New Jersey",Princeton,NJ,08540,review_street_or_external_geocode,census_geographies_addressbatch:snapshot_street_after_parser_repair,"Census supports the current snapshot street/county, but the filing street itself did not match; use as context only.",2,1,"Clearway Energy, Inc.",sec_pit_0300; sec_pit_0103,2016-11-04; 2017-02-28
10,snapshot_only_support_current_fips_not_filing_street,34027,"Morris County, New Jersey",Parsippany,NJ,07054,review_street_or_external_geocode,census_geographies_addressbatch:snapshot_street_after_parser_repair,"Census supports the current snapshot street/county, but the filing street itself did not match; use as context only.",2,1,"B&G Foods, Inc.",sec_pit_0036; sec_pit_0037,2006-03-07; 2007-03-08
11,snapshot_only_support_current_fips_not_filing_street,36061,"New York County, New York",New York,NY,10001,review_street_or_external_geocode,census_geographies_addressbatch:snapshot_street_after_parser_repair,"Census supports the current snapshot street/county, but the filing street itself did not match; use as context only.",2,2,Data Storage Corp,sec_pit_0131; sec_pit_0326,2026-04-14; 2026-05-15
12,snapshot_only_support_current_fips_not_filing_street,06037,"Los Angeles County, California",Los Angeles,CA,90025,review_street_or_external_geocode,census_geographies_addressbatch:snapshot_street_after_parser_repair,"Census supports the current snapshot street/county, but the filing street itself did not match; use as context only.",1,1,BARFRESH FOOD GROUP INC.,sec_pit_0237,2026-05-14
13,snapshot_only_support_current_fips_not_filing_street,48201,"Harris County, Texas",Houston,TX,77002,review_street_or_external_geocode,census_geographies_addressbatch:snapshot_street_after_parser_repair,"Census supports the current snapshot street/county, but the filing street itself did not match; use as context only.",1,1,Fervo Energy Co,sec_pit_0381,2026-05-15
