batch_id,census_input_address,census_match_status,census_match_type,census_matched_address,census_coordinates,census_lon,census_lat,census_tigerline_id,census_tigerline_side,census_state_fips,census_county_fips,candidate_fips,census_tract,census_block,census_raw_field_count
sec_pit_0188__060,"919 Milam, Suite 2100, Houston, TX, 77002",Match,Non_Exact,"919 MILAM ST, HOUSTON, TX, 77002","-95.366152162226,29.758540007111",-95.366152162226,29.758540007111,96067686,L,48,201,48201,980700,1085,12
sec_pit_0381__055,"Suite 1700, Houston, TX, 77002",No_Match,,,,,,,,,,,,,3
sec_pit_0300__032,"300 CARNEGIE CENTER, SUITE 300, Princeton, NJ, 08540",Match,Non_Exact,"300 CARNEGIE CENTER BLVD, PRINCETON, NJ, 08540","-74.652634064943,40.316451818886",-74.652634064943,40.316451818886,60192636,R,34,021,34021,004314,5003,12
sec_pit_0381__056,"910 LOUISIANA STREET SUITE 4440, Houston, TX, 77002",Match,Exact,"910 LOUISIANA ST, HOUSTON, TX, 77002","-95.367066787298,29.759187339607",-95.367066787298,29.759187339607,96067552,R,48,201,48201,980700,1079,12
sec_pit_0300__031,"804 Carnegie Center, Princeton, NJ, 08540",No_Match,,,,,,,,,,,,,3
sec_pit_0124__040,"600 EAST CANAL STREET, RICHMOND, VA, 23219",Match,Exact,"600 E CANAL ST, RICHMOND, VA, 23219","-77.440535586181,37.538119360459",-77.440535586181,37.538119360459,201539465,L,51,760,51760,030502,1026,12
sec_pit_0196__065,"200 Powell Place, Brentwood, TN, 37027",Match,Exact,"200 POWELL PL, BRENTWOOD, TN, 37027","-86.812871163479,36.036434556194",-86.812871163479,36.036434556194,607919966,L,47,187,47187,050304,2024,12
sec_pit_0188__061,"2100, Houston, TX, 77002",No_Match,,,,,,,,,,,,,3
sec_pit_0188__062,"811 LOUISIANA ST, SUITE 1200, Houston, TX, 77002",Match,Exact,"811 LOUISIANA ST, HOUSTON, TX, 77002","-95.366387594594,29.759861766574",-95.366387594594,29.759861766574,96067684,L,48,201,48201,980700,1077,12
sec_pit_0092__029,"700 Milam Street, Houston, TX, 77002",Match,Exact,"700 MILAM ST, HOUSTON, TX, 77002","-95.364984867216,29.760235481636",-95.364984867216,29.760235481636,96067694,R,48,201,48201,980700,1063,12
sec_pit_0007__003,"1479 North Clinton Avenue, Bay Shore, NY, 11706",Match,Exact,"1479 N CLINTON AVE, BAY SHORE, NY, 11706","-73.266096925158,40.745624919595",-73.266096925158,40.745624919595,114228960,L,36,103,36103,145903,4003,12
sec_pit_0007__004,"1460 FIFTH AVENUE, Bay Shore, NY, 11706",Match,Exact,"1460 5TH AVE, BAY SHORE, NY, 11706","-73.263939915256,40.745951951524",-73.263939915256,40.745951951524,113995564,R,36,103,36103,145903,4003,12
sec_pit_0092__028,"700 Milam Street, Suite 1900, Houston, TX, 77002",Match,Exact,"700 MILAM ST, HOUSTON, TX, 77002","-95.364984867216,29.760235481636",-95.364984867216,29.760235481636,96067694,R,48,201,48201,980700,1063,12
sec_pit_0131__042,"5 th Avenue , Second Floor, New York, NY, 10001",No_Match,,,,,,,,,,,,,3
sec_pit_0131__041,"5 th Avenue , Second Floor , Suite 2821, New York, NY, 10001",No_Match,,,,,,,,,,,,,3
sec_pit_0131__043,"244 5TH AVENUE 2ND FL., SUITE 2821, New York, NY, 10001",Match,Exact,"244 5TH AVE, NEW YORK, NY, 10001","-73.987454128631,40.74458672151",-73.987454128631,40.74458672151,59653461,L,36,061,36061,005800,1000,12
sec_pit_0124__039,"120 TREDEGAR STREET, RICHMOND, VA, 23219",Match,Exact,"120 TREDEGAR ST, RICHMOND, VA, 23219","-77.453836687519,37.533902771904",-77.453836687519,37.533902771904,610892947,L,51,760,51760,041300,2017,12
sec_pit_0124__038,"37591 DOMINION ENERGY GAS HOLDINGS, LLC 46-3639580 VIRGINIA 120 TREDEGAR STREET, RICHMOND, VA, 23219",Match,Non_Exact,"120 TREDEGAR ST, RICHMOND, VA, 23219","-77.453836687519,37.533902771904",-77.453836687519,37.533902771904,610892947,L,51,760,51760,041300,2017,12
sec_pit_0006__001,"1479 North Clinton Avenue, Bay Shore, NY, 11706",Match,Exact,"1479 N CLINTON AVE, BAY SHORE, NY, 11706","-73.266096925158,40.745624919595",-73.266096925158,40.745624919595,114228960,L,36,103,36103,145903,4003,12
sec_pit_0287__027,"845 TEXAS AVENUE SUITE 1250, Houston, TX, 77002",Match,Non_Exact,"845 TEXAS ST, HOUSTON, TX, 77002","-95.363842867798,29.760823542011",-95.363842867798,29.760823542011,96067455,L,48,201,48201,980700,1066,12
sec_pit_0231__006,"1 Infinite Loop, Cupertino, CA, 95014",No_Match,,,,,,,,,,,,,3
sec_pit_0287__025,"700 Milam Street, Suite 1900, Houston, TX, 77002",Match,Exact,"700 MILAM ST, HOUSTON, TX, 77002","-95.364984867216,29.760235481636",-95.364984867216,29.760235481636,96067694,R,48,201,48201,980700,1063,12
sec_pit_0006__002,"1460 FIFTH AVENUE, Bay Shore, NY, 11706",Match,Exact,"1460 5TH AVE, BAY SHORE, NY, 11706","-73.263939915256,40.745951951524",-73.263939915256,40.745951951524,113995564,R,36,103,36103,145903,4003,12
sec_pit_0231__007,"ONE APPLE PARK WAY, Cupertino, CA, 95014",No_Match,,,,,,,,,,,,,3
sec_pit_0287__026,"700 Milam Street, Houston, TX, 77002",Match,Exact,"700 MILAM ST, HOUSTON, TX, 77002","-95.364984867216,29.760235481636",-95.364984867216,29.760235481636,96067694,R,48,201,48201,980700,1063,12
sec_pit_0231__005,"36743 Apple Inc. California 94-2404110 1 Infinite Loop, Cupertino, CA, 95014",No_Match,,,,,,,,,,,,,3
sec_pit_0140__047,"550 South Tryon Street, Charlotte, NC, 28202",Match,Exact,"550 S TRYON ST, CHARLOTTE, NC, 28202","-80.848066203704,35.223843453314",-80.848066203704,35.223843453314,70485587,R,37,119,37119,000102,2004,12
sec_pit_0379__051,"8525 TOURNAMENT DRIVE, Memphis, TN, 38125",Match,Exact,"8525 TOURNAMENT DR, MEMPHIS, TN, 38125","-89.778148512285,35.059357469886",-89.778148512285,35.059357469886,72959435,R,47,157,47157,021355,2007,12
sec_pit_0196__066,"5401 VIRGINIA WAY, Brentwood, TN, 37027",Match,Exact,"5401 VIRGINIA WAY, BRENTWOOD, TN, 37027","-86.812349121708,36.03335854729",-86.812349121708,36.03335854729,607902962,L,47,187,47187,050304,2028,12
sec_pit_0140__048,"525 SOUTH TRYON STREET, Charlotte, NC, 28202",Match,Exact,"525 S TRYON ST, CHARLOTTE, NC, 28202","-80.847735652216,35.223923539231",-80.847735652216,35.223923539231,70485587,L,37,119,37119,000101,2003,12
sec_pit_0379__050,"8285 Tournament Drive, Memphis, TN, 38125",Match,Exact,"8285 TOURNAMENT DR, MEMPHIS, TN, 38125","-89.787660654279,35.057487558864",-89.787660654279,35.057487558864,618109859,R,47,157,47157,021355,4029,12
sec_pit_0315__036,"1030 Delta Boulevard, Atlanta, GA, 30354",Match,Exact,"1030 DELTA BLVD, ATLANTA, GA, 30354","-84.423025140386,33.65805226589",-84.423025140386,33.65805226589,17349582,L,13,121,13121,010801,3029,12
sec_pit_0315__037,"HARTSFIELD-JACKSON ATLANTA INTL AIRPORT 1030 DELTA BOULEVARD, Atlanta, GA, 30354",Match,Non_Exact,"1030 DELTA BLVD, ATLANTA, GA, 30354","-84.423025140386,33.65805226589",-84.423025140386,33.65805226589,17349582,L,13,121,13121,010801,3029,12
sec_pit_0315__035,"5424 DELTA AIR LINES, INC. Delaware 58-0218548 1030 Delta Boulevard, Atlanta, GA, 30354",Match,Non_Exact,"1030 DELTA BLVD, ATLANTA, GA, 30354","-84.423025140386,33.65805226589",-84.423025140386,33.65805226589,17349582,L,13,121,13121,010801,3029,12
