queue_row_id,address_key,entity_name,primary_ticker,filing_date,form_type,filing_accession,business_street,business_city,business_state,business_zip,current_snapshot_business_street,current_snapshot_fips,current_snapshot_county_name,candidate_fips,candidate_county_name,prior_strict_acceptance_status,parser_fragment,held_resolution_status,held_resolution_accepted,held_resolution_source,held_resolution_reason,census_match_type,census_matched_address,best_attempt_label,best_attempt_source_class,conflicting_candidate_fips,production_model_rank_or_dashboard_change
sec_pit_0237,8 TH FLOOR|LOS ANGELES|CA|90025,BARFRESH FOOD GROUP INC.,BRFH,2026-05-14,10-Q,0001493152-26-023106,8 th Floor,Los Angeles,CA,90025,"12100 WILSHIRE BOULEVARD, 8TH FLOOR,",06037,Los Angeles County,06037,"Los Angeles County, California",held_snapshot_only_support,True,accepted_parser_fragment_snapshot_census_same_county,True,census_geographies_addressbatch:supplemental_parser_fragment_snapshot_street,Filing parser retained only floor/unit/partial street text; Census confirms the reviewed snapshot street in the same city/state/ZIP and county FIPS.,Exact,"12100 WILSHIRE BLVD, LOS ANGELES, CA, 90025",supplemental_parser_fragment_snapshot_street,snapshot_derived_parser_fragment,,False
sec_pit_0131,"5 TH AVENUE , SECOND FLOOR , SUITE 2821|NEW YORK|NY|10001",Data Storage Corp,DTST,2026-04-14,10-K,0001731122-26-000564,"5 th Avenue , Second Floor , Suite 2821",New York,NY,10001,"244 5TH AVENUE 2ND FL., SUITE 2821",36061,New York County,36061,"New York County, New York",held_snapshot_only_support,True,accepted_parser_fragment_snapshot_census_same_county,True,census_geographies_addressbatch:supplemental_parser_fragment_snapshot_street,Filing parser retained only floor/unit/partial street text; Census confirms the reviewed snapshot street in the same city/state/ZIP and county FIPS.,Exact,"244 5TH AVE, NEW YORK, NY, 10001",supplemental_parser_fragment_snapshot_street,snapshot_derived_parser_fragment,,False
sec_pit_0326,"2 ND FL, 2821|NEW YORK|NY|10001",Data Storage Corp,DTST,2026-05-15,10-Q,0001731122-26-000732,"2 nd Fl, 2821",New York,NY,10001,"244 5TH AVENUE 2ND FL., SUITE 2821",36061,New York County,36061,"New York County, New York",held_snapshot_only_support,True,accepted_parser_fragment_snapshot_census_same_county,True,census_geographies_addressbatch:supplemental_parser_fragment_snapshot_street,Filing parser retained only floor/unit/partial street text; Census confirms the reviewed snapshot street in the same city/state/ZIP and county FIPS.,Exact,"244 5TH AVE, NEW YORK, NY, 10001",supplemental_parser_fragment_snapshot_street,snapshot_derived_parser_fragment,,False
sec_pit_0381,SUITE 1700|HOUSTON|TX|77002,Fervo Energy Co,FRVO,2026-05-15,8-K,0001628280-26-035311,Suite 1700,Houston,TX,77002,910 LOUISIANA STREET SUITE 4440,48201,Harris County,48201,"Harris County, Texas",held_snapshot_only_support,True,accepted_parser_fragment_snapshot_census_same_county,True,census_geographies_addressbatch:supplemental_parser_fragment_snapshot_street,Filing parser retained only floor/unit/partial street text; Census confirms the reviewed snapshot street in the same city/state/ZIP and county FIPS.,Exact,"910 LOUISIANA ST, HOUSTON, TX, 77002",supplemental_parser_fragment_snapshot_street,snapshot_derived_parser_fragment,,False
sec_pit_0036,"FOUR GATEHALL DRIVE, SUITE 110|PARSIPPANY|NJ|07054","B&G Foods, Inc.",BGS,2006-03-07,10-K,0001104659-06-014414,"Four Gatehall Drive, Suite 110",Parsippany,NJ,07054,8 SYLVAN WAY,34027,Morris County,34027,"Morris County, New Jersey",held_snapshot_only_support,False,accepted_supplemental_filing_census_same_county,True,census_geographies_addressbatch:supplemental_number_word_gatehall_dr,Supplemental filing-derived Census match lands in the same county FIPS as the reviewed current snapshot.,Exact,"4 GATEHALL DR, PARSIPPANY, NJ, 07054",supplemental_number_word_gatehall_dr,filing_derived,,False
sec_pit_0037,"FOUR GATEHALL DRIVE, SUITE 110|PARSIPPANY|NJ|07054","B&G Foods, Inc.",BGS,2007-03-08,10-K,0001104659-07-017413,"Four Gatehall Drive, Suite 110",Parsippany,NJ,07054,8 SYLVAN WAY,34027,Morris County,34027,"Morris County, New Jersey",held_snapshot_only_support,False,accepted_supplemental_filing_census_same_county,True,census_geographies_addressbatch:supplemental_number_word_gatehall_dr,Supplemental filing-derived Census match lands in the same county FIPS as the reviewed current snapshot.,Exact,"4 GATEHALL DR, PARSIPPANY, NJ, 07054",supplemental_number_word_gatehall_dr,filing_derived,,False
sec_pit_0231,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014,Apple Inc.,AAPL,2015-07-22,10-Q,0001193125-15-259935,36743 Apple Inc. California 94-2404110 1 Infinite Loop,Cupertino,CA,95014,ONE APPLE PARK WAY,06085,Santa Clara County,06085,"Santa Clara County, California",held_local_same_zip_candidate,False,held_local_same_zip_candidate,False,no_supplemental_acceptance,Local same-ZIP candidate remains held without a filing-derived Census match.,,,,,,False
sec_pit_0032,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014,Apple Inc.,AAPL,2015-10-28,10-K,0001193125-15-356351,36743 Apple Inc. California 94-2404110 1 Infinite Loop,Cupertino,CA,95014,ONE APPLE PARK WAY,06085,Santa Clara County,06085,"Santa Clara County, California",held_local_same_zip_candidate,False,held_local_same_zip_candidate,False,no_supplemental_acceptance,Local same-ZIP candidate remains held without a filing-derived Census match.,,,,,,False
sec_pit_0300,804 CARNEGIE CENTER|PRINCETON|NJ|08540,"Clearway Energy, Inc.",CWEN,2016-11-04,10-Q,0001567683-16-000067,804 Carnegie Center,Princeton,NJ,08540,"300 CARNEGIE CENTER, SUITE 300",34021,Mercer County,34021,"Mercer County, New Jersey",held_snapshot_only_support,False,held_snapshot_support_not_parser_fragment,False,census_geographies_addressbatch:snapshot_street_after_parser_repair,"Census supports the current snapshot street/county, but the filing street is a plausible alternate street rather than a parser fragment.",Non_Exact,"300 CARNEGIE CENTER BLVD, PRINCETON, NJ, 08540",snapshot_street_after_parser_repair,snapshot_derived,,False
sec_pit_0103,804 CARNEGIE CENTER|PRINCETON|NJ|08540,"Clearway Energy, Inc.",CWEN,2017-02-28,10-K,0001567683-17-000010,804 Carnegie Center,Princeton,NJ,08540,"300 CARNEGIE CENTER, SUITE 300",34021,Mercer County,34021,"Mercer County, New Jersey",held_snapshot_only_support,False,held_snapshot_support_not_parser_fragment,False,census_geographies_addressbatch:snapshot_street_after_parser_repair,"Census supports the current snapshot street/county, but the filing street is a plausible alternate street rather than a parser fragment.",Non_Exact,"300 CARNEGIE CENTER BLVD, PRINCETON, NJ, 08540",snapshot_street_after_parser_repair,snapshot_derived,,False
