batch_id,queue_row_id,attempt_label,attempt_source_class,census_street,census_city,census_state,census_zip,repair_notes,address_key,entity_name,filing_date,current_snapshot_fips,strict_acceptance_status
sec_pit_0231__held_001,sec_pit_0231,supplemental_infinite_loop_no_unit,filing_derived,1 Infinite Loop,Cupertino,CA,95014,isolated filing street from noisy SEC parser text,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014,Apple Inc.,2015-07-22,06085,held_local_same_zip_candidate
sec_pit_0231__held_002,sec_pit_0231,supplemental_infinite_loop_dr,filing_derived,1 Infinite Loop Dr,Cupertino,CA,95014,alternate suffix for Census locator check,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014,Apple Inc.,2015-07-22,06085,held_local_same_zip_candidate
sec_pit_0032__held_003,sec_pit_0032,supplemental_infinite_loop_no_unit,filing_derived,1 Infinite Loop,Cupertino,CA,95014,isolated filing street from noisy SEC parser text,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014,Apple Inc.,2015-10-28,06085,held_local_same_zip_candidate
sec_pit_0032__held_004,sec_pit_0032,supplemental_infinite_loop_dr,filing_derived,1 Infinite Loop Dr,Cupertino,CA,95014,alternate suffix for Census locator check,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014,Apple Inc.,2015-10-28,06085,held_local_same_zip_candidate
sec_pit_0237__held_005,sec_pit_0237,supplemental_parser_fragment_snapshot_street,snapshot_derived_parser_fragment,"12100 WILSHIRE BOULEVARD, 8TH FLOOR",Los Angeles,CA,90025,filing parser retained only unit/floor/partial street; snapshot street checks county support,8 TH FLOOR|LOS ANGELES|CA|90025,BARFRESH FOOD GROUP INC.,2026-05-14,06037,held_snapshot_only_support
sec_pit_0036__held_006,sec_pit_0036,supplemental_number_word_gatehall_drive,filing_derived,4 Gatehall Drive,Parsippany,NJ,07054,normalized spelled-out street number from filing street,"FOUR GATEHALL DRIVE, SUITE 110|PARSIPPANY|NJ|07054","B&G Foods, Inc.",2006-03-07,34027,held_snapshot_only_support
sec_pit_0036__held_007,sec_pit_0036,supplemental_number_word_gatehall_dr,filing_derived,4 Gatehall Dr,Parsippany,NJ,07054,normalized spelled-out street number and suffix,"FOUR GATEHALL DRIVE, SUITE 110|PARSIPPANY|NJ|07054","B&G Foods, Inc.",2006-03-07,34027,held_snapshot_only_support
sec_pit_0037__held_008,sec_pit_0037,supplemental_number_word_gatehall_drive,filing_derived,4 Gatehall Drive,Parsippany,NJ,07054,normalized spelled-out street number from filing street,"FOUR GATEHALL DRIVE, SUITE 110|PARSIPPANY|NJ|07054","B&G Foods, Inc.",2007-03-08,34027,held_snapshot_only_support
sec_pit_0037__held_009,sec_pit_0037,supplemental_number_word_gatehall_dr,filing_derived,4 Gatehall Dr,Parsippany,NJ,07054,normalized spelled-out street number and suffix,"FOUR GATEHALL DRIVE, SUITE 110|PARSIPPANY|NJ|07054","B&G Foods, Inc.",2007-03-08,34027,held_snapshot_only_support
sec_pit_0300__held_010,sec_pit_0300,supplemental_carnegie_center_blvd,filing_derived,804 Carnegie Center Blvd,Princeton,NJ,08540,Census matched nearby Carnegie Center streets with BLVD suffix,804 CARNEGIE CENTER|PRINCETON|NJ|08540,"Clearway Energy, Inc.",2016-11-04,34021,held_snapshot_only_support
sec_pit_0103__held_011,sec_pit_0103,supplemental_carnegie_center_blvd,filing_derived,804 Carnegie Center Blvd,Princeton,NJ,08540,Census matched nearby Carnegie Center streets with BLVD suffix,804 CARNEGIE CENTER|PRINCETON|NJ|08540,"Clearway Energy, Inc.",2017-02-28,34021,held_snapshot_only_support
sec_pit_0131__held_012,sec_pit_0131,supplemental_parser_fragment_snapshot_street,snapshot_derived_parser_fragment,"244 5TH AVENUE 2ND FL., SUITE 2821",New York,NY,10001,filing parser retained only unit/floor/partial street; snapshot street checks county support,"5 TH AVENUE , SECOND FLOOR , SUITE 2821|NEW YORK|NY|10001",Data Storage Corp,2026-04-14,36061,held_snapshot_only_support
sec_pit_0326__held_013,sec_pit_0326,supplemental_parser_fragment_snapshot_street,snapshot_derived_parser_fragment,"244 5TH AVENUE 2ND FL., SUITE 2821",New York,NY,10001,filing parser retained only unit/floor/partial street; snapshot street checks county support,"2 ND FL, 2821|NEW YORK|NY|10001",Data Storage Corp,2026-05-15,36061,held_snapshot_only_support
sec_pit_0381__held_014,sec_pit_0381,supplemental_parser_fragment_snapshot_street,snapshot_derived_parser_fragment,910 LOUISIANA STREET SUITE 4440,Houston,TX,77002,filing parser retained only unit/floor/partial street; snapshot street checks county support,SUITE 1700|HOUSTON|TX|77002,Fervo Energy Co,2026-05-15,48201,held_snapshot_only_support
