spotcheck_priority,spotcheck_reason,recommended_action,spotcheck_acceptance_status,spotcheck_acceptance_evidence,spotcheck_accepted,normalized_business_street,normalized_snapshot_street,snapshot_token_coverage,queue_row_id,entity_name,primary_ticker,filing_date,form_type,filing_accession,business_street,business_city,business_state,business_zip,current_snapshot_business_street,current_snapshot_business_city,current_snapshot_business_state,current_snapshot_business_zip,current_snapshot_fips,current_snapshot_county_name,filing_document_cache_path,fips,county_name,geocode_confidence,address_key
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,operator_review_required_street_mismatch_same_city_zip,street text or number differs enough that same city/state/ZIP is not enough for source-promotion review,False,1479 N CLINTON AVE,1460 5TH AVE,0.333,sec_pit_0006,AIR INDUSTRIES GROUP,AIRI,2008-04-14,10-K,0001193805-08-001100,1479 North Clinton Avenue,Bay Shore,NY,11706,1460 FIFTH AVENUE,BAY SHORE,NY,11706,36103,Suffolk County,data/raw/sec_edgar_hq/filing_documents/CIK0001009891/000119380508001100/e603633_10k-aig.txt,36103,Suffolk County,1.0,1479 NORTH CLINTON AVENUE|BAY SHORE|NY|11706
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,operator_review_required_street_mismatch_same_city_zip,street text or number differs enough that same city/state/ZIP is not enough for source-promotion review,False,1479 N CLINTON AVE,1460 5TH AVE,0.333,sec_pit_0007,AIR INDUSTRIES GROUP,AIRI,2008-04-17,10-K/A,0001193805-08-001135,1479 North Clinton Avenue,Bay Shore,NY,11706,1460 FIFTH AVENUE,BAY SHORE,NY,11706,36103,Suffolk County,data/raw/sec_edgar_hq/filing_documents/CIK0001009891/000119380508001135/e603705_10ka-aig.txt,36103,Suffolk County,1.0,1479 NORTH CLINTON AVENUE|BAY SHORE|NY|11706
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_parsed_street_embedded_in_snapshot,parsed filing street appears inside the snapshot street text,True,5430 LBJ FREEWAY,1800 3 LINCOLN CTR 5430 LBJ FREEWAY,0.5,sec_pit_0021,ATMOS ENERGY CORP,ATO,2014-11-06,10-K,0000731802-14-000034,5430 LBJ Freeway,Dallas,TX,75240,1800 THREE LINCOLN CTR 5430 LBJ FREEWAY,DALLAS,TX,75240,48113,Dallas County,data/raw/sec_edgar_hq/filing_documents/CIK0000731802/000073180214000034/ato2014093010-k.htm,48113,Dallas County,1.0,5430 LBJ FREEWAY|DALLAS|TX|75240
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_parsed_street_embedded_in_snapshot,parsed filing street appears inside the snapshot street text,True,5430 LBJ FREEWAY,1800 3 LINCOLN CTR 5430 LBJ FREEWAY,0.5,sec_pit_0022,ATMOS ENERGY CORP,ATO,2025-11-14,10-K,0000731802-25-000056,5430 LBJ Freeway,Dallas,TX,75240,1800 THREE LINCOLN CTR 5430 LBJ FREEWAY,DALLAS,TX,75240,48113,Dallas County,data/raw/sec_edgar_hq/filing_documents/CIK0000731802/000073180225000056/ato-20250930.htm,48113,Dallas County,1.0,5430 LBJ FREEWAY|DALLAS|TX|75240
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_normalized_street_match,parsed and snapshot streets normalize to the same text,True,1 ADP BLVD,1 ADP BLVD,1.0,sec_pit_0224,AUTOMATIC DATA PROCESSING INC,ADP,2018-02-01,10-Q,0000008670-18-000003,One ADP Boulevard,Roseland,NJ,07068,ONE ADP BOULVARD,ROSELAND,NJ,07068,34013,Essex County,data/raw/sec_edgar_hq/filing_documents/CIK0000008670/000000867018000003/q2fy1810q.htm,34013,Essex County,1.0,ONE ADP BOULEVARD|ROSELAND|NJ|07068
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_normalized_street_match,parsed and snapshot streets normalize to the same text,True,1 ADP BLVD,1 ADP BLVD,1.0,sec_pit_0023,AUTOMATIC DATA PROCESSING INC,ADP,2018-08-03,10-K,0000008670-18-000011,One ADP Boulevard,Roseland,NJ,07068,ONE ADP BOULVARD,ROSELAND,NJ,07068,34013,Essex County,data/raw/sec_edgar_hq/filing_documents/CIK0000008670/000000867018000011/q4fy1810k.htm,34013,Essex County,1.0,ONE ADP BOULEVARD|ROSELAND|NJ|07068
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_snapshot_street_embedded_in_parse,snapshot street appears inside the parsed filing street text,True,5397 AUTOMATIC DATA PROCESSING INC DELAWARE 22 1467904 1 ADP BLVD,1 ADP BLVD,1.0,sec_pit_0024,AUTOMATIC DATA PROCESSING INC,ADP,2025-08-06,10-K,0000008670-25-000037,"5397 AUTOMATIC DATA PROCESSING, INC. Delaware 22-1467904 One ADP Boulevard",Roseland,NJ,07068,ONE ADP BOULVARD,ROSELAND,NJ,07068,34013,Essex County,data/raw/sec_edgar_hq/filing_documents/CIK0000008670/000000867025000037/adp-20250630.htm,34013,Essex County,1.0,"5397 AUTOMATIC DATA PROCESSING, INC. DELAWARE 22-1467904 ONE ADP BOULEVARD|ROSELAND|NJ|07068"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_snapshot_street_embedded_in_parse,snapshot street appears inside the parsed filing street text,True,AUTOMATIC DATA PROCESSING INC DELAWARE 22 1467904 1 ADP BLVD,1 ADP BLVD,1.0,sec_pit_0225,AUTOMATIC DATA PROCESSING INC,ADP,2026-04-30,10-Q,0000008670-26-000022,"__________ AUTOMATIC DATA PROCESSING, INC. __________________________ Delaware 22-1467904 One ADP Boulevard",Roseland,NJ,07068,ONE ADP BOULVARD,ROSELAND,NJ,07068,34013,Essex County,data/raw/sec_edgar_hq/filing_documents/CIK0000008670/000000867026000022/adp-20260331.htm,34013,Essex County,1.0,"__________ AUTOMATIC DATA PROCESSING, INC. __________________________ DELAWARE 22-1467904 ONE ADP BOULEVARD|ROSELAND|NJ|07068"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,operator_review_required_street_mismatch_same_city_zip,street text or number differs enough that same city/state/ZIP is not enough for source-promotion review,False,36743 APPLE INC CALIFORNIA 94 2404110 1 INFINITE LOOP,1 APPLE PARK WAY,0.5,sec_pit_0231,Apple Inc.,AAPL,2015-07-22,10-Q,0001193125-15-259935,36743 Apple Inc. California 94-2404110 1 Infinite Loop,Cupertino,CA,95014,ONE APPLE PARK WAY,CUPERTINO,CA,95014,06085,Santa Clara County,data/raw/sec_edgar_hq/filing_documents/CIK0000320193/000119312515259935/d927922d10q.htm,06085,Santa Clara County,0.98,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,operator_review_required_street_mismatch_same_city_zip,street text or number differs enough that same city/state/ZIP is not enough for source-promotion review,False,36743 APPLE INC CALIFORNIA 94 2404110 1 INFINITE LOOP,1 APPLE PARK WAY,0.5,sec_pit_0032,Apple Inc.,AAPL,2015-10-28,10-K,0001193125-15-356351,36743 Apple Inc. California 94-2404110 1 Infinite Loop,Cupertino,CA,95014,ONE APPLE PARK WAY,CUPERTINO,CA,95014,06085,Santa Clara County,data/raw/sec_edgar_hq/filing_documents/CIK0000320193/000119312515356351/d17062d10k.htm,06085,Santa Clara County,0.98,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014
