fips,county_name,year,sec_point_in_time_hq_company_count,sec_point_in_time_hq_filing_count,sec_point_in_time_hq_companies,sec_point_in_time_hq_tickers,sec_point_in_time_hq_ciks,sec_point_in_time_hq_source_queue_rows,sec_point_in_time_hq_mean_geocode_confidence,candidate_status,production_change_allowed
06059,Orange County,2003,1,1,BRIDGFORD FOODS CORP,BRID,0000014177,sec_pit_0044,1.0,report_only_candidate_pending_source_maturity_gate,False
28049,"Hinds County, Mississippi",2003,1,2,CAL-MAINE FOODS INC,CALM,0000016160,sec_pit_0262; sec_pit_0065,0.88,report_only_candidate_pending_source_maturity_gate,False
37035,"Catawba County, North Carolina",2004,1,1,AIR T INC,AIRT,0000353184,sec_pit_0009,0.92,report_only_candidate_pending_source_maturity_gate,False
48453,"Travis County, Texas",2004,1,1,ASURE SOFTWARE INC,ASUR,0000884144,sec_pit_0019,0.92,report_only_candidate_pending_source_maturity_gate,False
06059,"Orange County, California",2006,1,1,"Clean Energy Technologies, Inc.",CETY,0001329606,sec_pit_0294,0.92,report_only_candidate_pending_source_maturity_gate,False
34027,Morris County,2006,1,1,"B&G Foods, Inc.",BGS,0001278027,sec_pit_0036,1.0,report_only_candidate_pending_source_maturity_gate,False
39035,Cuyahoga County,2006,1,1,"ENERGY FOCUS, INC/DE",EFOI,0000924168,sec_pit_0337,1.0,report_only_candidate_pending_source_maturity_gate,False
06059,"Orange County, California",2007,1,1,"Clean Energy Technologies, Inc.",CETY,0001329606,sec_pit_0101,0.92,report_only_candidate_pending_source_maturity_gate,False
34027,Morris County,2007,1,1,"B&G Foods, Inc.",BGS,0001278027,sec_pit_0037,1.0,report_only_candidate_pending_source_maturity_gate,False
36061,"New York County, New York",2007,1,1,BlackRock Energy & Resources Trust,BGR,0001306550,sec_pit_0253,0.92,report_only_candidate_pending_source_maturity_gate,False
39035,Cuyahoga County,2007,1,1,"ENERGY FOCUS, INC/DE",EFOI,0000924168,sec_pit_0142,1.0,report_only_candidate_pending_source_maturity_gate,False
48201,Harris County,2007,1,1,"Cheniere Energy Partners, L.P.",CQP,0001383650,sec_pit_0285,1.0,report_only_candidate_pending_source_maturity_gate,False
32510,"Carson City, Nevada",2008,1,1,"Big Digital Energy, Inc.",BGDE,0001218683,sec_pit_0249,0.92,report_only_candidate_pending_source_maturity_gate,False
36103,Suffolk County,2008,1,2,AIR INDUSTRIES GROUP,AIRI,0001009891,sec_pit_0006; sec_pit_0007,1.0,report_only_candidate_pending_source_maturity_gate,False
48201,Harris County,2008,1,1,"Cheniere Energy Partners, L.P.",CQP,0001383650,sec_pit_0090,1.0,report_only_candidate_pending_source_maturity_gate,False
48201,"Harris County, Texas",2008,1,1,"CAMBER ENERGY, INC.",CEIN,0001309082,sec_pit_0067,0.92,report_only_candidate_pending_source_maturity_gate,False
32510,"Carson City, Nevada",2009,1,1,"Big Digital Energy, Inc.",BGDE,0001218683,sec_pit_0054,0.92,report_only_candidate_pending_source_maturity_gate,False
36059,"Nassau County, New York",2009,1,1,Data Storage Corp,DTST,0001419951,sec_pit_0130,0.92,report_only_candidate_pending_source_maturity_gate,False
48157,Fort Bend County,2009,1,1,CVR ENERGY INC,CVI,0001376139,sec_pit_0084,1.0,report_only_candidate_pending_source_maturity_gate,False
48201,Harris County,2009,1,1,BLUE DOLPHIN ENERGY CO,BDCO,0000793306,sec_pit_0041,1.0,report_only_candidate_pending_source_maturity_gate,False
48201,"Harris County, Texas",2009,2,2,"Bimergen Energy Corp; CAMBER ENERGY, INC.",BESS; CEIN,0001066764; 0001309082,sec_pit_0056; sec_pit_0068,0.9,report_only_candidate_pending_source_maturity_gate,False
06059,"Orange County, California",2010,1,1,Clean Energy Fuels Corp.,CLNE,0001368265,sec_pit_0292,0.92,report_only_candidate_pending_source_maturity_gate,False
06085,Santa Clara County,2010,1,1,ALPHA & OMEGA SEMICONDUCTOR Ltd,AOSL,0001387467,sec_pit_0015,1.0,report_only_candidate_pending_source_maturity_gate,False
36061,"New York County, New York",2010,1,1,BlackRock Energy & Resources Trust,BGR,0001306550,sec_pit_0255,0.82,report_only_candidate_pending_source_maturity_gate,False
36119,Westchester County,2010,2,6,GABELLI UTILITY TRUST; GABELLI GLOBAL UTILITY & INCOME TRUST,GUT; GLU,0001080720; 0001282957,sec_pit_0391; sec_pit_0392; sec_pit_0393; sec_pit_0387; sec_pit_0388; sec_pit_0389,1.0,report_only_candidate_pending_source_maturity_gate,False
