queue_row_id,address_key,entity_name,filing_date,decision,before_geocode_status,before_fips,after_fips,after_county_name,manual_review_note
sec_pit_0227,7201 HAMILTON BOULEVARD|ALLENTOWN|PA|18195-1501,"Air Products & Chemicals, Inc.",2016-01-29,assign_county,not_attempted,,42077,"Lehigh County, Pennsylvania","Accepted report-only SEC point-in-time HQ geocode review: residual_same_city_snapshot_county_review assigned Lehigh County, Pennsylvania (42077) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates."
sec_pit_0262,3320 WOODROW WILSON AVENUE|JACKSON|MS|39209,CAL-MAINE FOODS INC,2003-04-10,assign_county,not_attempted,,28049,"Hinds County, Mississippi","Accepted report-only SEC point-in-time HQ geocode review: census_geographies_addressbatch:parsed_original assigned Hinds County, Mississippi (28049) for 2 queue row(s). Remains pending SEC source-maturity and promotion gates."
sec_pit_0065,3320 WOODROW WILSON AVENUE|JACKSON|MS|39209,CAL-MAINE FOODS INC,2003-08-12,assign_county,not_attempted,,28049,"Hinds County, Mississippi","Accepted report-only SEC point-in-time HQ geocode review: census_geographies_addressbatch:parsed_original assigned Hinds County, Mississippi (28049) for 2 queue row(s). Remains pending SEC source-maturity and promotion gates."
sec_pit_0407,2200 DON TYSON PARKWAY|SPRINGDALE|AR|72762-6999,"TYSON FOODS, INC.",2014-05-05,assign_county,not_attempted,,05143,"Washington County, Arkansas","Accepted report-only SEC point-in-time HQ geocode review: census_geographies_addressbatch:parsed_original assigned Washington County, Arkansas (05143) for 2 queue row(s). Remains pending SEC source-maturity and promotion gates."
sec_pit_0198,2200 DON TYSON PARKWAY|SPRINGDALE|AR|72762-6999,"TYSON FOODS, INC.",2014-11-17,assign_county,not_attempted,,05143,"Washington County, Arkansas","Accepted report-only SEC point-in-time HQ geocode review: census_geographies_addressbatch:parsed_original assigned Washington County, Arkansas (05143) for 2 queue row(s). Remains pending SEC source-maturity and promotion gates."
sec_pit_0199,2200 WEST DON TYSON PARKWAY|SPRINGDALE|AR|72762-6999,"TYSON FOODS, INC.",2025-11-10,assign_county,not_attempted,,05143,"Washington County, Arkansas","Accepted report-only SEC point-in-time HQ geocode review: census_geographies_addressbatch:parsed_original assigned Washington County, Arkansas (05143) for 2 queue row(s). Remains pending SEC source-maturity and promotion gates."
sec_pit_0408,2200 WEST DON TYSON PARKWAY|SPRINGDALE|AR|72762-6999,"TYSON FOODS, INC.",2026-05-04,assign_county,not_attempted,,05143,"Washington County, Arkansas","Accepted report-only SEC point-in-time HQ geocode review: census_geographies_addressbatch:parsed_original assigned Washington County, Arkansas (05143) for 2 queue row(s). Remains pending SEC source-maturity and promotion gates."
sec_pit_0009,3524 AIRPORT ROAD|MAIDEN|NC|28650,AIR T INC,2004-11-10,assign_county,not_attempted,,37035,"Catawba County, North Carolina","Accepted report-only SEC point-in-time HQ geocode review: census_geographies_addressbatch:parsed_original assigned Catawba County, North Carolina (37035) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates."
sec_pit_0003,"1000 N WEST STREET , SUITE 1200|WILMINGTON|DE|19801","ACORN ENERGY, INC.",2026-03-05,assign_county,not_attempted,,10003,"New Castle County, Delaware",Manual point-in-time HQ review: Wilmington DE 19801 business address assigned to New Castle County for report-only SEC filing-observed address staging.
sec_pit_0206,"1000 N WEST STREET , SUITE 1200|WILMINGTON|DE|19801","ACORN ENERGY, INC.",2026-05-07,assign_county,not_attempted,,10003,"New Castle County, Delaware",Manual point-in-time HQ review: Wilmington DE 19801 business address assigned to New Castle County for report-only SEC filing-observed address staging.
