pattern_candidate_status,pattern_candidate_priority,matched_street_query,matched_city_zip_query,evidence_snippet,suggested_parser_rule,document_text_available,parse_review_priority,parse_review_category,recommended_action,queue_row_id,entity_name,primary_ticker,filing_date,form_type,filing_accession,address_parse_status,address_parse_error,current_snapshot_business_street,current_snapshot_business_city,current_snapshot_business_state,current_snapshot_business_zip,current_snapshot_fips,current_snapshot_county_name,filing_document_cache_path,filing_document_fetch_error
fetch_or_cache_failure,medium,,,,Refresh filing document cache or inspect alternate accession document.,False,medium,fetch_or_cache_failure,refresh filing document or inspect alternate accession document,sec_pit_0500,"Allied Energy, Inc.",AGGI,2000-11-13,10-Q,0001103259-00-000037,fetch_failed_or_missing,cache-only mode skipped document fetch,104-360 COLLEGE STREET SUITE #251,TORONTO,,M5T 1S6,,,,cache-only mode skipped document fetch
fetch_or_cache_failure,medium,,,,Refresh filing document cache or inspect alternate accession document.,False,medium,fetch_or_cache_failure,refresh filing document or inspect alternate accession document,sec_pit_0238,BLUE DOLPHIN ENERGY CO,BDCO,2000-08-21,10-Q,0000890566-00-001329,fetch_failed_or_missing,cache-only mode skipped document fetch,801 TRAVIS SUITE 2100,HOUSTON,TX,77002-5729,48201,Harris County,,cache-only mode skipped document fetch
fetch_or_cache_failure,medium,,,,Refresh filing document cache or inspect alternate accession document.,False,medium,fetch_or_cache_failure,refresh filing document or inspect alternate accession document,sec_pit_0243,BRIDGFORD FOODS CORP,BRID,2000-06-09,10-Q,0001095811-00-001667,fetch_failed_or_missing,cache-only mode skipped document fetch,1308 N PATT ST P O BOX 3773,ANAHEIM,CA,92801,06059,Orange County,,cache-only mode skipped document fetch
fetch_or_cache_failure,medium,,,,Refresh filing document cache or inspect alternate accession document.,False,medium,fetch_or_cache_failure,refresh filing document or inspect alternate accession document,sec_pit_0115,DATA I/O CORP,DAIO,2001-03-27,10-K,0000351998-01-000010,fetch_failed_or_missing,cache-only mode skipped document fetch,"6645 185TH AVE NE, SUITE 100",REDMOND,WA,98052,53033,King County,,cache-only mode skipped document fetch
pattern_candidate_city_zip_only,medium,,BETHESDA MARYLAND 20817,"ommission file number 1-14287 USEC Inc. (Exact name of registrant as specified in its charter) Delaware 52-2107911 (State of incorporation) (I.R.S. Employer Identification No.) Two Democracy Center 6903 Rockledge Drive, Bethesda, Maryland 20817 (301) 564-3200 Indicate by check mark whether the registrant (1) has filed all reports required to be filed by Section 13 or 15(d) of the Securities Exchange Act of 1934 during the preceding 12 m",Inspect city/ZIP snippet and add conservative parser pattern if street is nearby.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0267,CENTRUS ENERGY CORP,LEU,2011-05-04,10-Q,0001065059-11-000025,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,6901 ROCKLEDGE DR SUITE 800,BETHESDA,MD,20817,24031,Montgomery County,data/raw/sec_edgar_hq/filing_documents/CIK0001065059/000106505911000025/form10-q.htm,
pattern_candidate_city_zip_only,medium,,BETHESDA MARYLAND 20817,"OF 1934 For the fiscal year ended December 31, 2011 Commission file number 1-14287 USEC Inc. Delaware 52-2107911 (State of incorporation) (I.R.S. Employer Identification No.) Two Democracy Center, 6903 Rockledge Drive, Bethesda, Maryland 20817 (301) 564-3200 Securities registered pursuant to Section 12(b) of the Act: Title of each class Name of each exchange on which registered Common Stock, par value $.10 per share Preferred Stock Pur",Inspect city/ZIP snippet and add conservative parser pattern if street is nearby.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0072,CENTRUS ENERGY CORP,LEU,2012-03-14,10-K,0001065059-12-000013,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,6901 ROCKLEDGE DR SUITE 800,BETHESDA,MD,20817,24031,Montgomery County,data/raw/sec_edgar_hq/filing_documents/CIK0001065059/000106505912000013/form10-k.htm,
pattern_candidate_city_zip_only,medium,,BETHESDA MARYLAND 20817,"T OF 1934 For the fiscal year ended December 31 , 2025 Commission file number 1-14287 Centrus Energy Corp. Delaware 52-2107911 (State of incorporation) (IRS Employer Identification No.) 6901 Rockledge Drive, Suite 800 , Bethesda , Maryland 20817 (301) 564-3200 Securities registered pursuant to Section 12(b) of the Act: Title of each class Trading Symbol Name of each exchange on which registered Class A Common Stock, par value $0.10 per",Inspect city/ZIP snippet and add conservative parser pattern if street is nearby.,True,high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0073,CENTRUS ENERGY CORP,LEU,2026-02-11,10-K,0001628280-26-007117,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,6901 ROCKLEDGE DR SUITE 800,BETHESDA,MD,20817,24031,Montgomery County,data/raw/sec_edgar_hq/filing_documents/CIK0001065059/000162828026007117/leu-20251231.htm,
pattern_candidate_city_zip_only,medium,,BETHESDA MARYLAND 20817,"N 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 Commission file number 1-14287 Centrus Energy Corp. Delaware 52-2107911 (State of incorporation) (I.R.S. Employer Identification No.) 6901 Rockledge Drive, Suite 800, Bethesda , Maryland 20817 ( 301 ) 564-3200 Securities registered pursuant to Section 12(b) of the Act: Title of Each Class Trading Symbol Name of Each Exchange on Which Registered Class A Common Stock, par value $0.10 pe",Inspect city/ZIP snippet and add conservative parser pattern if street is nearby.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0268,CENTRUS ENERGY CORP,LEU,2026-05-06,10-Q,0001628280-26-030891,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,6901 ROCKLEDGE DR SUITE 800,BETHESDA,MD,20817,24031,Montgomery County,data/raw/sec_edgar_hq/filing_documents/CIK0001065059/000162828026030891/leu-20260331.htm,
pattern_candidate_city_zip_only,medium,,JACKSON MICHIGAN 49201,"ATION (A Michigan Corporation) Fairlane Plaza South, Suite 1100 330 Town Center Drive, Dearborn, Michigan 48126 (313)436-9200 38-2726431 1-5611 CONSUMERS ENERGY COMPANY (A Michigan Corporation) 212 West Michigan Avenue, Jackson, Michigan 49201 (517)788-0550 38-0442310 1-2921 PANHANDLE EASTERN PIPE LINE COMPANY (A Delaware Corporation) 5444 Westheimer Road, P.O. Box 4967, Houston, Texas 77210-4967 (713)989-7000 44-0382470 Indicate by che",Inspect city/ZIP snippet and add conservative parser pattern if street is nearby.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0275,CONSUMERS ENERGY CO,CMS-PB,2000-08-11,10-Q,0000950124-00-004849,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,ONE ENERGY PLAZA,JACKSON,MI,49201,26075,Jackson County,data/raw/sec_edgar_hq/filing_documents/CIK0000201533/000095012400004849/e10-q.htm,
pattern_candidate_city_zip_only,medium,,JACKSON MICHIGAN 49201,"26431 (A Michigan Corporation) Fairlane Plaza South, Suite 1100 330 Town Center Drive, Dearborn, Michigan 48126 (313)436-9200 1-5611 Consumers Energy Company 38-0442310 (A Michigan Corporation) 212 West Michigan Avenue, Jackson, Michigan 49201 (517)788-0550 1-2921 Panhandle Eastern Pipe Line Company 44-0382470 (A Delaware Corporation) 5444 Westheimer Road, P.O. Box 4967, Houston, Texas 77210-4967 (713)989-7000 Securities registered purs",Inspect city/ZIP snippet and add conservative parser pattern if street is nearby.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0080,CONSUMERS ENERGY CO,CMS-PB,2001-03-23,10-K,0000950124-01-001548,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,ONE ENERGY PLAZA,JACKSON,MI,49201,26075,Jackson County,data/raw/sec_edgar_hq/filing_documents/CIK0000201533/000095012401001548/k60932e10-k.txt,
