batch_id,queue_row_id,attempt_label,census_street,census_city,census_state,census_zip,repair_notes,address_key,entity_name,primary_ticker,filing_date,filing_accession,geocode_review_reason,current_snapshot_fips,current_snapshot_county_name
sec_pit_0126__001,sec_pit_0126,parsed_original,300 Cadman Plaza West,Brooklyn,NY,11201,,300 CADMAN PLAZA WEST|BROOKLYN|NY|11201,DT Cloud Star Acquisition Corp,DTSQ,2025-03-31,0001641172-25-001417,parsed_city_differs_from_snapshot,36061,New York County
sec_pit_0502__002,sec_pit_0502,parsed_original,"1001 S Capital of Texas Hwy Building L, Suite 250",Austin,TX,78746,,"1001 S CAPITAL OF TEXAS HWY BUILDING L, SUITE 250|AUSTIN|TX|78746",Alussa Energy Acquisition Corp. II,ALUB,2025-12-19,0001213900-25-123886,parsed_state_differs_from_snapshot,,
sec_pit_0502__003,sec_pit_0502,suite_stripped_parser_repair,1001 S Capital of Texas Hwy Building L,Austin,TX,78746,suite_stripped,"1001 S CAPITAL OF TEXAS HWY BUILDING L, SUITE 250|AUSTIN|TX|78746",Alussa Energy Acquisition Corp. II,ALUB,2025-12-19,0001213900-25-123886,parsed_state_differs_from_snapshot,,
sec_pit_0421__004,sec_pit_0421,parsed_original,"1001 S Capital of Texas Hwy Building L, Suite 250",Austin,TX,78746,,"1001 S CAPITAL OF TEXAS HWY BUILDING L, SUITE 250|AUSTIN|TX|78746",Alussa Energy Acquisition Corp. II,ALUB,2026-03-27,0001213900-26-035639,parsed_state_differs_from_snapshot,,
sec_pit_0421__005,sec_pit_0421,suite_stripped_parser_repair,1001 S Capital of Texas Hwy Building L,Austin,TX,78746,suite_stripped,"1001 S CAPITAL OF TEXAS HWY BUILDING L, SUITE 250|AUSTIN|TX|78746",Alussa Energy Acquisition Corp. II,ALUB,2026-03-27,0001213900-26-035639,parsed_state_differs_from_snapshot,,
sec_pit_0503__006,sec_pit_0503,parsed_original,"1001 S Capital of Texas Hwy Building L, Suite 250",Austin,TX,78746,,"1001 S CAPITAL OF TEXAS HWY BUILDING L, SUITE 250|AUSTIN|TX|78746",Alussa Energy Acquisition Corp. II,ALUB,2026-05-12,0001213900-26-055076,parsed_state_differs_from_snapshot,,
sec_pit_0503__007,sec_pit_0503,suite_stripped_parser_repair,1001 S Capital of Texas Hwy Building L,Austin,TX,78746,suite_stripped,"1001 S CAPITAL OF TEXAS HWY BUILDING L, SUITE 250|AUSTIN|TX|78746",Alussa Energy Acquisition Corp. II,ALUB,2026-05-12,0001213900-26-055076,parsed_state_differs_from_snapshot,,
sec_pit_0333__008,sec_pit_0333,parsed_original,"17 State Street, 21st Floor",New York,NY,10004,,"17 STATE STREET, 21ST FLOOR|NEW YORK|NY|10004",Dragonfly Energy Holdings Corp.,DFLI,2021-09-23,0001104659-21-118858,parsed_state_differs_from_snapshot,32031,Washoe County
sec_pit_0357__009,sec_pit_0357,parsed_original,"110 East 40th Street, Suite 803",New York,NY,10016,,"110 EAST 40TH STREET, SUITE 803|NEW YORK|NY|10016",Energy Transition Special Opportunities,ETSS,2025-09-23,0001213900-25-090236,parsed_state_differs_from_snapshot,09190,Western Connecticut Planning Region
sec_pit_0357__010,sec_pit_0357,suite_stripped_parser_repair,110 East 40th Street,New York,NY,10016,suite_stripped,"110 EAST 40TH STREET, SUITE 803|NEW YORK|NY|10016",Energy Transition Special Opportunities,ETSS,2025-09-23,0001213900-25-090236,parsed_state_differs_from_snapshot,09190,Western Connecticut Planning Region
sec_pit_0358__011,sec_pit_0358,parsed_original,"110 East 40th Street, Suite 803",New York,NY,10016,,"110 EAST 40TH STREET, SUITE 803|NEW YORK|NY|10016",Energy Transition Special Opportunities,ETSS,2026-02-04,0001213900-26-011849,parsed_state_differs_from_snapshot,09190,Western Connecticut Planning Region
sec_pit_0358__012,sec_pit_0358,suite_stripped_parser_repair,110 East 40th Street,New York,NY,10016,suite_stripped,"110 EAST 40TH STREET, SUITE 803|NEW YORK|NY|10016",Energy Transition Special Opportunities,ETSS,2026-02-04,0001213900-26-011849,parsed_state_differs_from_snapshot,09190,Western Connecticut Planning Region
sec_pit_0362__013,sec_pit_0362,parsed_original,299 Park Avenue,New York,NY,10171,,299 PARK AVENUE|NEW YORK|NY|10171,"Eos Energy Enterprises, Inc.",EOSE,2020-06-26,0001213900-20-015862,parsed_state_differs_from_snapshot,34023,Middlesex County
sec_pit_0186__014,sec_pit_0186,parsed_original,477 Madison Avenue,New York,NY,10022,,477 MADISON AVENUE|NEW YORK|NY|10022,"GCT Semiconductor Holding, Inc.",GCTS,2022-03-18,0001410578-22-000422,parsed_state_differs_from_snapshot,06085,Santa Clara County
