batch_id,census_input_address,census_match_status,census_match_type,census_matched_address,census_coordinates,census_lon,census_lat,census_tigerline_id,census_tigerline_side,census_state_fips,census_county_fips,candidate_fips,census_tract,census_block,census_raw_field_count
sec_pit_0421__005,"1001 S Capital of Texas Hwy Building L, Austin, TX, 78746",Match,Non_Exact,"1001 S CAPITAL OF TEXAS HWY, AUSTIN, TX, 78746","-97.826178964287,30.28678736005",-97.826178964287,30.28678736005,641525695,L,48,453,48453,001918,2015,12
sec_pit_0357__010,"110 East 40th Street, New York, NY, 10016",Match,Exact,"110 E 40TH ST, NEW YORK, NY, 10016","-73.978047431955,40.750537432775",-73.978047431955,40.750537432775,59661969,R,36,061,36061,008000,6000,12
sec_pit_0362__013,"299 Park Avenue, New York, NY, 10171",Match,Exact,"299 PARK AVE, NEW YORK, NY, 10171","-73.974410957119,40.756476980005",-73.974410957119,40.756476980005,59657233,R,36,061,36061,009200,2000,12
sec_pit_0186__014,"477 Madison Avenue, New York, NY, 10022",Match,Exact,"477 MADISON AVE, NEW YORK, NY, 10022","-73.975031228268,40.758512063868",-73.975031228268,40.758512063868,59657217,R,36,061,36061,010200,1004,12
sec_pit_0502__003,"1001 S Capital of Texas Hwy Building L, Austin, TX, 78746",Match,Non_Exact,"1001 S CAPITAL OF TEXAS HWY, AUSTIN, TX, 78746","-97.826178964287,30.28678736005",-97.826178964287,30.28678736005,641525695,L,48,453,48453,001918,2015,12
sec_pit_0502__002,"1001 S Capital of Texas Hwy Building L, Suite 250, Austin, TX, 78746",Match,Non_Exact,"1001 S CAPITAL OF TEXAS HWY, AUSTIN, TX, 78746","-97.826178964287,30.28678736005",-97.826178964287,30.28678736005,641525695,L,48,453,48453,001918,2015,12
sec_pit_0333__008,"17 State Street, 21st Floor, New York, NY, 10004",Match,Exact,"17 STATE ST, NEW YORK, NY, 10004","-74.013933417072,40.702578787306",-74.013933417072,40.702578787306,59662188,R,36,061,36061,000900,1018,12
sec_pit_0357__009,"110 East 40th Street, Suite 803, New York, NY, 10016",Match,Exact,"110 E 40TH ST, NEW YORK, NY, 10016","-73.978047431955,40.750537432775",-73.978047431955,40.750537432775,59661969,R,36,061,36061,008000,6000,12
sec_pit_0503__006,"1001 S Capital of Texas Hwy Building L, Suite 250, Austin, TX, 78746",Match,Non_Exact,"1001 S CAPITAL OF TEXAS HWY, AUSTIN, TX, 78746","-97.826178964287,30.28678736005",-97.826178964287,30.28678736005,641525695,L,48,453,48453,001918,2015,12
sec_pit_0358__012,"110 East 40th Street, New York, NY, 10016",Match,Exact,"110 E 40TH ST, NEW YORK, NY, 10016","-73.978047431955,40.750537432775",-73.978047431955,40.750537432775,59661969,R,36,061,36061,008000,6000,12
sec_pit_0126__001,"300 Cadman Plaza West, Brooklyn, NY, 11201",Match,Exact,"300 CADMAN PLZ W, BROOKLYN, NY, 11201","-73.991153184657,40.695958703827",-73.991153184657,40.695958703827,641018516,R,36,047,36047,000502,1002,12
sec_pit_0421__004,"1001 S Capital of Texas Hwy Building L, Suite 250, Austin, TX, 78746",Match,Non_Exact,"1001 S CAPITAL OF TEXAS HWY, AUSTIN, TX, 78746","-97.826178964287,30.28678736005",-97.826178964287,30.28678736005,641525695,L,48,453,48453,001918,2015,12
sec_pit_0503__007,"1001 S Capital of Texas Hwy Building L, Austin, TX, 78746",Match,Non_Exact,"1001 S CAPITAL OF TEXAS HWY, AUSTIN, TX, 78746","-97.826178964287,30.28678736005",-97.826178964287,30.28678736005,641525695,L,48,453,48453,001918,2015,12
sec_pit_0358__011,"110 East 40th Street, Suite 803, New York, NY, 10016",Match,Exact,"110 E 40TH ST, NEW YORK, NY, 10016","-73.978047431955,40.750537432775",-73.978047431955,40.750537432775,59661969,R,36,061,36061,008000,6000,12
