address_key,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_status,acceptance_issue,candidate_source,queue_row_count,queue_row_ids,entity_names,filing_dates
O ______________ IRON HORSE ACQUISITIONS CORP. DELAWARE 333-275076 85-1783294 P.O. BOX 2506|TOLUCA LAKE|CA|91610,assign_county,06037,"Los Angeles County, California",0.82,"Accepted report-only SEC point-in-time HQ geocode review: residual_city_zip_review_po_box assigned Los Angeles County, California (06037) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,residual_city_zip_review_po_box,1,sec_pit_0453,CN Healthy Food Tech Group Corp.,2024-04-01
TO ______________ IRON HORSE ACQUISITIONS CORP. DELAWARE 001-41898 87-4105289 P.O. BOX 2506|TOLUCA LAKE|CA|91610,assign_county,06037,"Los Angeles County, California",0.82,"Accepted report-only SEC point-in-time HQ geocode review: residual_city_zip_review_po_box assigned Los Angeles County, California (06037) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,residual_city_zip_review_po_box,1,sec_pit_0454,CN Healthy Food Tech Group Corp.,2025-02-21
"5424 DELTA AIR LINES, INC. DELAWARE 58-0218548 POST OFFICE BOX 20706|ATLANTA|GA|30320-6001",assign_county,13121,"Fulton County, Georgia",0.88,"Accepted report-only SEC point-in-time HQ geocode review: residual_same_city_snapshot_county_review_po_box assigned Fulton County, Georgia (13121) for 2 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,residual_same_city_snapshot_county_review_po_box,2,sec_pit_0117; sec_pit_0118,"DELTA AIR LINES, INC.",2017-02-13; 2026-02-11
CARSON|CITY|NV|89703,assign_county,32510,"Carson City, Nevada",0.82,"Accepted report-only SEC point-in-time HQ geocode review: residual_split_city_zip_review assigned Carson City, Nevada (32510) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,residual_split_city_zip_review,1,sec_pit_0054,"Big Digital Energy, Inc.",2009-02-27
NEW|YORK|NY|10001,assign_county,36061,"New York County, New York",0.82,"Accepted report-only SEC point-in-time HQ geocode review: residual_split_city_zip_review assigned New York County, New York (36061) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,residual_split_city_zip_review,1,sec_pit_0256,BlackRock Energy & Resources Trust,2025-01-21
NEW|YORK|NY|10004,assign_county,36061,"New York County, New York",0.82,"Accepted report-only SEC point-in-time HQ geocode review: residual_split_city_zip_review assigned New York County, New York (36061) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,residual_split_city_zip_review,1,sec_pit_0333,Dragonfly Energy Holdings Corp.,2021-09-23
NEW|YORK|NY|10022,assign_county,36061,"New York County, New York",0.82,"Accepted report-only SEC point-in-time HQ geocode review: residual_split_city_zip_review assigned New York County, New York (36061) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,residual_split_city_zip_review,1,sec_pit_0186,"GCT Semiconductor Holding, Inc.",2022-03-18
POST OFFICE BOX 488|DENVER|NC|28037,assign_county,37109,"Lincoln County, North Carolina",0.82,"Accepted report-only SEC point-in-time HQ geocode review: residual_city_zip_review_po_box assigned Lincoln County, North Carolina (37109) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,residual_city_zip_review_po_box,1,sec_pit_0210,AIR T INC,2004-11-04
7201 HAMILTON BOULEVARD|ALLENTOWN|PA|18195-1501,assign_county,42077,"Lehigh County, Pennsylvania",0.88,"Accepted report-only SEC point-in-time HQ geocode review: residual_same_city_snapshot_county_review assigned Lehigh County, Pennsylvania (42077) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,residual_same_city_snapshot_county_review,1,sec_pit_0227,"Air Products & Chemicals, Inc.",2016-01-29
"116701 GREENSPOINT PARK DRIVE, SUITE 195|HOUSTON|TX|77060",assign_county,48201,"Harris County, Texas",0.86,"Accepted report-only SEC point-in-time HQ geocode review: residual_same_city_snapshot_county_review assigned Harris County, Texas (48201) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,residual_same_city_snapshot_county_review,1,sec_pit_0163,Epsilon Energy Ltd.,2019-03-29
"920 MEMORIAL CITY WAY, SUITE 1000|HOUSTON|TX|77024",assign_county,48201,"Harris County, Texas",0.88,"Accepted report-only SEC point-in-time HQ geocode review: residual_same_city_snapshot_county_review assigned Harris County, Texas (48201) for 2 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,residual_same_city_snapshot_county_review,2,sec_pit_0374; sec_pit_0173,"FORUM ENERGY TECHNOLOGIES, INC.",2012-05-04; 2013-03-05
"32522 TRAFALGAR RESOURCES, INC. UTAH 91-0974149 PO BOX 2017|SANDY|UT|84091-2017",assign_county,49035,"Salt Lake County, Utah",0.82,"Accepted report-only SEC point-in-time HQ geocode review: residual_city_zip_review_po_box assigned Salt Lake County, Utah (49035) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,residual_city_zip_review_po_box,1,sec_pit_0515,China Foods Holdings Ltd.,2009-02-20
