fips,county_name,state,overall_rank,opportunity_score,wave3_overlay_rank,wave3_overlay_score,wave3_overlay_adjustment,wave3_net_support,wave3_support_score,wave3_brake_score,wave3_supports,wave3_brakes,wave3_structural_summary
51580,"Covington city, Virginia",VA,1,77.1464216168642,1,77.42087757676764,0.2744559599034334,0.1829706399356223,0.6374861165312318,0.4545154765956095,optionality is strong (0.701); fragility/support balance is strong (0.686); scarcity/amenity balance is moderate (0.626),no major structural brakes flagged,Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.701); fragility/support balance is strong (0.686); scarcity/amenity balance is moderate (0.626). Brakes: no major structural brakes flagged.
39081,"Jefferson County, Ohio",OH,2,76.68077738754316,2,76.96529767676931,0.28452028922614736,0.1896801928174316,0.5725927846150506,0.382912591797619,fragility/support balance is moderate (0.669); optionality is moderate (0.653),no major structural brakes flagged,Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is moderate (0.669); optionality is moderate (0.653). Brakes: no major structural brakes flagged.
17163,"St. Clair County, Illinois",IL,3,75.65932412278609,4,75.63907273234821,-0.020251390437870775,-0.013500926958580517,0.5239804327207632,0.5374813596793437,no major structural supports flagged,wetlands constraint is moderate (0.620),Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: wetlands constraint is moderate (0.620).
51690,"Martinsville city, Virginia",VA,4,75.43543858809286,3,76.08132276796016,0.6458841798672912,0.4305894532448608,0.652186507118145,0.22159705387328416,fragility/support balance is strong (0.804); developability is strong (0.769); optionality is moderate (0.636),no major structural brakes flagged,Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is strong (0.804); developability is strong (0.769); optionality is moderate (0.636). Brakes: no major structural brakes flagged.
18103,"Miami County, Indiana",IN,5,75.1916292414511,5,75.37292189390807,0.18129265245697734,0.12086176830465156,0.5195294146075513,0.39866764630289975,fragility/support balance is moderate (0.618),no major structural brakes flagged,Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is moderate (0.618). Brakes: no major structural brakes flagged.
51530,"Buena Vista city, Virginia",VA,6,74.80729249454467,6,75.18465940342797,0.37736690888330643,0.2515779392555376,0.5597178991088406,0.308139959853303,fragility/support balance is strong (0.772),no major structural brakes flagged,Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is strong (0.772). Brakes: no major structural brakes flagged.
51105,"Lee County, Virginia",VA,7,74.64709080162031,7,74.80433886565584,0.15724806403552094,0.1048320426903473,0.5250706214197223,0.420238578729375,optionality is moderate (0.610),no major structural brakes flagged,Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.610). Brakes: no major structural brakes flagged.
26053,"Gogebic County, Michigan",MI,8,74.52452815553637,8,74.70816441887493,0.18363626333855176,0.12242417555903451,0.6618997767862609,0.5394756012272264,scarcity/amenity balance is strong (0.887); fragility/support balance is strong (0.719); site-thesis support is moderate (0.647),wetlands constraint is heavy (0.776); constraint pressure is moderate (0.640),Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.887); fragility/support balance is strong (0.719); site-thesis support is moderate (0.647). Brakes: wetlands constraint is heavy (0.776); constraint pressure is moderate (0.640).
17027,"Clinton County, Illinois",IL,9,74.04688931854972,10,74.13726766814528,0.09037834959557411,0.060252233063716076,0.5950150624494609,0.5347628293857448,scarcity/amenity balance is strong (0.709); fragility/support balance is moderate (0.652),wetlands constraint is heavy (0.721),Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.709); fragility/support balance is moderate (0.652). Brakes: wetlands constraint is heavy (0.721).
26163,"Wayne County, Michigan",MI,10,73.98786123260267,9,74.39200821311466,0.40414698051198916,0.2694313203413261,0.6726109729904024,0.4031796526490763,fragility/support balance is strong (0.784); scarcity/amenity balance is strong (0.726); site-thesis support is moderate (0.634),wetlands constraint is moderate (0.584),Wave 3 support is strong; structural brakes are moderate. Supports: fragility/support balance is strong (0.784); scarcity/amenity balance is strong (0.726); site-thesis support is moderate (0.634). Brakes: wetlands constraint is moderate (0.584).
17183,"Vermilion County, Illinois",IL,11,73.76186152509212,11,73.93664376878806,0.1747822436959409,0.11652149579729393,0.4847474903331781,0.36822599453588417,no major structural supports flagged,no major structural brakes flagged,Wave 3 support is moderate; structural brakes are light. Supports: no major structural supports flagged. Brakes: no major structural brakes flagged.
